query_id,flight_id,flight_short,image_name,query_image_path,pitch_group,tags,gimbal_pitch_degree,gimbal_yaw_degree,flight_pitch_degree,coarse_first_truth_rank,coarse_top1_hit,coarse_top20_hit,romav2_first_truth_rank,romav2_top1_hit,romav2_top20_hit,coarse_top1_error_m,romav2_top1_error_m,delta_top1_error_m,rank_gain,promoted_to_top1,promoted_within_top20,main_bucket,c_variant,c_near_miss,d_variant,a_shrink,b_core,b_strong_rank,b_strong_error,footprint_area_m2,truth_count_total,truth_count_200m,truth_count_300m,truth_count_500m,truth_count_700m,query_x,query_y,coarse_truth_count,romav2_truth_count,romav2_top1_raw_rank,romav2_top1_global_score,romav2_top1_match_score,romav2_top1_inlier_count,romav2_top1_inlier_ratio,romav2_top1_reproj_error_mean,romav2_top1_geom_valid,romav2_top1_geom_quality,romav2_top1_fused_score,selection_reason
q_001,DJI_202510311347_009_新建面状航线1,009,DJI_20251031135154_0001_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031135154_0001_V.JPG,downview,downview,-45.00,150.50,-15.30,7,0,1,3,0,1,1952.838914,1952.838914,0.0,4,0,1,C,C_retained,1,,0,0,0,0,1143971.292,234,109,56,34,35,253508.984,3365352.32,234,234,1,0.9253952503204346,0.8394738435745239,140,0.028,2.058828830718994,1,0.2469601654474061,0.6981760992684437,"Selected from downview pool using the lower half of pitches in [-85.0, -40.0] and temporal/spatial spacing."
q_002,DJI_202510311347_009_新建面状航线1,009,DJI_20251031135215_0005_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031135215_0005_V.JPG,tilted,tilted,-44.90,150.80,-15.20,3,0,1,1,1,1,2759.088113,379.526892,-2379.561221,2,1,1,B,,0,,0,0,0,1,1157291.47,247,112,59,33,43,253651.422,3365083.038,247,247,1,0.9169244170188904,0.9786427617073059,158,0.0316,2.58396053314209,1,0.2973887101175668,0.7284332260705401,"Selected from tilted pool using the upper half of pitches in [-85.0, -40.0] and temporal/spatial spacing."
q_003,DJI_202510311347_009_新建面状航线1,009,DJI_20251031135523_0072_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031135523_0072_V.JPG,downview,downview,-45.00,-28.00,-20.50,2,0,1,1,1,1,1883.166534,590.477266,-1292.689267,1,1,1,B,,0,,0,0,0,1,1144063.486,214,100,52,32,30,254302.002,3364076.083,214,214,1,0.9258569478988647,0.7599242329597473,49,0.0098,2.331124782562256,0,0.04897552684985215,0.4293853161099113,"Selected from downview pool using the lower half of pitches in [-85.0, -40.0] and temporal/spatial spacing."
q_004,DJI_202510311347_009_新建面状航线1,009,DJI_20251031135831_0144_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031135831_0144_V.JPG,downview,downview,-45.00,150.90,-11.70,1,1,1,1,1,1,443.003318,206.678519,-236.324799,0,0,0,A,,0,,1,0,0,0,1144045.047,237,107,55,33,42,254203.009,3364490.308,237,237,1,0.9160805344581604,0.9994146227836609,381,0.0762,2.5714221000671387,1,0.5076863636363637,0.8546118181818182,"Selected from downview pool using the lower half of pitches in [-85.0, -40.0] and temporal/spatial spacing."
q_005,DJI_202510311347_009_新建面状航线1,009,DJI_20251031140104_0196_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031140104_0196_V.JPG,tilted,tilted,-44.90,-28.50,-21.30,1,1,1,1,1,1,327.798062,327.798062,0.0,0,0,0,A,,0,,0,0,0,0,1156204.069,233,109,57,31,36,254396.342,3364349.98,233,233,1,0.9250471591949463,0.9988133907318115,289,0.0578,2.3848702907562256,1,0.3998679352724867,0.7899207611634921,"Selected from tilted pool using the upper half of pitches in [-85.0, -40.0] and temporal/spatial spacing."
q_006,DJI_202510311347_009_新建面状航线1,009,DJI_20251031140150_0222_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031140150_0222_V.JPG,downview,downview,-45.10,151.60,-19.40,1,1,1,1,1,1,374.231534,374.231534,0.0,0,0,0,A,,0,,0,0,0,0,1131803.01,239,104,56,35,44,254075.729,3364957.467,239,239,1,0.9381766319274902,0.9990134835243225,451,0.0902,2.2894959449768066,1,0.4261276875615362,0.8056766125369218,"Selected from downview pool using the lower half of pitches in [-85.0, -40.0] and temporal/spatial spacing."
q_007,DJI_202510311347_009_新建面状航线1,009,DJI_20251031140426_0276_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031140426_0276_V.JPG,tilted,tilted,-45.00,-29.10,-12.90,1,1,1,1,1,1,191.854414,438.488782,246.634367,0,0,0,A,,0,,0,0,0,0,1144051.194,244,110,56,34,44,254613.393,3364165.459,244,244,1,0.9149875044822693,0.9956995844841003,259,0.0518,2.5400938987731934,1,0.30772483403466055,0.7346349004207964,"Selected from tilted pool using the upper half of pitches in [-85.0, -40.0] and temporal/spatial spacing."
q_008,DJI_202510311347_009_新建面状航线1,009,DJI_20251031140809_0348_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031140809_0348_V.JPG,tilted,tilted,-44.90,150.90,-15.50,1,1,1,1,1,1,364.793692,364.793692,0.0,0,0,0,A,,0,,0,0,0,0,1156576.834,249,110,60,34,45,254110.536,3365570.74,249,249,1,0.9256091117858887,0.9994110465049744,588,0.1176,2.410579204559326,1,0.5332385811565082,0.869943148693905,"Selected from tilted pool using the upper half of pitches in [-85.0, -40.0] and temporal/spatial spacing."
q_009,DJI_202510311347_009_新建面状航线1,009,DJI_20251031141037_0405_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031141037_0405_V.JPG,downview,downview,-45.10,-29.00,-12.00,1,1,1,1,1,1,450.708402,450.708402,0.0,0,0,0,A,,0,,0,0,0,0,1131979.361,254,107,58,37,52,255127.895,3363643.359,254,254,1,0.929229736328125,0.999031662940979,642,0.1284,2.4623830318450928,1,0.6378003754758418,0.9326802252855051,"Selected from downview pool using the lower half of pitches in [-85.0, -40.0] and temporal/spatial spacing."
q_010,DJI_202510311347_009_新建面状航线1,009,DJI_20251031141126_0413_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031141126_0413_V.JPG,tilted,tilted,-45.00,-28.30,-18.80,1,1,1,1,1,1,706.311567,887.096278,180.784711,0,0,0,A,,0,,0,0,0,0,1144008.169,261,113,62,38,48,255001.78,3364108.187,261,261,1,0.9230086207389832,0.9284007549285889,20,0.004,1.556337594985962,0,0.12390945362528988,0.4743456721751739,"Selected from tilted pool using the upper half of pitches in [-85.0, -40.0] and temporal/spatial spacing."
