query_id,flight_id,image_name,query_image_path,latitude,longitude,absolute_altitude,relative_altitude,gimbal_yaw_degree,gimbal_pitch_degree,gimbal_roll_degree,flight_pitch_degree,calibrated_focal_length_px,optical_center_x,optical_center_y,image_width_px,image_height_px,query_x,query_y,query_crs,footprint_area_m2,footprint_core_ratio,footprint_polygon_xy
q_001,DJI_202510311347_009_新建面状航线1,DJI_20251031135154_0001_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031135154_0001_V.JPG,30.395028399,114.434501614,391.425,372.255,150.50,-45.00,0.00,-15.30,3725.151611,2640.000,1978.000,5280,3956,253508.984,3365352.320,EPSG:32650,1143971.292,1.00,"[[254799.695, 3364686.432], [253415.258, 3363903.155], [253353.125, 3365133.014], [253777.319, 3365373.012]]"
q_002,DJI_202510311347_009_新建面状航线1,DJI_20251031135215_0005_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031135215_0005_V.JPG,30.392629926,114.436046318,391.521,372.408,150.80,-44.90,0.00,-15.20,3725.151611,2640.000,1978.000,5280,3956,253651.422,3365083.038,EPSG:32650,1157291.470,1.00,"[[254946.857, 3364405.699], [253549.805, 3363624.913], [253494.585, 3364863.777], [253920.434, 3365101.776]]"
q_003,DJI_202510311347_009_新建面状航线1,DJI_20251031135523_0072_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031135523_0072_V.JPG,30.383684866,114.443048322,391.459,372.270,-28.00,-45.00,0.00,-20.50,3725.151611,2640.000,1978.000,5280,3956,254302.002,3364076.083,EPSG:32650,1144063.486,1.00,"[[253029.112, 3364775.558], [254433.636, 3365522.356], [254463.555, 3364291.242], [254033.206, 3364062.422]]"
q_004,DJI_202510311347_009_新建面状航线1,DJI_20251031135831_0144_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031135831_0144_V.JPG,30.387398966,114.441921641,391.464,372.267,150.90,-45.00,0.00,-11.70,3725.151611,2640.000,1978.000,5280,3956,254203.009,3364490.308,EPSG:32650,1144045.047,1.00,"[[255489.082, 3363815.404], [254099.165, 3363041.786], [254045.617, 3364272.089], [254471.491, 3364509.127]]"
q_005,DJI_202510311347_009_新建面状航线1,DJI_20251031140104_0196_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031140104_0196_V.JPG,30.386173272,114.443964977,391.407,372.233,-28.50,-44.90,0.00,-21.30,3725.151611,2640.000,1978.000,5280,3956,254396.342,3364349.980,EPSG:32650,1156204.069,1.00,"[[253109.883, 3365042.769], [254515.709, 3365806.07], [254555.771, 3364567.207], [254127.248, 3364334.538]]"
q_006,DJI_202510311347_009_新建面状航线1,DJI_20251031140150_0222_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031140150_0222_V.JPG,30.391584480,114.440488259,391.444,372.253,151.60,-45.10,180.00,-19.40,3725.151611,2640.000,1978.000,5280,3956,254075.729,3364957.467,EPSG:32650,1131803.010,1.00,"[[255345.868, 3364271.408], [253954.581, 3363519.141], [253915.465, 3364741.882], [254343.958, 3364973.567]]"
q_007,DJI_202510311347_009_新建面状航线1,DJI_20251031140426_0276_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031140426_0276_V.JPG,30.384553959,114.446265267,391.464,372.268,-29.10,-45.00,180.00,-12.90,3725.151611,2640.000,1978.000,5280,3956,254613.393,3364165.459,EPSG:32650,1144051.194,1.00,"[[253327.317, 3364840.364], [254717.238, 3365613.984], [254770.785, 3364383.678], [254344.911, 3364146.639]]"
q_008,DJI_202510311347_009_新建面状航线1,DJI_20251031140809_0348_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031140809_0348_V.JPG,30.397120250,114.440705990,391.485,372.293,150.90,-44.90,0.00,-15.50,3725.151611,2640.000,1978.000,5280,3956,254110.536,3365570.740,EPSG:32650,1156576.834,1.00,"[[255404.387, 3364891.351], [254006.406, 3364113.244], [253953.365, 3365351.82], [254379.497, 3365589.002]]"
q_009,DJI_202510311347_009_新建面状航线1,DJI_20251031141037_0405_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031141037_0405_V.JPG,30.379951695,114.451737425,391.489,372.282,-29.00,-45.10,180.00,-12.00,3725.151611,2640.000,1978.000,5280,3956,255127.895,3363643.359,EPSG:32650,1131979.361,1.00,"[[253850.541, 3364316.132], [255233.983, 3365082.987], [255285.904, 3363860.628], [254859.827, 3363624.45]]"
q_010,DJI_202510311347_009_新建面状航线1,DJI_20251031141126_0413_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031141126_0413_V.JPG,30.384116576,114.450317251,391.430,372.261,-28.30,-45.00,0.00,-18.80,3725.151611,2640.000,1978.000,5280,3956,255001.780,3364108.187,EPSG:32650,1144008.169,1.00,"[[253725.276, 3364800.971], [255125.836, 3365555.095], [255162.2, 3364324.184], [254733.066, 3364093.119]]"
