flight_id,image_name,original_path,copied_path,latitude,longitude,absolute_altitude,relative_altitude,gimbal_pitch_degree,gimbal_yaw_degree,flight_pitch_degree,tags,pitch_group,selection_reason,review_status
DJI_202510311347_009_新建面状航线1,DJI_20251031135154_0001_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311347_009_新建面状航线1/DJI_20251031135154_0001_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031135154_0001_V.JPG,30.395028399,114.434501614,391.425,372.255,-45.00,150.50,-15.30,downview,downview,"Selected from downview pool using the lower half of pitches in [-85.0, -40.0] and temporal/spatial spacing.",auto_selected
DJI_202510311347_009_新建面状航线1,DJI_20251031135215_0005_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311347_009_新建面状航线1/DJI_20251031135215_0005_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031135215_0005_V.JPG,30.392629926,114.436046318,391.521,372.408,-44.90,150.80,-15.20,tilted,tilted,"Selected from tilted pool using the upper half of pitches in [-85.0, -40.0] and temporal/spatial spacing.",auto_selected
DJI_202510311347_009_新建面状航线1,DJI_20251031135523_0072_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311347_009_新建面状航线1/DJI_20251031135523_0072_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031135523_0072_V.JPG,30.383684866,114.443048322,391.459,372.270,-45.00,-28.00,-20.50,downview,downview,"Selected from downview pool using the lower half of pitches in [-85.0, -40.0] and temporal/spatial spacing.",auto_selected
DJI_202510311347_009_新建面状航线1,DJI_20251031135831_0144_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311347_009_新建面状航线1/DJI_20251031135831_0144_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031135831_0144_V.JPG,30.387398966,114.441921641,391.464,372.267,-45.00,150.90,-11.70,downview,downview,"Selected from downview pool using the lower half of pitches in [-85.0, -40.0] and temporal/spatial spacing.",auto_selected
DJI_202510311347_009_新建面状航线1,DJI_20251031140104_0196_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311347_009_新建面状航线1/DJI_20251031140104_0196_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031140104_0196_V.JPG,30.386173272,114.443964977,391.407,372.233,-44.90,-28.50,-21.30,tilted,tilted,"Selected from tilted pool using the upper half of pitches in [-85.0, -40.0] and temporal/spatial spacing.",auto_selected
DJI_202510311347_009_新建面状航线1,DJI_20251031140150_0222_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311347_009_新建面状航线1/DJI_20251031140150_0222_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031140150_0222_V.JPG,30.391584480,114.440488259,391.444,372.253,-45.10,151.60,-19.40,downview,downview,"Selected from downview pool using the lower half of pitches in [-85.0, -40.0] and temporal/spatial spacing.",auto_selected
DJI_202510311347_009_新建面状航线1,DJI_20251031140426_0276_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311347_009_新建面状航线1/DJI_20251031140426_0276_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031140426_0276_V.JPG,30.384553959,114.446265267,391.464,372.268,-45.00,-29.10,-12.90,tilted,tilted,"Selected from tilted pool using the upper half of pitches in [-85.0, -40.0] and temporal/spatial spacing.",auto_selected
DJI_202510311347_009_新建面状航线1,DJI_20251031140809_0348_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311347_009_新建面状航线1/DJI_20251031140809_0348_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031140809_0348_V.JPG,30.397120250,114.440705990,391.485,372.293,-44.90,150.90,-15.50,tilted,tilted,"Selected from tilted pool using the upper half of pitches in [-85.0, -40.0] and temporal/spatial spacing.",auto_selected
DJI_202510311347_009_新建面状航线1,DJI_20251031141037_0405_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311347_009_新建面状航线1/DJI_20251031141037_0405_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031141037_0405_V.JPG,30.379951695,114.451737425,391.489,372.282,-45.10,-29.00,-12.00,downview,downview,"Selected from downview pool using the lower half of pitches in [-85.0, -40.0] and temporal/spatial spacing.",auto_selected
DJI_202510311347_009_新建面状航线1,DJI_20251031141126_0413_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311347_009_新建面状航线1/DJI_20251031141126_0413_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031141126_0413_V.JPG,30.384116576,114.450317251,391.430,372.261,-45.00,-28.30,-18.80,tilted,tilted,"Selected from tilted pool using the upper half of pitches in [-85.0, -40.0] and temporal/spatial spacing.",auto_selected
DJI_202510311413_010_新建面状航线1,DJI_20251031141624_0002_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311413_010_新建面状航线1/DJI_20251031141624_0002_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031141624_0002_V.JPG,30.384317760,114.450188298,391.439,372.257,-45.00,-28.40,-9.00,downview,downview,"Selected from downview pool using the lower half of pitches in [-85.0, -40.0] and temporal/spatial spacing.",auto_selected
DJI_202510311413_010_新建面状航线1,DJI_20251031141629_0004_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311413_010_新建面状航线1/DJI_20251031141629_0004_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031141629_0004_V.JPG,30.384572244,114.450024562,391.437,372.273,-44.90,-28.60,-20.40,tilted,tilted,"Selected from tilted pool using the upper half of pitches in [-85.0, -40.0] and temporal/spatial spacing.",auto_selected
DJI_202510311413_010_新建面状航线1,DJI_20251031141846_0053_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311413_010_新建面状航线1/DJI_20251031141846_0053_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031141846_0053_V.JPG,30.396649964,114.443525145,391.468,372.288,-45.00,151.00,-15.90,downview,downview,"Selected from downview pool using the lower half of pitches in [-85.0, -40.0] and temporal/spatial spacing.",auto_selected
DJI_202510311413_010_新建面状航线1,DJI_20251031142032_0101_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311413_010_新建面状航线1/DJI_20251031142032_0101_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031142032_0101_V.JPG,30.384161042,114.451548535,391.486,372.287,-45.10,-28.90,-12.70,downview,downview,"Selected from downview pool using the lower half of pitches in [-85.0, -40.0] and temporal/spatial spacing.",auto_selected
DJI_202510311413_010_新建面状航线1,DJI_20251031142344_0165_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311413_010_新建面状航线1/DJI_20251031142344_0165_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031142344_0165_V.JPG,30.398211545,114.443777597,391.462,372.283,-45.10,151.70,-20.40,downview,downview,"Selected from downview pool using the lower half of pitches in [-85.0, -40.0] and temporal/spatial spacing.",auto_selected
DJI_202510311413_010_新建面状航线1,DJI_20251031142401_0166_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311413_010_新建面状航线1/DJI_20251031142401_0166_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031142401_0166_V.JPG,30.398509841,114.444845770,391.499,372.313,-44.90,150.90,-11.30,tilted,tilted,"Selected from tilted pool using the upper half of pitches in [-85.0, -40.0] and temporal/spatial spacing.",auto_selected
DJI_202510311413_010_新建面状航线1,DJI_20251031142656_0223_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311413_010_新建面状航线1/DJI_20251031142656_0223_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031142656_0223_V.JPG,30.384281561,114.455242074,391.428,372.255,-44.90,-28.60,-16.70,tilted,tilted,"Selected from tilted pool using the upper half of pitches in [-85.0, -40.0] and temporal/spatial spacing.",auto_selected
DJI_202510311413_010_新建面状航线1,DJI_20251031143021_0273_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311413_010_新建面状航线1/DJI_20251031143021_0273_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031143021_0273_V.JPG,30.393421037,114.441382672,391.468,372.285,-45.00,-118.40,-11.20,tilted,tilted,"Selected from tilted pool using the upper half of pitches in [-85.0, -40.0] and temporal/spatial spacing.",auto_selected
DJI_202510311413_010_新建面状航线1,DJI_20251031143308_0306_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311413_010_新建面状航线1/DJI_20251031143308_0306_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031143308_0306_V.JPG,30.394151617,114.445171772,391.466,372.247,-45.00,-119.20,-17.50,tilted,tilted,"Selected from tilted pool using the upper half of pitches in [-85.0, -40.0] and temporal/spatial spacing.",auto_selected
DJI_202510311413_010_新建面状航线1,DJI_20251031143314_0307_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311413_010_新建面状航线1/DJI_20251031143314_0307_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311413_010_新建面状航线1/DJI_20251031143314_0307_V.JPG,30.394493797,114.445886924,391.429,372.246,-45.10,-118.90,-21.80,downview,downview,"Selected from downview pool using the lower half of pitches in [-85.0, -40.0] and temporal/spatial spacing.",auto_selected
DJI_202510311435_011_新建面状航线1,DJI_20251031143818_0001_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311435_011_新建面状航线1/DJI_20251031143818_0001_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031143818_0001_V.JPG,30.394679984,114.446283372,391.582,372.341,-48.70,-121.00,-6.00,downview,downview,"Selected from downview pool using the lower half of pitches in [-85.0, -40.0] and temporal/spatial spacing.",auto_selected
DJI_202510311435_011_新建面状航线1,DJI_20251031143923_0011_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311435_011_新建面状航线1/DJI_20251031143923_0011_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031143923_0011_V.JPG,30.396705099,114.452788577,391.527,372.265,-44.90,-118.70,-16.40,tilted,tilted,"Selected from tilted pool using the upper half of pitches in [-85.0, -40.0] and temporal/spatial spacing.",auto_selected
DJI_202510311435_011_新建面状航线1,DJI_20251031144132_0042_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311435_011_新建面状航线1/DJI_20251031144132_0042_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031144132_0042_V.JPG,30.388302394,114.435214044,391.501,372.021,-45.10,61.40,-16.60,downview,downview,"Selected from downview pool using the lower half of pitches in [-85.0, -40.0] and temporal/spatial spacing.",auto_selected
DJI_202510311435_011_新建面状航线1,DJI_20251031144539_0092_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311435_011_新建面状航线1/DJI_20251031144539_0092_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031144539_0092_V.JPG,30.390884028,114.445153468,391.485,372.023,-45.10,61.40,-18.60,downview,downview,"Selected from downview pool using the lower half of pitches in [-85.0, -40.0] and temporal/spatial spacing.",auto_selected
DJI_202510311435_011_新建面状航线1,DJI_20251031144721_0113_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311435_011_新建面状航线1/DJI_20251031144721_0113_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031144721_0113_V.JPG,30.385768287,114.436716196,391.516,372.038,-44.90,61.00,-14.90,tilted,tilted,"Selected from tilted pool using the upper half of pitches in [-85.0, -40.0] and temporal/spatial spacing.",auto_selected
DJI_202510311435_011_新建面状航线1,DJI_20251031144854_0137_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311435_011_新建面状航线1/DJI_20251031144854_0137_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031144854_0137_V.JPG,30.391824672,114.449384185,391.499,372.031,-45.00,-119.00,-15.00,downview,downview,"Selected from downview pool using the lower half of pitches in [-85.0, -40.0] and temporal/spatial spacing.",auto_selected
DJI_202510311435_011_新建面状航线1,DJI_20251031145237_0180_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311435_011_新建面状航线1/DJI_20251031145237_0180_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031145237_0180_V.JPG,30.384437535,114.438471762,391.490,372.025,-45.00,60.90,-14.90,tilted,tilted,"Selected from tilted pool using the upper half of pitches in [-85.0, -40.0] and temporal/spatial spacing.",auto_selected
DJI_202510311435_011_新建面状航线1,DJI_20251031145538_0218_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311435_011_新建面状航线1/DJI_20251031145538_0218_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031145538_0218_V.JPG,30.388844617,114.449964623,391.464,372.018,-44.90,-118.40,-17.50,tilted,tilted,"Selected from tilted pool using the upper half of pitches in [-85.0, -40.0] and temporal/spatial spacing.",auto_selected
DJI_202510311435_011_新建面状航线1,DJI_20251031145828_0255_V.JPG,/mnt/d/数据/武汉影像/无人机0.1m/DJI_202510311435_011_新建面状航线1/DJI_20251031145828_0255_V.JPG,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/selected_queries/DJI_202510311435_011_新建面状航线1/DJI_20251031145828_0255_V.JPG,30.385558803,114.445356609,391.496,372.017,-45.10,-119.10,-16.10,downview,downview,"Selected from downview pool using the lower half of pitches in [-85.0, -40.0] and temporal/spatial spacing.",auto_selected
