query_id,candidate_tile_id,tile_size_m,source_tif,image_path,center_x,center_y,min_x,min_y,max_x,max_y,is_intersection_truth,is_strict_truth,intersection_area_m2,contains_query_center,query_crs
q_001,s300_x253605.070_y3364815.419,300.0,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_71-86.tif,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s300_x253605.070_y3364815.419.png,253605.07017110073,3364815.4188417904,253455.07017110073,3364665.4188417904,253755.07017110073,3364965.4188417904,1,0,30869.967,1,EPSG:32650
q_001,s500_x253630.070_y3364690.419,500.0,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_71-86.tif,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s500_x253630.070_y3364690.419.png,253630.07017110073,3364690.4188417904,253380.07017110073,3364440.4188417904,253880.07017110073,3364940.4188417904,1,0,36039.537,0,EPSG:32650
q_001,s500_x253630.070_y3365065.419,500.0,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_71-86.tif,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s500_x253630.070_y3365065.419.png,253630.07017110073,3365065.4188417904,253380.07017110073,3364815.4188417904,253880.07017110073,3365315.4188417904,1,0,69316.876,1,EPSG:32650
q_001,s700_x253355.070_y3364790.419,700.0,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_71-86.tif,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s700_x253355.070_y3364790.419.png,253355.07017110073,3364790.4188417904,253005.07017110073,3364440.4188417904,253705.07017110073,3365140.4188417904,1,1,31711.258,0,EPSG:32650
q_001,s700_x253880.070_y3364790.419,700.0,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_71-86.tif,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s700_x253880.070_y3364790.419.png,253880.07017110073,3364790.4188417904,253530.07017110073,3364440.4188417904,254230.07017110073,3365140.4188417904,1,0,75041.775,1,EPSG:32650
q_001,s200_x253783.067_y3364978.442,200.0,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_71-87.tif,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s200_x253783.067_y3364978.442.png,253783.06710738334,3364978.4419510043,253683.06710738334,3364878.4419510043,253883.06710738334,3365078.4419510043,1,1,36756.653,1,EPSG:32650
q_001,s300_x253683.067_y3364803.442,300.0,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_71-87.tif,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s300_x253683.067_y3364803.442.png,253683.06710738334,3364803.4419510043,253533.06710738334,3364653.4419510043,253833.06710738334,3364953.4419510043,1,1,36877.574,1,EPSG:32650
q_001,s300_x253683.067_y3365028.442,300.0,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_71-87.tif,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s300_x253683.067_y3365028.442.png,253683.06710738334,3365028.4419510043,253533.06710738334,3364878.4419510043,253833.06710738334,3365178.4419510043,1,0,49338.413,1,EPSG:32650
q_001,s500_x253783.067_y3364678.442,500.0,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_71-87.tif,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s500_x253783.067_y3364678.442.png,253783.06710738334,3364678.4419510043,253533.06710738334,3364428.4419510043,254033.06710738334,3364928.4419510043,1,1,33114.085,0,EPSG:32650
q_001,s500_x253783.067_y3365053.442,500.0,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_71-87.tif,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s500_x253783.067_y3365053.442.png,253783.06710738334,3365053.4419510043,253533.06710738334,3364803.4419510043,254033.06710738334,3365303.4419510043,1,0,72808.776,1,EPSG:32650
