query_id,candidate_id,status,status_detail,bucket,candidate_rank,total_correspondences,valid_correspondences,ok_ratio,nodata_ratio,inlier_count,inlier_ratio,coverage_bbox_area_px2,coverage_score,inlier_count_norm,elevation_span_m,elevation_span_norm,reproj_error_m,reproj_error_norm,pose_penalty,rvec,tvec,camera_center_x,camera_center_y,camera_center_z,sample_status_breakdown,score,score_rank_within_query
q_001,s500_x253783.067_y3365053.442,ok,,applicable_success,,2000,2000,1.000000,0.000000,680.000000,0.340000,17520306.785303,0.945043,0.823245,14.961518,0.956117,4.832445,0.752192,0.000000,"[0.7602564647409873, -3.043606296361461, 0.00364453713716917]","[1806242.5030029626, -2850380.052705319, 3099.456151847226]",253722.102776,3364938.775707,401.809912,"{""ok"": 2000}",0.523302,1
q_001,s700_x253883.067_y3364778.442,ok,,applicable_success,,2000,2000,1.000000,0.000000,569.000000,0.284500,18539165.589027,1.000000,0.688862,15.545807,0.993456,4.611156,0.669642,0.000000,"[-0.7556893237145206, 3.0383051097067337, 0.0011390139104142344]","[1800458.4535644287, -2854024.0522502866, 9415.760562335852]",253727.931391,3364939.013714,401.493291,"{""ok"": 2000}",0.505504,2
q_001,s500_x253783.067_y3364678.442,ok,,applicable_success,,2000,2000,1.000000,0.000000,632.000000,0.316000,11343863.824537,0.611886,0.765133,15.500119,0.990537,4.308497,0.556738,0.000000,"[0.7546527492583505, -3.033310909295394, -0.07806964069717966]","[1798545.9826691472, -2849838.5943662776, -175243.735344303]",253723.360084,3364919.363538,407.339939,"{""ok"": 2000}",0.444178,3
q_001,s200_x253783.067_y3364828.442,ok,,applicable_success,,2000,2000,1.000000,0.000000,826.000000,0.413000,4211135.306813,0.227148,1.000000,15.648202,1.000000,4.368903,0.579272,0.000000,"[0.7597725805280133, -3.045308642135919, -0.028531695733416164]","[1804417.454795825, -2850880.6870177803, -60808.954737831154]",253724.856902,3364931.545320,405.042944,"{""ok"": 2000}",0.422760,4
q_001,s300_x253908.067_y3364803.442,ok,,applicable_success,,2000,2000,1.000000,0.000000,337.000000,0.168500,5308931.063468,0.286363,0.407990,14.222941,0.908919,4.810189,0.743890,0.000000,"[-0.7530481066262819, 3.035109916614279, 0.03659716172174703]","[1797479.3335209638, -2855289.9763457365, -59540.84281798826]",253731.426948,3364933.596733,409.844308,"{""ok"": 2000}",0.220242,5
q_001,s300_x253908.067_y3365028.442,ok,,applicable_success,,2000,2000,1.000000,0.000000,382.000000,0.191000,4160465.089641,0.224415,0.462470,13.501140,0.862792,4.837117,0.753935,0.000000,"[-0.7255333540649992, 2.98524495348008, -0.0016246671450202473]","[1767258.5229112147, -2873722.5865283883, 76067.11750709977]",253747.402610,3364949.103982,425.174763,"{""ok"": 2000}",0.216783,6
q_001,s300_x255992.683_y3363537.726,ok,,applicable_success,,2000,2000,1.000000,0.000000,6.000000,0.003000,9845526.619583,0.531066,0.007264,8.628526,0.551407,2.816067,0.000000,0.000000,"[1.2057479869011216, 1.934525464588608, -0.382225117877138]","[-2813870.454567439, -1832539.7032120195, -319992.6162343856]",256267.639387,3363449.247199,178.603094,"{""ok"": 2000}",0.190260,7
q_001,s200_x253933.067_y3364978.442,ok,,applicable_success,,2000,2000,1.000000,0.000000,469.000000,0.234500,3006224.689229,0.162155,0.567797,5.687360,0.363451,5.054033,0.834854,0.000000,"[-0.7193646479556546, 2.981466020537444, -0.0593656480473763]","[1752120.4997652143, -2876978.6524210647, 201102.00587965775]",253746.627933,3364964.620698,423.339971,"{""ok"": 2000}",0.177308,8
q_001,s300_x253696.869_y3365187.480,ok,,applicable_success,,2000,2000,1.000000,0.000000,223.000000,0.111500,3558475.311958,0.191944,0.269976,7.776757,0.496974,4.829915,0.751248,0.000000,"[-0.7549741464478871, 2.9824992505731354, 0.12422603978276149]","[1828043.6958223486, -2830024.0507748593, -190436.84013269926]",253754.732736,3364915.222392,391.928050,"{""ok"": 2000}",0.110004,9
q_001,s300_x254238.610_y3365784.565,ok,,applicable_success,,2000,2000,1.000000,0.000000,6.000000,0.003000,5132022.986295,0.276821,0.007264,10.808157,0.690696,4.110055,0.482711,0.000000,"[0.747645188507986, -0.31683152888572985, 0.5040924195842704]","[1606601.5705898732, -2180003.0420455732, -2014526.282049919]",254122.726291,3365608.362520,-33.711135,"{""ok"": 2000}",0.092356,10
