query_id,flight_id,candidate_count,scored_candidate_count,best_candidate_id,best_score,best_score_rank,best_status,best_bucket,best_inlier_count,best_inlier_ratio,best_reproj_error,best_pose_penalty,best_coverage_bbox_area_px2,best_elevation_span_m,best_rvec,best_tvec,best_camera_center_x,best_camera_center_y,best_camera_center_z,score_gap_to_second
q_001,DJI_202510311347_009_新建面状航线1,20,20,s500_x253783.067_y3365053.442,0.523302,1,ok,applicable_success,680.000000,0.340000,4.832445,0.000000,17520306.785303,14.961518,"[0.7602564647409873, -3.043606296361461, 0.00364453713716917]","[1806242.5030029626, -2850380.052705319, 3099.456151847226]",253722.102776,3364938.775707,401.809912,0.017798
q_002,DJI_202510311347_009_新建面状航线1,20,20,s500_x253783.067_y3364678.442,0.490045,1,ok,applicable_success,464.000000,0.232000,4.957782,0.000000,18567114.897581,23.862153,"[0.7730948875483306, -3.041461544232305, -0.009490378482304674]","[1829689.803069662, -2835087.907046655, -22593.138415534962]",253819.722070,3364754.678898,406.900150,0.046963
q_003,DJI_202510311347_009_新建面状航线1,20,20,s700_x253883.067_y3364778.442,0.419166,1,ok,applicable_success,370.000000,0.185000,4.955935,0.000000,20277453.485641,21.178656,"[-0.7699421105461214, 3.026070011643619, 0.026367001888698244]","[1831318.980472918, -2833792.319639727, -33163.428182389835]",253893.758737,3364631.588432,406.767670,0.013896
q_004,DJI_202510311347_009_新建面状航线1,20,20,s500_x254297.293_y3364057.454,0.565513,1,ok,applicable_success,797.000000,0.398500,4.331533,0.000000,20648689.308235,16.979176,"[-3.0344112026891716, -0.7644995043847566, -0.009837535239009581]","[-1817935.2033450357, 2841689.1698329872, 33180.01827951443]",254344.679478,3363999.892309,404.579924,0.041126
q_005,DJI_202510311347_009_新建面状航线1,20,20,s500_x254297.293_y3364057.454,0.524986,1,ok,applicable_success,809.000000,0.404500,4.585592,0.000000,19591294.447380,16.844823,"[-3.0263675137646175, -0.7814390906329061, -0.010374767005682937]","[-1851256.871222645, 2820086.9477253496, 44117.9612565084]",254277.583736,3364124.185755,404.617088,0.023927
q_006,DJI_202510311347_009_新建面状航线1,20,20,s300_x253908.067_y3365028.442,0.506147,1,ok,applicable_success,697.000000,0.348500,4.659748,0.000000,6307809.940570,12.892875,"[-0.823251028728794, 3.0184088502851627, 0.07064877731905977]","[1927226.6853493738, -2767083.101518029, -129402.45532868392]",253930.734026,3364998.603169,407.263460,0.034298
q_007,DJI_202510311347_009_新建面状航线1,20,20,s200_x254083.067_y3364828.442,0.591330,1,ok,applicable_success,1190.000000,0.595000,4.412555,0.000000,3267800.258154,17.073915,"[-0.8208461504170222, 2.993145620133538, -0.0405766553617494]","[1932225.1472647258, -2763565.4666190543, 126190.50459994549]",254030.647644,3364844.783335,406.923912,0.083970
q_008,DJI_202510311347_009_新建面状航线1,20,20,s500_x254158.067_y3364678.442,0.456064,1,ok,applicable_success,434.000000,0.217000,4.876366,0.000000,12836132.978245,23.845203,"[-0.8214597111729035, 2.9951198322831414, 0.04819081057377756]","[1935821.0072613393, -2763149.7384916698, -57887.091304366244]",254102.752072,3364696.419388,401.958150,0.047066
q_009,DJI_202510311347_009_新建面状航线1,20,20,s300_x254422.293_y3363957.454,0.607581,1,ok,applicable_success,678.000000,0.339000,4.658130,0.000000,10232596.535342,12.522961,"[-3.0426073027283524, -0.7621881233088197, -0.011015664610484746]","[-1810420.7748501897, 2846692.10265685, 8782.171389961368]",254576.640290,3364007.581303,403.762665,0.124032
q_010,DJI_202510311347_009_新建面状航线1,20,20,s700_x254397.293_y3364157.454,0.504926,1,ok,applicable_success,561.000000,0.280500,4.666980,0.000000,15261705.574830,14.629734,"[-3.034295531578154, -0.778344153956544, -0.0027740824580390583]","[-1842432.2122797936, 2826242.1641453635, 27432.801149511695]",254447.700363,3364254.744822,406.870453,0.022599
q_011,DJI_202510311347_009_新建面状航线1,20,20,s500_x254311.063_y3364666.491,0.558625,1,ok,applicable_success,811.000000,0.405500,4.636379,0.000000,15925240.613737,16.647446,"[-3.028122470580964, -0.7944779926422771, -0.03521119832883297]","[-1873422.6004208867, 2806488.878404829, 10070.33601653885]",254172.408596,3364757.004406,405.032529,0.024732
q_012,DJI_202510311347_009_新建面状航线1,20,20,s300_x254211.063_y3365016.491,0.555502,1,ok,applicable_success,685.000000,0.342500,4.644847,0.000000,5899668.504420,16.790544,"[0.8011998982287473, -2.999169584567116, -0.09341434400246719]","[1892605.1229856, -2784334.67052078, -230969.45070696122]",254147.691176,3365000.650756,409.457847,0.016371
