query_id,flight_id,tile_id,tile_size_m,coverage_ratio,valid_pixel_ratio,black_pixel_ratio,contains_query_center,soft_reason
q_001,DJI_202510311347_009_新建面状航线1,s300_x253605.070_y3364815.419,300.0,0.411370,0.288809,0.711191,1,low_valid_pixel_ratio
q_001,DJI_202510311347_009_新建面状航线1,s500_x253630.070_y3364690.419,500.0,0.480260,0.317413,0.682587,0,low_valid_pixel_ratio
q_001,DJI_202510311347_009_新建面状航线1,s500_x253630.070_y3365065.419,500.0,0.923711,0.154951,0.845049,1,low_valid_pixel_ratio
q_001,DJI_202510311347_009_新建面状航线1,s700_x253880.070_y3364790.419,700.0,1.000000,0.012320,0.987680,1,low_valid_pixel_ratio
q_001,DJI_202510311347_009_新建面状航线1,s300_x253683.067_y3365028.442,300.0,0.657479,0.534970,0.465030,1,low_valid_pixel_ratio
q_001,DJI_202510311347_009_新建面状航线1,s500_x253783.067_y3365053.442,500.0,0.970243,0.469565,0.530435,1,low_valid_pixel_ratio
q_001,DJI_202510311347_009_新建面状航线1,s700_x253883.067_y3365303.442,700.0,0.437832,0.096244,0.903756,0,low_valid_pixel_ratio
q_001,DJI_202510311347_009_新建面状航线1,s700_x253866.241_y3364706.380,700.0,0.934089,0.002708,0.997292,1,low_valid_pixel_ratio
q_001,DJI_202510311347_009_新建面状航线1,s700_x253869.267_y3364694.404,700.0,0.907522,0.096247,0.903753,1,low_valid_pixel_ratio
q_002,DJI_202510311347_009_新建面状航线1,s500_x253630.070_y3364690.419,500.0,0.706809,0.317413,0.682587,1,low_valid_pixel_ratio
q_002,DJI_202510311347_009_新建面状航线1,s700_x253880.070_y3364790.419,700.0,1.000000,0.012320,0.987680,1,low_valid_pixel_ratio
q_002,DJI_202510311347_009_新建面状航线1,s700_x253866.241_y3364706.380,700.0,1.000000,0.002708,0.997292,1,low_valid_pixel_ratio
q_002,DJI_202510311347_009_新建面状航线1,s700_x253869.267_y3364694.404,700.0,1.000000,0.096247,0.903753,1,low_valid_pixel_ratio
