query_id,flight_id,image_path,truth_tile_ids,center_x,center_y
q_021,DJI_202510311413_010_新建面状航线1,/mnt/d/aiproject/imagematch/new2output/nadir_009010_dinov2_romav2_pose_2026-04-10/query_inputs/images/DJI_202510311413_010_新建面状航线1/DJI_20251031141624_0001_V.JPG,s700_x254922.293_y3364157.454|s200_x254975.317_y3364045.530|s200_x254975.317_y3364195.530|s300_x254950.317_y3364170.530|s500_x254825.317_y3364045.530|s500_x255200.317_y3364045.530|s700_x254925.317_y3364145.530|s700_x254908.525_y3364073.418|s700_x254911.579_y3364061.495,254989.977,3364130.696
q_022,DJI_202510311413_010_新建面状航线1,/mnt/d/aiproject/imagematch/new2output/nadir_009010_dinov2_romav2_pose_2026-04-10/query_inputs/images/DJI_202510311413_010_新建面状航线1/DJI_20251031141633_0005_V.JPG,s700_x254922.293_y3364157.454|s200_x254975.317_y3364195.530|s300_x254950.317_y3364170.530|s500_x254825.317_y3364045.530|s500_x254825.317_y3364420.530|s500_x255200.317_y3364045.530|s700_x254925.317_y3364145.530|s700_x254908.525_y3364073.418|s700_x254911.579_y3364061.495,254951.869,3364202.599
q_023,DJI_202510311413_010_新建面状航线1,/mnt/d/aiproject/imagematch/new2output/nadir_009010_dinov2_romav2_pose_2026-04-10/query_inputs/images/DJI_202510311413_010_新建面状航线1/DJI_20251031141642_0009_V.JPG,s500_x254672.293_y3364432.454|s700_x254922.293_y3364157.454|s700_x254922.293_y3364682.454|s200_x254825.317_y3364345.530|s200_x254975.317_y3364345.530|s300_x254950.317_y3364395.530|s500_x254825.317_y3364420.530|s700_x254925.317_y3364145.530|s700_x254925.317_y3364670.530|s700_x254908.525_y3364073.418|s700_x254911.579_y3364061.495,254887.153,3364325.334
q_024,DJI_202510311413_010_新建面状航线1,/mnt/d/aiproject/imagematch/new2output/nadir_009010_dinov2_romav2_pose_2026-04-10/query_inputs/images/DJI_202510311413_010_新建面状航线1/DJI_20251031141701_0019_V.JPG,s700_x254408.067_y3364778.442|s300_x254661.063_y3364566.491|s500_x254686.063_y3364666.491|s700_x254411.063_y3364766.491|s700_x254936.063_y3364766.491|s200_x254689.058_y3364504.565|s300_x254739.058_y3364554.565|s500_x254839.058_y3364654.565|s700_x254939.058_y3364754.565|s700_x254394.267_y3364694.404|s500_x254672.293_y3364432.454|s700_x254397.293_y3364682.454|s700_x254922.293_y3364682.454|s500_x254825.317_y3364420.530|s700_x254925.317_y3364670.530,254751.890,3364581.740
q_025,DJI_202510311413_010_新建面状航线1,/mnt/d/aiproject/imagematch/new2output/nadir_009010_dinov2_romav2_pose_2026-04-10/query_inputs/images/DJI_202510311413_010_新建面状航线1/DJI_20251031141907_0057_V.JPG,s700_x254421.869_y3365387.480|s200_x254474.835_y3365275.528|s200_x254624.835_y3365275.528|s300_x254449.835_y3365175.528|s300_x254674.835_y3365175.528|s500_x254324.835_y3365275.528|s500_x254699.835_y3365275.528|s700_x254424.835_y3365375.528|s700_x254408.067_y3365303.442|s500_x254311.063_y3365041.491|s500_x254686.063_y3365041.491|s700_x254411.063_y3365291.491,254528.976,3365230.795
q_026,DJI_202510311413_010_新建面状航线1,/mnt/d/aiproject/imagematch/new2output/nadir_009010_dinov2_romav2_pose_2026-04-10/query_inputs/images/DJI_202510311413_010_新建面状航线1/DJI_20251031141917_0061_V.JPG,s700_x254421.869_y3365387.480|s200_x254624.835_y3365125.528|s300_x254449.835_y3365175.528|s300_x254674.835_y3365175.528|s500_x254699.835_y3365275.528|s700_x254424.835_y3365375.528|s700_x254949.835_y3365375.528|s300_x254752.800_y3365163.601|s500_x254852.800_y3365263.601|s700_x254952.800_y3365363.601|s700_x254408.067_y3364778.442|s700_x254408.067_y3365303.442|s200_x254611.063_y3365116.491|s300_x254436.063_y3365016.491|s300_x254661.063_y3365016.491|s500_x254686.063_y3365041.491|s700_x254411.063_y3364766.491|s700_x254411.063_y3365291.491|s700_x254936.063_y3365291.491|s200_x254689.058_y3365104.565|s500_x254839.058_y3365029.565|s700_x254939.058_y3365279.565,254593.821,3365108.069
q_027,DJI_202510311413_010_新建面状航线1,/mnt/d/aiproject/imagematch/new2output/nadir_009010_dinov2_romav2_pose_2026-04-10/query_inputs/images/DJI_202510311413_010_新建面状航线1/DJI_20251031141930_0067_V.JPG,s700_x254408.067_y3364778.442|s300_x254661.063_y3364791.491|s300_x254661.063_y3365016.491|s500_x254686.063_y3364666.491|s500_x254686.063_y3365041.491|s700_x254411.063_y3364766.491|s700_x254936.063_y3364766.491|s200_x254689.058_y3364954.565|s300_x254739.058_y3364779.565|s300_x254739.058_y3365004.565|s500_x254839.058_y3365029.565|s700_x254939.058_y3364754.565|s700_x254939.058_y3365279.565|s700_x254394.267_y3364694.404|s700_x254397.293_y3364682.454|s700_x254922.293_y3364682.454|s700_x254925.317_y3364670.530,254690.710,3364924.368
q_028,DJI_202510311413_010_新建面状航线1,/mnt/d/aiproject/imagematch/new2output/nadir_009010_dinov2_romav2_pose_2026-04-10/query_inputs/images/DJI_202510311413_010_新建面状航线1/DJI_20251031141957_0083_V.JPG,s500_x254686.063_y3364666.491|s700_x254936.063_y3364766.491|s200_x254839.058_y3364504.565|s300_x254739.058_y3364554.565|s300_x254964.058_y3364554.565|s500_x254839.058_y3364654.565|s700_x254939.058_y3364754.565|s500_x254672.293_y3364432.454|s700_x254922.293_y3364682.454|s200_x254825.317_y3364495.530|s500_x254825.317_y3364420.530|s700_x254925.317_y3364670.530,254877.954,3364569.618
q_029,DJI_202510311413_010_新建面状航线1,/mnt/d/aiproject/imagematch/new2output/nadir_009010_dinov2_romav2_pose_2026-04-10/query_inputs/images/DJI_202510311413_010_新建面状航线1/DJI_20251031142154_0116_V.JPG,s700_x254922.293_y3364157.454|s200_x255125.317_y3364195.530|s300_x255175.317_y3364170.530|s300_x255175.317_y3364395.530|s500_x255200.317_y3364045.530|s500_x255200.317_y3364420.530|s700_x254925.317_y3364145.530|s700_x255450.317_y3364145.530|s200_x255203.340_y3364183.631|s300_x255253.340_y3364158.631|s500_x255353.340_y3364033.631|s500_x255353.340_y3364408.631|s700_x255453.340_y3364133.631|s700_x254908.525_y3364073.418|s700_x254911.579_y3364061.495|s700_x255436.579_y3364061.495|s700_x255439.632_y3364049.598,255176.869,3364229.102
q_030,DJI_202510311413_010_新建面状航线1,/mnt/d/aiproject/imagematch/new2output/nadir_009010_dinov2_romav2_pose_2026-04-10/query_inputs/images/DJI_202510311413_010_新建面状航线1/DJI_20251031142204_0120_V.JPG,s700_x254922.293_y3364157.454|s700_x254922.293_y3364682.454|s200_x255125.317_y3364345.530|s300_x255175.317_y3364395.530|s500_x255200.317_y3364420.530|s700_x254925.317_y3364145.530|s700_x254925.317_y3364670.530|s700_x255450.317_y3364145.530|s200_x255203.340_y3364333.631|s300_x255253.340_y3364383.631|s500_x255353.340_y3364408.631|s700_x255453.340_y3364133.631|s700_x255453.340_y3364658.631|s700_x254908.525_y3364073.418|s700_x254911.579_y3364061.495|s700_x255436.579_y3364061.495,255112.199,3364351.522
