download_request_id,dsm_source_name,crs,request_min_x,request_min_y,request_max_x,request_max_y,primary_candidate_tile_id,raster_path,status
srtm_s200_x253646.869_y3365287.480,srtm,EPSG:32650,253296.869116,3364937.480293,253996.869116,3365637.480293,s200_x253646.869_y3365287.480,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x253646.869_y3365287.480.tif,ready
srtm_s300_x253696.869_y3365187.480,srtm,EPSG:32650,253296.869116,3364787.480293,254096.869116,3365587.480293,s300_x253696.869_y3365187.480,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s300_x253696.869_y3365187.480.tif,ready
srtm_s700_x253883.067_y3364778.442,srtm,EPSG:32650,253283.067107,3364178.441951,254483.067107,3365378.441951,s700_x253883.067_y3364778.442,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s700_x253883.067_y3364778.442.tif,ready
srtm_s500_x253783.067_y3364678.442,srtm,EPSG:32650,253283.067107,3364178.441951,254283.067107,3365178.441951,s500_x253783.067_y3364678.442,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s500_x253783.067_y3364678.442.tif,ready
srtm_s300_x253908.067_y3364803.442,srtm,EPSG:32650,253508.067107,3364403.441951,254308.067107,3365203.441951,s300_x253908.067_y3364803.442,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s300_x253908.067_y3364803.442.tif,ready
srtm_s200_x253933.067_y3364978.442,srtm,EPSG:32650,253583.067107,3364628.441951,254283.067107,3365328.441951,s200_x253933.067_y3364978.442,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x253933.067_y3364978.442.tif,ready
srtm_s200_x254174.835_y3365575.528,srtm,EPSG:32650,253824.835312,3365225.527801,254524.835312,3365925.527801,s200_x254174.835_y3365575.528,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x254174.835_y3365575.528.tif,ready
srtm_s300_x253908.067_y3365028.442,srtm,EPSG:32650,253508.067107,3364628.441951,254308.067107,3365428.441951,s300_x253908.067_y3365028.442,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s300_x253908.067_y3365028.442.tif,ready
srtm_s200_x253933.067_y3364828.442,srtm,EPSG:32650,253583.067107,3364478.441951,254283.067107,3365178.441951,s200_x253933.067_y3364828.442,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x253933.067_y3364828.442.tif,ready
srtm_s200_x255717.683_y3363412.726,srtm,EPSG:32650,255367.683467,3363062.725989,256067.683467,3363762.725989,s200_x255717.683_y3363412.726,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x255717.683_y3363412.726.tif,ready
srtm_s200_x253796.869_y3365287.480,srtm,EPSG:32650,253446.869116,3364937.480293,254146.869116,3365637.480293,s200_x253796.869_y3365287.480,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x253796.869_y3365287.480.tif,ready
srtm_s200_x253660.673_y3365746.519,srtm,EPSG:32650,253310.673390,3365396.519047,254010.673390,3366096.519047,s200_x253660.673_y3365746.519,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x253660.673_y3365746.519.tif,ready
srtm_s500_x253796.869_y3365287.480,srtm,EPSG:32650,253296.869116,3364787.480293,254296.869116,3365787.480293,s500_x253796.869_y3365287.480,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s500_x253796.869_y3365287.480.tif,ready
srtm_s200_x253646.869_y3365587.480,srtm,EPSG:32650,253296.869116,3365237.480293,253996.869116,3365937.480293,s200_x253646.869_y3365587.480,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x253646.869_y3365587.480.tif,ready
srtm_s200_x253810.673_y3365746.519,srtm,EPSG:32650,253460.673390,3365396.519047,254160.673390,3366096.519047,s200_x253810.673_y3365746.519,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x253810.673_y3365746.519.tif,ready
srtm_s200_x253905.470_y3363310.367,srtm,EPSG:32650,253555.469888,3362960.366502,254255.469888,3363660.366502,s200_x253905.470_y3363310.367,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x253905.470_y3363310.367.tif,ready
srtm_s200_x254474.835_y3365425.528,srtm,EPSG:32650,254124.835312,3365075.527801,254824.835312,3365775.527801,s200_x254474.835_y3365425.528,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x254474.835_y3365425.528.tif,ready
srtm_s500_x253268.902_y3365299.458,srtm,EPSG:32650,252768.901807,3364799.458470,253768.901807,3365799.458470,s500_x253268.902_y3365299.458,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s500_x253268.902_y3365299.458.tif,ready
