dsm_id,candidate_tile_id,dsm_source_name,crs,tile_min_x,tile_min_y,tile_max_x,tile_max_y,expand_margin_m,request_min_x,request_min_y,request_max_x,request_max_y,raster_path,status,download_request_id
s200_x253646.869_y3365287.480,s200_x253646.869_y3365287.480,srtm,EPSG:32650,253546.86911584332,3365187.480292981,253746.86911584332,3365387.480292981,250.000,253296.869116,3364937.480293,253996.869116,3365637.480293,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x253646.869_y3365287.480.tif,ready,srtm_s200_x253646.869_y3365287.480
s300_x253696.869_y3365187.480,s300_x253696.869_y3365187.480,srtm,EPSG:32650,253546.86911584332,3365037.480292981,253846.86911584332,3365337.480292981,250.000,253296.869116,3364787.480293,254096.869116,3365587.480293,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s300_x253696.869_y3365187.480.tif,ready,srtm_s300_x253696.869_y3365187.480
s700_x253883.067_y3364778.442,s700_x253883.067_y3364778.442,srtm,EPSG:32650,253533.06710738334,3364428.4419510043,254233.06710738334,3365128.4419510043,250.000,253283.067107,3364178.441951,254483.067107,3365378.441951,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s700_x253883.067_y3364778.442.tif,ready,srtm_s700_x253883.067_y3364778.442
s500_x253783.067_y3364678.442,s500_x253783.067_y3364678.442,srtm,EPSG:32650,253533.06710738334,3364428.4419510043,254033.06710738334,3364928.4419510043,250.000,253283.067107,3364178.441951,254283.067107,3365178.441951,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s500_x253783.067_y3364678.442.tif,ready,srtm_s500_x253783.067_y3364678.442
s300_x253908.067_y3364803.442,s300_x253908.067_y3364803.442,srtm,EPSG:32650,253758.06710738334,3364653.4419510043,254058.06710738334,3364953.4419510043,250.000,253508.067107,3364403.441951,254308.067107,3365203.441951,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s300_x253908.067_y3364803.442.tif,ready,srtm_s300_x253908.067_y3364803.442
s200_x253933.067_y3364978.442,s200_x253933.067_y3364978.442,srtm,EPSG:32650,253833.06710738334,3364878.4419510043,254033.06710738334,3365078.4419510043,250.000,253583.067107,3364628.441951,254283.067107,3365328.441951,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x253933.067_y3364978.442.tif,ready,srtm_s200_x253933.067_y3364978.442
s200_x254174.835_y3365575.528,s200_x254174.835_y3365575.528,srtm,EPSG:32650,254074.83531152448,3365475.5278006354,254274.83531152448,3365675.5278006354,250.000,253824.835312,3365225.527801,254524.835312,3365925.527801,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x254174.835_y3365575.528.tif,ready,srtm_s200_x254174.835_y3365575.528
s300_x253908.067_y3365028.442,s300_x253908.067_y3365028.442,srtm,EPSG:32650,253758.06710738334,3364878.4419510043,254058.06710738334,3365178.4419510043,250.000,253508.067107,3364628.441951,254308.067107,3365428.441951,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s300_x253908.067_y3365028.442.tif,ready,srtm_s300_x253908.067_y3365028.442
s200_x253933.067_y3364828.442,s200_x253933.067_y3364828.442,srtm,EPSG:32650,253833.06710738334,3364728.4419510043,254033.06710738334,3364928.4419510043,250.000,253583.067107,3364478.441951,254283.067107,3365178.441951,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x253933.067_y3364828.442.tif,ready,srtm_s200_x253933.067_y3364828.442
s200_x255717.683_y3363412.726,s200_x255717.683_y3363412.726,srtm,EPSG:32650,255617.68346681632,3363312.725988563,255817.68346681632,3363512.725988563,250.000,255367.683467,3363062.725989,256067.683467,3363762.725989,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x255717.683_y3363412.726.tif,ready,srtm_s200_x255717.683_y3363412.726
s200_x253796.869_y3365287.480,s200_x253796.869_y3365287.480,srtm,EPSG:32650,253696.86911584332,3365187.480292981,253896.86911584332,3365387.480292981,250.000,253446.869116,3364937.480293,254146.869116,3365637.480293,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x253796.869_y3365287.480.tif,ready,srtm_s200_x253796.869_y3365287.480
s200_x253660.673_y3365746.519,s200_x253660.673_y3365746.519,srtm,EPSG:32650,253560.6733898759,3365646.519046808,253760.6733898759,3365846.519046808,250.000,253310.673390,3365396.519047,254010.673390,3366096.519047,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x253660.673_y3365746.519.tif,ready,srtm_s200_x253660.673_y3365746.519
s500_x253796.869_y3365287.480,s500_x253796.869_y3365287.480,srtm,EPSG:32650,253546.86911584332,3365037.480292981,254046.86911584332,3365537.480292981,250.000,253296.869116,3364787.480293,254296.869116,3365787.480293,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s500_x253796.869_y3365287.480.tif,ready,srtm_s500_x253796.869_y3365287.480
s200_x253646.869_y3365587.480,s200_x253646.869_y3365587.480,srtm,EPSG:32650,253546.86911584332,3365487.480292981,253746.86911584332,3365687.480292981,250.000,253296.869116,3365237.480293,253996.869116,3365937.480293,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x253646.869_y3365587.480.tif,ready,srtm_s200_x253646.869_y3365587.480
s200_x253810.673_y3365746.519,s200_x253810.673_y3365746.519,srtm,EPSG:32650,253710.6733898759,3365646.519046808,253910.6733898759,3365846.519046808,250.000,253460.673390,3365396.519047,254160.673390,3366096.519047,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x253810.673_y3365746.519.tif,ready,srtm_s200_x253810.673_y3365746.519
s200_x253905.470_y3363310.367,s200_x253905.470_y3363310.367,srtm,EPSG:32650,253805.4698876719,3363210.3665024354,254005.4698876719,3363410.3665024354,250.000,253555.469888,3362960.366502,254255.469888,3363660.366502,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x253905.470_y3363310.367.tif,ready,srtm_s200_x253905.470_y3363310.367
s200_x254474.835_y3365425.528,s200_x254474.835_y3365425.528,srtm,EPSG:32650,254374.83531152448,3365325.5278006354,254574.83531152448,3365525.5278006354,250.000,254124.835312,3365075.527801,254824.835312,3365775.527801,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x254474.835_y3365425.528.tif,ready,srtm_s200_x254474.835_y3365425.528
s500_x253268.902_y3365299.458,s500_x253268.902_y3365299.458,srtm,EPSG:32650,253018.9018066581,3365049.4584696507,253518.9018066581,3365549.4584696507,250.000,252768.901807,3364799.458470,253768.901807,3365799.458470,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s500_x253268.902_y3365299.458.tif,ready,srtm_s500_x253268.902_y3365299.458
s200_x254311.063_y3364816.491,s200_x254311.063_y3364816.491,srtm,EPSG:32650,254211.06292971745,3364716.490741796,254411.06292971745,3364916.490741796,250.000,253961.062930,3364466.490742,254661.062930,3365166.490742,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x254311.063_y3364816.491.tif,ready,srtm_s200_x254311.063_y3364816.491
s200_x254461.063_y3364816.491,s200_x254461.063_y3364816.491,srtm,EPSG:32650,254361.06292971745,3364716.490741796,254561.06292971745,3364916.490741796,250.000,254111.062930,3364466.490742,254811.062930,3365166.490742,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x254461.063_y3364816.491.tif,ready,srtm_s200_x254461.063_y3364816.491
s500_x254158.067_y3364678.442,s500_x254158.067_y3364678.442,srtm,EPSG:32650,253908.06710738334,3364428.4419510043,254408.06710738334,3364928.4419510043,250.000,253658.067107,3364178.441951,254658.067107,3365178.441951,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s500_x254158.067_y3364678.442.tif,ready,srtm_s500_x254158.067_y3364678.442
s300_x254133.067_y3364578.442,s300_x254133.067_y3364578.442,srtm,EPSG:32650,253983.06710738334,3364428.4419510043,254283.06710738334,3364728.4419510043,250.000,253733.067107,3364178.441951,254533.067107,3364978.441951,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s300_x254133.067_y3364578.442.tif,ready,srtm_s300_x254133.067_y3364578.442
s200_x254083.067_y3364528.442,s200_x254083.067_y3364528.442,srtm,EPSG:32650,253983.06710738334,3364428.4419510043,254183.06710738334,3364628.4419510043,250.000,253733.067107,3364178.441951,254433.067107,3364878.441951,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x254083.067_y3364528.442.tif,ready,srtm_s200_x254083.067_y3364528.442
s300_x254449.835_y3365625.528,s300_x254449.835_y3365625.528,srtm,EPSG:32650,254299.83531152448,3365475.5278006354,254599.83531152448,3365775.5278006354,250.000,254049.835312,3365225.527801,254849.835312,3366025.527801,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s300_x254449.835_y3365625.528.tif,ready,srtm_s300_x254449.835_y3365625.528
s300_x253908.067_y3364578.442,s300_x253908.067_y3364578.442,srtm,EPSG:32650,253758.06710738334,3364428.4419510043,254058.06710738334,3364728.4419510043,250.000,253508.067107,3364178.441951,254308.067107,3364978.441951,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s300_x253908.067_y3364578.442.tif,ready,srtm_s300_x253908.067_y3364578.442
