query_id,candidate_tile_id,tile_size_m,source_tif,image_path,center_x,center_y,min_x,min_y,max_x,max_y,is_intersection_truth,is_strict_truth,intersection_area_m2,contains_query_center,query_crs
q_001,s200_x253268.902_y3365149.458,200.0,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_70-86.tif,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s200_x253268.902_y3365149.458.png,253268.9018066581,3365149.4584696507,253168.9018066581,3365049.4584696507,253368.9018066581,3365249.4584696507,1,1,1212.297363,0,EPSG:32650
q_001,s200_x253418.902_y3365149.458,200.0,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_70-86.tif,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s200_x253418.902_y3365149.458.png,253418.9018066581,3365149.4584696507,253318.9018066581,3365049.4584696507,253518.9018066581,3365249.4584696507,1,1,21449.502502,0,EPSG:32650
q_001,s200_x253418.902_y3365299.458,200.0,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_70-86.tif,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s200_x253418.902_y3365299.458.png,253418.9018066581,3365299.4584696507,253318.9018066581,3365199.4584696507,253518.9018066581,3365399.4584696507,1,1,660.952881,1,EPSG:32650
q_001,s200_x253568.902_y3365149.458,200.0,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_70-86.tif,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s200_x253568.902_y3365149.458.png,253568.9018066581,3365149.4584696507,253468.9018066581,3365049.4584696507,253668.9018066581,3365249.4584696507,1,1,37706.69989,0,EPSG:32650
q_001,s200_x253568.902_y3365299.458,200.0,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_70-86.tif,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s200_x253568.902_y3365299.458.png,253568.9018066581,3365299.4584696507,253468.9018066581,3365199.4584696507,253668.9018066581,3365399.4584696507,1,1,11128.076477,1,EPSG:32650
q_001,s300_x253393.902_y3365199.458,300.0,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_70-86.tif,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s300_x253393.902_y3365199.458.png,253393.9018066581,3365199.4584696507,253243.9018066581,3365049.4584696507,253543.9018066581,3365349.4584696507,1,1,26060.001038,0,EPSG:32650
q_001,s300_x253618.902_y3365199.458,300.0,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_70-86.tif,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s300_x253618.902_y3365199.458.png,253618.9018066581,3365199.4584696507,253468.9018066581,3365049.4584696507,253768.9018066581,3365349.4584696507,1,1,69865.491455,0,EPSG:32650
q_001,s300_x253618.902_y3365424.458,300.0,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_70-86.tif,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s300_x253618.902_y3365424.458.png,253618.9018066581,3365424.4584696507,253468.9018066581,3365274.4584696507,253768.9018066581,3365574.4584696507,1,1,7774.133789,1,EPSG:32650
q_001,s500_x253268.902_y3365299.458,500.0,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_70-86.tif,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s500_x253268.902_y3365299.458.png,253268.9018066581,3365299.4584696507,253018.9018066581,3365049.4584696507,253518.9018066581,3365549.4584696507,1,1,21449.502502,1,EPSG:32650
q_001,s500_x253643.902_y3365299.458,500.0,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_70-86.tif,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s500_x253643.902_y3365299.458.png,253643.9018066581,3365299.4584696507,253393.9018066581,3365049.4584696507,253893.9018066581,3365549.4584696507,1,1,115626.165955,1,EPSG:32650
q_001,s700_x253368.902_y3365399.458,700.0,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_70-86.tif,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s700_x253368.902_y3365399.458.png,253368.9018066581,3365399.4584696507,253018.9018066581,3365049.4584696507,253718.9018066581,3365749.4584696507,1,1,68234.538025,1,EPSG:32650
q_001,s700_x253893.902_y3365399.458,700.0,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_70-86.tif,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s700_x253893.902_y3365399.458.png,253893.9018066581,3365399.4584696507,253543.9018066581,3365049.4584696507,254243.9018066581,3365749.4584696507,1,1,137976.352356,0,EPSG:32650
q_001,s200_x253646.869_y3365137.480,200.0,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_70-87.tif,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s200_x253646.869_y3365137.480.png,253646.86911584332,3365137.480292981,253546.86911584332,3365037.480292981,253746.86911584332,3365237.480292981,1,1,40000.0,0,EPSG:32650
