query_id,candidate_id,status,status_detail,total_correspondences,valid_correspondences,ok_ratio,nodata_ratio,inlier_count,inlier_ratio,coverage_bbox_area_px2,elevation_span_m,reproj_error_mean,reproj_error_refined_mean,pose_penalty,rvec,tvec,camera_center_x,camera_center_y,camera_center_z,sample_status_breakdown
q_001,s200_x253646.869_y3365287.480,ok,,2000,2000,1,0,347,0.1735,2335410.553,7.017044,31.248754,4.806665,0,"[0.6739665892449545, -2.7389933627824434, 1.1081998926686478]","[1711932.8907747979, -2044654.4029063312, 2068471.3923503603]",253535.9516,3365355.718,407.894001,"{""ok"": 2000}"
q_001,s300_x253696.869_y3365187.480,ok,,2000,2000,1,0,520,0.26,6617073.071,9.028966,23.516966,4.62967,0,"[0.6522497780454796, -2.6687204292614153, 1.0829739853411258]","[1787468.3168436778, -2059518.0821204938, 1988259.118036968]",253506.8634,3365347.849,402.65597,"{""ok"": 2000}"
q_001,s700_x253883.067_y3364778.442,ok,,2000,2000,1,0,709,0.3545,7029502.118,22.516994,14.644814,4.76789,0,"[0.6573123121560697, -2.667165986027865, 1.09413198857944]","[1791279.1361894188, -2037952.7055471358, 2006967.7152573506]",253507.0525,3365350.739,402.300512,"{""ok"": 2000}"
q_001,s500_x253783.067_y3364678.442,ok,,2000,2000,1,0,621,0.3105,4480305.014,23.758837,16.587212,4.580239,0,"[0.658698648598594, -2.6717155762656937, 1.0856998880976225]","[1791887.644776846, -2050958.385683861, 1993124.1261811848]",253508.2455,3365348.246,406.847143,"{""ok"": 2000}"
q_001,s300_x253908.067_y3364803.442,ok,,2000,2000,1,0,380,0.19,1833667.268,17.661845,21.655085,4.870573,0,"[0.6610856442865455, -2.691954574807707, 1.0737130106987296]","[1775281.2950621427, -2076688.8837393865, 1981309.7728932966]",253515.9254,3365349.657,418.607732,"{""ok"": 2000}"
q_001,s200_x253933.067_y3364978.442,ok,,2000,2000,1,0,449,0.2245,497802.0975,5.772179,27.286136,4.822263,0,"[0.6484841205815202, -2.6457463031352866, 1.0160673763895065]","[1842155.0244132448, -2143001.7862338517, 1844903.9123603818]",253487.3015,3365324.094,410.678734,"{""ok"": 2000}"
q_001,s200_x254174.835_y3365575.528,ok,,2000,2000,1,0,77,0.0385,66137.91877,8.999676,1957.116056,5.307273,0,"[-1.447549670977173, -0.44467705573576394, -0.37715451852608917]","[-1913219.0346240378, -310159.31564495724, 2763885.97545845]",254275.6944,3366157.365,155.339208,"{""ok"": 2000}"
q_001,s300_x253908.067_y3365028.442,ok,,2000,2000,1,0,543,0.2715,1612770.705,13.335138,67.487049,4.858423,0,"[0.6721221658240532, -2.6471969626440393, 1.1729760244342817]","[1793496.0253649894, -1898210.510255953, 2137791.1658574305]",253508.2372,3365370.059,379.870789,"{""ok"": 2000}"
q_001,s200_x253933.067_y3364828.442,ok,,2000,2000,1,0,485,0.2425,529318.2883,15.833567,22.480997,4.668844,0,"[0.5949746549342068, -2.65004200028246, 1.0385148273449762]","[1742194.0520598837, -2167969.25342517, 1911687.5657434894]",253484.6948,3365356.665,416.725517,"{""ok"": 2000}"
q_001,s200_x255717.683_y3363412.726,ok,,2000,2000,1,0,67,0.0335,3793.969316,5.563245,2182.07968,4.781061,1,"[-0.785753941027479, 0.677746977445439, 2.198142168639827]","[2663074.0099512194, 1978141.0079920501, -601871.990526419]",256446.2537,3361768.782,-947.602237,"{""ok"": 2000}"
q_001,s200_x253796.869_y3365287.480,ok,,2000,2000,1,0,277,0.1385,1643069.792,6.979534,30.770293,5.292572,0,"[0.6929954633921427, -2.756707133433697, 1.0462615433246933]","[1753237.6317604694, -2117895.849561334, 1957164.824258769]",253526.1551,3365344.479,445.438859,"{""ok"": 2000}"
q_001,s200_x253660.673_y3365746.519,ok,,2000,2000,1,0,17,0.0085,17647.91404,7.833138,699.185979,4.588031,0,"[1.9436479265481656, -0.6805029995061167, -1.7034625758904531]","[182260.97419232488, 2750736.915838124, -1945077.624999242]",254416.421,3364278.772,485.797118,"{""ok"": 2000}"
q_001,s500_x253796.869_y3365287.480,ok,,2000,2000,1,0,502,0.251,8840687.558,13.33777,20.927466,4.86199,0,"[0.6644511226519902, -2.6850688862671097, 1.0881704477729104]","[1781612.7950132457, -2049485.0895454744, 2003824.974573967]",253514.1563,3365349.643,405.693755,"{""ok"": 2000}"
