query_id,candidate_id,status,status_detail,bucket,candidate_rank,total_correspondences,valid_correspondences,ok_ratio,nodata_ratio,inlier_count,inlier_ratio,coverage_bbox_area_px2,coverage_score,inlier_count_norm,elevation_span_m,elevation_span_norm,reproj_error_m,reproj_error_norm,pose_penalty,rvec,tvec,camera_center_x,camera_center_y,camera_center_z,sample_status_breakdown,score,score_rank_within_query
q_001,s700_x253883.067_y3364778.442,ok,,applicable_success,,2000,2000,1.000000,0.000000,709.000000,0.354500,7029502.117577,0.795131,1.000000,22.516994,0.947731,4.767890,0.494933,0.000000,"[0.6573123121560697, -2.667165986027865, 1.09413198857944]","[1791279.1361894188, -2037952.7055471358, 2006967.7152573506]",253507.052473,3365350.738984,402.300512,"{""ok"": 2000}",0.550413,1
q_001,s500_x253796.869_y3365287.480,ok,,applicable_success,,2000,2000,1.000000,0.000000,502.000000,0.251000,8840687.558243,1.000000,0.708039,13.337770,0.561381,4.861990,0.569464,0.000000,"[0.6644511226519902, -2.6850688862671097, 1.0881704477729104]","[1781612.7950132457, -2049485.0895454744, 2003824.974573967]",253514.156251,3365349.643104,405.693755,"{""ok"": 2000}",0.466100,2
q_001,s500_x253783.067_y3364678.442,ok,,applicable_success,,2000,2000,1.000000,0.000000,621.000000,0.310500,4480305.013802,0.506782,0.875882,23.758837,1.000000,4.580239,0.346306,0.000000,"[0.658698648598594, -2.6717155762656937, 1.0856998880976225]","[1791887.644776846, -2050958.385683861, 1993124.1261811848]",253508.245456,3365348.246116,406.847143,"{""ok"": 2000}",0.460391,3
q_001,s300_x253696.869_y3365187.480,ok,,applicable_success,,2000,2000,1.000000,0.000000,520.000000,0.260000,6617073.070885,0.748479,0.733427,9.028966,0.380026,4.629670,0.385457,0.000000,"[0.6522497780454796, -2.6687204292614153, 1.0829739853411258]","[1787468.3168436778, -2059518.0821204938, 1988259.118036968]",253506.863447,3365347.848709,402.655970,"{""ok"": 2000}",0.411262,4
q_001,s300_x253908.067_y3365028.442,ok,,applicable_success,,2000,2000,1.000000,0.000000,543.000000,0.271500,1612770.705491,0.182426,0.765867,13.335138,0.561271,4.858423,0.566639,0.000000,"[0.6721221658240532, -2.6471969626440393, 1.1729760244342817]","[1793496.0253649894, -1898210.510255953, 2137791.1658574305]",253508.237196,3365370.058766,379.870789,"{""ok"": 2000}",0.279693,5
q_001,s200_x253933.067_y3364828.442,ok,,applicable_success,,2000,2000,1.000000,0.000000,485.000000,0.242500,529318.288326,0.059873,0.684062,15.833567,0.666429,4.668844,0.416485,0.000000,"[0.5949746549342068, -2.65004200028246, 1.0385148273449762]","[1742194.0520598837, -2167969.25342517, 1911687.5657434894]",253484.694814,3365356.665152,416.725517,"{""ok"": 2000}",0.249525,6
q_001,s300_x253908.067_y3364803.442,ok,,applicable_success,,2000,2000,1.000000,0.000000,380.000000,0.190000,1833667.268065,0.207412,0.535966,17.661845,0.743380,4.870573,0.576262,0.000000,"[0.6610856442865455, -2.691954574807707, 1.0737130106987296]","[1775281.2950621427, -2076688.8837393865, 1981309.7728932966]",253515.925422,3365349.656861,418.607732,"{""ok"": 2000}",0.232758,7
q_001,s200_x253646.869_y3365287.480,ok,,applicable_success,,2000,2000,1.000000,0.000000,347.000000,0.173500,2335410.552909,0.264166,0.489422,7.017044,0.295345,4.806665,0.525644,0.000000,"[0.6739665892449545, -2.7389933627824434, 1.1081998926686478]","[1711932.8907747979, -2044654.4029063312, 2068471.3923503603]",253535.951600,3365355.717555,407.894001,"{""ok"": 2000}",0.192946,8
q_001,s200_x253933.067_y3364978.442,ok,,applicable_success,,2000,2000,1.000000,0.000000,449.000000,0.224500,497802.097462,0.056308,0.633286,5.772179,0.242949,4.822263,0.537998,0.000000,"[0.6484841205815202, -2.6457463031352866, 1.0160673763895065]","[1842155.0244132448, -2143001.7862338517, 1844903.9123603818]",253487.301480,3365324.093597,410.678734,"{""ok"": 2000}",0.178579,9
q_001,s200_x253796.869_y3365287.480,ok,,applicable_success,,2000,2000,1.000000,0.000000,277.000000,0.138500,1643069.792459,0.185853,0.390691,6.979534,0.293766,5.292572,0.910501,0.000000,"[0.6929954633921427, -2.756707133433697, 1.0462615433246933]","[1753237.6317604694, -2117895.849561334, 1957164.824258769]",253526.155054,3365344.479041,445.438859,"{""ok"": 2000}",0.104478,10
