query_id,flight_id,candidate_count,scored_candidate_count,best_candidate_id,best_score,best_score_rank,best_status,best_bucket,best_inlier_count,best_inlier_ratio,best_reproj_error,best_pose_penalty,best_coverage_bbox_area_px2,best_elevation_span_m,best_rvec,best_tvec,best_camera_center_x,best_camera_center_y,best_camera_center_z,score_gap_to_second
q_001,DJI_202510311347_009_新建面状航线1,20,20,s700_x253883.067_y3364778.442,0.550413,1,ok,applicable_success,709,0.3545,4.76789,0,7029502.118,22.516994,"[0.6573123121560697, -2.667165986027865, 1.09413198857944]","[1791279.1361894188, -2037952.7055471358, 2006967.7152573506]",253507.0525,3365350.739,402.300512,0.084313
q_002,DJI_202510311347_009_新建面状航线1,20,20,s500_x253783.067_y3364678.442,0.552653,1,ok,applicable_success,669,0.3345,4.447606,0,12326199.07,23.175582,"[0.6601455501523853, -2.666606571634181, 1.0949452849180183]","[1795852.866468229, -2033418.1149786816, 2007042.3867665913]",253649.2759,3365079.163,406.215186,0.031884
q_003,DJI_202510311347_009_新建面状航线1,20,20,s700_x254397.293_y3364157.454,0.445489,1,ok,applicable_success,360,0.18,4.784931,0,9501947.943,16.680862,"[2.277457722481997, 0.5996035477932609, -0.21145531182640226]","[-1841225.8206511831, 1937800.7284032367, -2058247.5889979452]",254299.4939,3364059.888,398.209794,0.003257
q_004,DJI_202510311347_009_新建面状航线1,20,20,s700_x254397.293_y3364157.454,0.483189,1,ok,applicable_success,539,0.2695,4.64347,0,13638945.41,18.547657,"[0.7268425449922464, -2.64677267301905, 1.0753164657471752]","[1930805.1497088636, -1978306.1021062175, 1934603.3856073013]",254203.743,3364487.199,407.272448,0.010066
q_005,DJI_202510311347_009_新建面状航线1,20,20,s500_x254311.063_y3364666.491,0.442088,1,ok,applicable_success,406,0.203,4.327163,0,12410640.1,16.467327,"[2.317551041731964, 0.6053275218348118, -0.22981169567662815]","[-1857494.6747262147, 2033551.0395936796, -1948832.9918315336]",254393.6476,3364349.868,409.632395,0.001046
q_006,DJI_202510311347_009_新建面状航线1,20,20,s500_x254311.063_y3364666.491,0.493635,1,ok,applicable_success,590,0.295,4.478541,0,10925692.04,10.700041,"[-2.275596722201541, -0.6020584284378117, -0.2671543474540983]","[-1894933.2084122791, 1949968.7380645624, 1998580.0409292858]",254074.8549,3364954.372,405.342642,0.000737
q_007,DJI_202510311347_009_新建面状航线1,20,20,s700_x254411.063_y3364766.491,0.543449,1,ok,applicable_success,520,0.26,4.606733,0,6804968.089,19.385522,"[-0.7158689853001647, 2.6225105986933954, 1.0913705864543937]","[1938351.066799437, -1953530.7030447882, -1951652.5656898872]",254611.7937,3364165.197,409.020142,0.086256
q_008,DJI_202510311347_009_新建面状航线1,20,20,s700_x254411.063_y3364766.491,0.551326,1,ok,applicable_success,733,0.3665,4.564789,0,4162774.058,19.138573,"[0.6727153256978845, -2.6592889938414817, 1.0892231910380634]","[1828094.3326394495, -2024524.380269807, 1987716.2631765218]",254108.43,3365571.652,400.18328,0.183036
q_009,DJI_202510311347_009_新建面状航线1,20,20,s700_x254925.317_y3364145.530,0.556919,1,ok,applicable_success,683,0.3415,4.830587,0,10708326.54,12.586725,"[-0.7078748320728511, 2.6341571452981256, 1.0863836405178187]","[1914375.8563644504, -1975681.136539518, -1952190.8849525873]",255126.7644,3363645.387,412.926776,0.28573
q_010,DJI_202510311347_009_新建面状航线1,20,20,s700_x254939.058_y3364754.565,0.614269,1,ok,applicable_success,766,0.383,4.630978,0,7995694.918,14.403455,"[2.3068820920935034, 0.572130221321982, -0.23532498703287583]","[-1798296.5573488025, 2035690.528055107, -2001079.9034537533]",255003.8183,3364104.651,406.801205,0.022084
