flight_id,flight_tag,query_id,rank,candidate_tile_id,is_intersection_truth_hit,match_count,inlier_count,inlier_ratio,geom_valid,romav2_match_score,reproj_error_mean,status,query_path,tile_path,output_path
DJI_202510311347_009_新建面状航线1,009,q_001,1,s200_x253933.067_y3364828.442,1,5000,881,0.176200,1,1.000000,2.412439,ok,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135154_0001_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s200_x253933.067_y3364828.442.png,/mnt/d/aiproject/imagematch/new2output/romav2_dinov2_inliercount_rerank_2026-04-02/viz_top20_match_points/figures/DJI_202510311347_009_新建面状航线1/q_001/rank01_s200_x253933.067_y3364828.442.png
DJI_202510311347_009_新建面状航线1,009,q_001,2,s500_x253783.067_y3364678.442,1,5000,723,0.144600,1,0.997479,2.430106,ok,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135154_0001_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s500_x253783.067_y3364678.442.png,/mnt/d/aiproject/imagematch/new2output/romav2_dinov2_inliercount_rerank_2026-04-02/viz_top20_match_points/figures/DJI_202510311347_009_新建面状航线1/q_001/rank02_s500_x253783.067_y3364678.442.png
DJI_202510311347_009_新建面状航线1,009,q_001,3,s700_x253883.067_y3364778.442,1,5000,729,0.145800,1,0.997283,2.472933,ok,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135154_0001_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s700_x253883.067_y3364778.442.png,/mnt/d/aiproject/imagematch/new2output/romav2_dinov2_inliercount_rerank_2026-04-02/viz_top20_match_points/figures/DJI_202510311347_009_新建面状航线1/q_001/rank03_s700_x253883.067_y3364778.442.png
DJI_202510311347_009_新建面状航线1,009,q_001,4,s300_x253908.067_y3365028.442,1,5000,612,0.122400,1,0.988488,2.514330,ok,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135154_0001_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s300_x253908.067_y3365028.442.png,/mnt/d/aiproject/imagematch/new2output/romav2_dinov2_inliercount_rerank_2026-04-02/viz_top20_match_points/figures/DJI_202510311347_009_新建面状航线1/q_001/rank04_s300_x253908.067_y3365028.442.png
DJI_202510311347_009_新建面状航线1,009,q_001,5,s300_x253696.869_y3365187.480,1,5000,486,0.097200,1,0.999418,2.467422,ok,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135154_0001_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s300_x253696.869_y3365187.480.png,/mnt/d/aiproject/imagematch/new2output/romav2_dinov2_inliercount_rerank_2026-04-02/viz_top20_match_points/figures/DJI_202510311347_009_新建面状航线1/q_001/rank05_s300_x253696.869_y3365187.480.png
DJI_202510311347_009_新建面状航线1,009,q_001,6,s300_x253908.067_y3364803.442,1,5000,466,0.093200,1,1.000000,2.511059,ok,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135154_0001_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s300_x253908.067_y3364803.442.png,/mnt/d/aiproject/imagematch/new2output/romav2_dinov2_inliercount_rerank_2026-04-02/viz_top20_match_points/figures/DJI_202510311347_009_新建面状航线1/q_001/rank06_s300_x253908.067_y3364803.442.png
DJI_202510311347_009_新建面状航线1,009,q_001,7,s200_x253933.067_y3364978.442,1,5000,409,0.081800,1,0.996890,2.384314,ok,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135154_0001_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s200_x253933.067_y3364978.442.png,/mnt/d/aiproject/imagematch/new2output/romav2_dinov2_inliercount_rerank_2026-04-02/viz_top20_match_points/figures/DJI_202510311347_009_新建面状航线1/q_001/rank07_s200_x253933.067_y3364978.442.png
DJI_202510311347_009_新建面状航线1,009,q_001,8,s500_x253796.869_y3365287.480,1,5000,388,0.077600,1,0.999220,2.448534,ok,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135154_0001_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s500_x253796.869_y3365287.480.png,/mnt/d/aiproject/imagematch/new2output/romav2_dinov2_inliercount_rerank_2026-04-02/viz_top20_match_points/figures/DJI_202510311347_009_新建面状航线1/q_001/rank08_s500_x253796.869_y3365287.480.png
DJI_202510311347_009_新建面状航线1,009,q_001,9,s200_x253646.869_y3365287.480,1,5000,314,0.062800,1,0.994309,2.525503,ok,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135154_0001_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s200_x253646.869_y3365287.480.png,/mnt/d/aiproject/imagematch/new2output/romav2_dinov2_inliercount_rerank_2026-04-02/viz_top20_match_points/figures/DJI_202510311347_009_新建面状航线1/q_001/rank09_s200_x253646.869_y3365287.480.png
DJI_202510311347_009_新建面状航线1,009,q_001,10,s200_x253646.869_y3365587.480,0,5000,241,0.048200,1,0.990718,2.401154,ok,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135154_0001_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s200_x253646.869_y3365587.480.png,/mnt/d/aiproject/imagematch/new2output/romav2_dinov2_inliercount_rerank_2026-04-02/viz_top20_match_points/figures/DJI_202510311347_009_新建面状航线1/q_001/rank10_s200_x253646.869_y3365587.480.png
DJI_202510311347_009_新建面状航线1,009,q_001,11,s200_x254461.063_y3364816.491,1,5000,256,0.051200,1,0.999410,2.509772,ok,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135154_0001_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s200_x254461.063_y3364816.491.png,/mnt/d/aiproject/imagematch/new2output/romav2_dinov2_inliercount_rerank_2026-04-02/viz_top20_match_points/figures/DJI_202510311347_009_新建面状航线1/q_001/rank11_s200_x254461.063_y3364816.491.png
DJI_202510311347_009_新建面状航线1,009,q_001,12,s200_x254174.835_y3365575.528,0,5000,147,0.029400,1,0.886222,2.500848,ok,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135154_0001_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s200_x254174.835_y3365575.528.png,/mnt/d/aiproject/imagematch/new2output/romav2_dinov2_inliercount_rerank_2026-04-02/viz_top20_match_points/figures/DJI_202510311347_009_新建面状航线1/q_001/rank12_s200_x254174.835_y3365575.528.png
DJI_202510311347_009_新建面状航线1,009,q_001,13,s200_x253796.869_y3365287.480,1,5000,237,0.047400,1,0.999223,2.424648,ok,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135154_0001_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s200_x253796.869_y3365287.480.png,/mnt/d/aiproject/imagematch/new2output/romav2_dinov2_inliercount_rerank_2026-04-02/viz_top20_match_points/figures/DJI_202510311347_009_新建面状航线1/q_001/rank13_s200_x253796.869_y3365287.480.png
DJI_202510311347_009_新建面状航线1,009,q_001,14,s200_x255717.683_y3363412.726,0,5000,138,0.027600,1,0.894156,2.138836,ok,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135154_0001_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s200_x255717.683_y3363412.726.png,/mnt/d/aiproject/imagematch/new2output/romav2_dinov2_inliercount_rerank_2026-04-02/viz_top20_match_points/figures/DJI_202510311347_009_新建面状航线1/q_001/rank14_s200_x255717.683_y3363412.726.png
DJI_202510311347_009_新建面状航线1,009,q_001,15,s200_x253905.470_y3363310.367,0,5000,114,0.022800,1,0.875368,1.957543,ok,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135154_0001_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s200_x253905.470_y3363310.367.png,/mnt/d/aiproject/imagematch/new2output/romav2_dinov2_inliercount_rerank_2026-04-02/viz_top20_match_points/figures/DJI_202510311347_009_新建面状航线1/q_001/rank15_s200_x253905.470_y3363310.367.png
DJI_202510311347_009_新建面状航线1,009,q_001,16,s200_x254311.063_y3364816.491,1,5000,90,0.018000,1,0.998640,1.768093,ok,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135154_0001_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s200_x254311.063_y3364816.491.png,/mnt/d/aiproject/imagematch/new2output/romav2_dinov2_inliercount_rerank_2026-04-02/viz_top20_match_points/figures/DJI_202510311347_009_新建面状航线1/q_001/rank16_s200_x254311.063_y3364816.491.png
DJI_202510311347_009_新建面状航线1,009,q_001,17,s200_x253810.673_y3365746.519,0,5000,188,0.037600,1,0.786801,2.635486,ok,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135154_0001_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s200_x253810.673_y3365746.519.png,/mnt/d/aiproject/imagematch/new2output/romav2_dinov2_inliercount_rerank_2026-04-02/viz_top20_match_points/figures/DJI_202510311347_009_新建面状航线1/q_001/rank17_s200_x253810.673_y3365746.519.png
DJI_202510311347_009_新建面状航线1,009,q_001,18,s500_x253268.902_y3365299.458,1,5000,88,0.017600,1,0.754692,2.317508,ok,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135154_0001_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s500_x253268.902_y3365299.458.png,/mnt/d/aiproject/imagematch/new2output/romav2_dinov2_inliercount_rerank_2026-04-02/viz_top20_match_points/figures/DJI_202510311347_009_新建面状航线1/q_001/rank18_s500_x253268.902_y3365299.458.png
DJI_202510311347_009_新建面状航线1,009,q_001,19,s200_x253660.673_y3365746.519,0,5000,90,0.018000,1,0.971967,2.434905,ok,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135154_0001_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s200_x253660.673_y3365746.519.png,/mnt/d/aiproject/imagematch/new2output/romav2_dinov2_inliercount_rerank_2026-04-02/viz_top20_match_points/figures/DJI_202510311347_009_新建面状航线1/q_001/rank19_s200_x253660.673_y3365746.519.png
DJI_202510311347_009_新建面状航线1,009,q_001,20,s200_x254474.835_y3365425.528,0,5000,20,0.004000,0,0.658489,2.222850,ok,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135154_0001_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s200_x254474.835_y3365425.528.png,/mnt/d/aiproject/imagematch/new2output/romav2_dinov2_inliercount_rerank_2026-04-02/viz_top20_match_points/figures/DJI_202510311347_009_新建面状航线1/q_001/rank20_s200_x254474.835_y3365425.528.png
DJI_202510311347_009_新建面状航线1,009,q_002,1,s200_x253933.067_y3364828.442,1,5000,607,0.121400,1,1.000000,2.415544,ok,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135215_0005_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s200_x253933.067_y3364828.442.png,/mnt/d/aiproject/imagematch/new2output/romav2_dinov2_inliercount_rerank_2026-04-02/viz_top20_match_points/figures/DJI_202510311347_009_新建面状航线1/q_002/rank01_s200_x253933.067_y3364828.442.png
DJI_202510311347_009_新建面状航线1,009,q_002,2,s500_x253783.067_y3364678.442,1,5000,583,0.116600,1,0.998049,2.581290,ok,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135215_0005_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s500_x253783.067_y3364678.442.png,/mnt/d/aiproject/imagematch/new2output/romav2_dinov2_inliercount_rerank_2026-04-02/viz_top20_match_points/figures/DJI_202510311347_009_新建面状航线1/q_002/rank02_s500_x253783.067_y3364678.442.png
DJI_202510311347_009_新建面状航线1,009,q_002,3,s300_x253908.067_y3364578.442,1,5000,639,0.127800,1,0.995933,2.530568,ok,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135215_0005_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s300_x253908.067_y3364578.442.png,/mnt/d/aiproject/imagematch/new2output/romav2_dinov2_inliercount_rerank_2026-04-02/viz_top20_match_points/figures/DJI_202510311347_009_新建面状航线1/q_002/rank03_s300_x253908.067_y3364578.442.png
DJI_202510311347_009_新建面状航线1,009,q_002,4,s700_x253883.067_y3364778.442,1,5000,491,0.098200,1,0.997452,2.471761,ok,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135215_0005_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s700_x253883.067_y3364778.442.png,/mnt/d/aiproject/imagematch/new2output/romav2_dinov2_inliercount_rerank_2026-04-02/viz_top20_match_points/figures/DJI_202510311347_009_新建面状航线1/q_002/rank04_s700_x253883.067_y3364778.442.png
DJI_202510311347_009_新建面状航线1,009,q_002,5,s500_x254158.067_y3364678.442,1,5000,535,0.107000,1,0.987260,2.397330,ok,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135215_0005_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s500_x254158.067_y3364678.442.png,/mnt/d/aiproject/imagematch/new2output/romav2_dinov2_inliercount_rerank_2026-04-02/viz_top20_match_points/figures/DJI_202510311347_009_新建面状航线1/q_002/rank05_s500_x254158.067_y3364678.442.png
DJI_202510311347_009_新建面状航线1,009,q_002,6,s300_x254133.067_y3364578.442,1,5000,363,0.072600,1,0.970961,2.233409,ok,/mnt/d/aiproject/imagematch/new1output/query_reselect_2026-03-26_v2/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135215_0005_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s300_x254133.067_y3364578.442.png,/mnt/d/aiproject/imagematch/new2output/romav2_dinov2_inliercount_rerank_2026-04-02/viz_top20_match_points/figures/DJI_202510311347_009_新建面状航线1/q_002/rank06_s300_x254133.067_y3364578.442.png
