query_id,candidate_id,status,status_detail,total_correspondences,valid_correspondences,ok_ratio,nodata_ratio,inlier_count,inlier_ratio,coverage_bbox_area_px2,elevation_span_m,reproj_error_mean,reproj_error_refined_mean,pose_penalty,rvec,tvec,camera_center_x,camera_center_y,camera_center_z,sample_status_breakdown
q_001,cw_s200_x253783.721_y3364952.517,ok,,5000,5000,1.000000,0.000000,4742,0.948400,6565454.756403,19.933300,3.293702,2.532427,0.000000,"[-0.7536728871128549, 3.0308028506252866, 0.028721555706850498]","[1800503.0574016885, -2853740.7059448273, -39110.65338480264]",253731.998726,3364936.379529,392.723970,"{""ok"": 5000}"
q_001,cw_s200_x254233.721_y3364052.517,ok,,5000,5000,1.000000,0.000000,35,0.007000,71427.342755,19.869954,1347.162747,5.009235,0.000000,"[-1.1218168557825408, -0.32518979393184055, 2.329203270016612]","[1330708.4039130933, 2653304.109392621, 1603777.96230492]",254781.189437,3364223.216500,-24.666206,"{""ok"": 5000}"
q_001,cw_s200_x254083.721_y3364052.517,ok,,5000,5000,1.000000,0.000000,170,0.034000,133705.322565,15.270632,457.631623,4.984802,0.000000,"[0.8957616604267973, -1.7544762263140818, 2.1704509153244245]","[1939065.616290375, 958690.0029749261, 2589250.9984012917]",253876.714175,3364346.784449,216.271361,"{""ok"": 5000}"
q_001,cw_s200_x255133.721_y3364052.517,ok,,5000,5000,1.000000,0.000000,53,0.010600,1116.237824,19.926333,1273.255466,4.521885,0.000000,"[1.3761315959151859, -0.3089393667104518, -2.792628875977643]","[409883.0689299752, 3323088.2837144462, -411778.4618313128]",255730.711689,3363790.001699,27.441683,"{""ok"": 5000}"
q_001,cw_s200_x255133.721_y3364202.517,ok,,5000,5000,1.000000,0.000000,131,0.026200,213863.269120,12.790963,338.188032,4.907857,0.000000,"[2.5320365326488843, 0.49314374044389064, -0.31246836790854776]","[-1594799.3661006943, 2583324.66999093, -1470936.813289747]",255013.731659,3363863.024085,171.017631,"{""ok"": 5000}"
q_001,cw_s200_x254983.721_y3365252.517,ok,,5000,5000,1.000000,0.000000,72,0.014400,84377.270494,21.674627,928.141507,4.772902,0.000000,"[-1.1300311209327074, 1.0159269960396258, -1.7094453701340226]","[-609991.3162041248, 1345896.4305577541, 3035460.8054923755]",253965.130675,3366459.626322,453.938155,"{""ok"": 5000}"
q_001,cw_s200_x254083.721_y3365102.517,ok,,5000,5000,1.000000,0.000000,119,0.023800,144552.668356,15.270298,1248.221077,4.977388,0.000000,"[-0.04970004338532988, 1.4303740783490082, -0.28866524342559713]","[-590106.5462710083, -3187168.7985788584, 939835.6720516515]",254476.679582,3365234.510835,289.279498,"{""ok"": 5000}"
q_001,cw_s300_x255108.721_y3364327.517,ok,,5000,5000,1.000000,0.000000,19,0.003800,428343.131007,18.043368,95735355424699312.000000,5.741037,0.000000,"[2.0864127500573253, 0.7819788950674768, -0.4539650609312298]","[-2449265.187248448, 1426514.879716849, -1830432.4783534403]",255397.660087,3364386.979809,51.443275,"{""ok"": 5000}"
q_001,cw_s200_x254683.721_y3364052.517,ok,,5000,4997,0.999400,0.000000,32,0.006404,125310.508857,56.472753,1706.924635,4.620903,0.000000,"[-0.7840295543465466, -2.472849174153783, -0.9793196162300026]","[-1869575.568321173, -2124706.507605064, -1835765.6448255205]",254431.587593,3363776.242671,91.237955,"{""ok"": 4997, ""unstable_local_height"": 3}"
q_001,cw_s200_x254983.721_y3364352.517,ok,,5000,4999,0.999800,0.000000,75,0.015003,75260.268412,43.649590,702.237106,3.654236,0.000000,"[0.7365988304184651, -0.7745585602040357, -1.4705064614359578]","[-1905246.6249123404, 317556.9567508821, -2765860.469924092]",254874.254289,3363901.064987,32.988450,"{""ok"": 4999, ""unstable_local_height"": 1}"
