query_id,candidate_id,status,status_detail,bucket,candidate_rank,total_correspondences,valid_correspondences,ok_ratio,nodata_ratio,inlier_count,inlier_ratio,coverage_bbox_area_px2,coverage_score,inlier_count_norm,elevation_span_m,elevation_span_norm,reproj_error_m,reproj_error_norm,pose_penalty,rvec,tvec,camera_center_x,camera_center_y,camera_center_z,sample_status_breakdown,score,score_rank_within_query
q_001,cw_s200_x253783.721_y3364952.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,4742.000000,0.948400,6565454.756403,1.000000,1.000000,19.933300,0.310302,2.532427,0.000000,0.000000,"[-0.7536728871128549, 3.0308028506252866, 0.028721555706850498]","[1800503.0574016885, -2853740.7059448273, -39110.65338480264]",253731.998726,3364936.379529,392.723970,"{""ok"": 5000}",0.765550,1
q_001,cw_s200_x254833.721_y3364052.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,6.000000,0.001200,50227.333503,0.007650,0.001265,64.238376,1.000000,3.578866,0.326135,0.000000,"[0.2596002946045765, 2.1530745057752814, 0.53029827157529]","[173116.6943770195, -3078478.564297521, -1369120.5796932306]",256230.861822,3363901.984377,86.056830,"{""ok"": 5000}",0.069912,2
q_001,cw_s200_x254983.721_y3364352.517,ok,,applicable_success,,5000,4999,0.999800,0.000000,75.000000,0.015003,75260.268412,0.011463,0.015816,43.649590,0.679494,3.654236,0.349625,0.000000,"[0.7365988304184651, -0.7745585602040357, -1.4705064614359578]","[-1905246.6249123404, 317556.9567508821, -2765860.469924092]",254874.254289,3363901.064987,32.988450,"{""ok"": 4999, ""unstable_local_height"": 1}",0.043517,3
q_001,cw_s200_x254683.721_y3364052.517,ok,,applicable_success,,5000,4997,0.999400,0.000000,32.000000,0.006404,125310.508857,0.019086,0.006748,56.472753,0.879112,4.620903,0.650897,0.000000,"[-0.7840295543465466, -2.472849174153783, -0.9793196162300026]","[-1869575.568321173, -2124706.507605064, -1835765.6448255205]",254431.587593,3363776.242671,91.237955,"{""ok"": 4997, ""unstable_local_height"": 3}",0.030864,4
q_001,cw_s200_x254233.721_y3364652.517,ok,,applicable_success,,5000,4997,0.999400,0.000200,46.000000,0.009206,275331.668778,0.041936,0.009701,45.064268,0.701516,4.793285,0.704622,0.000000,"[-0.9426242734810933, -2.3175087071719234, 0.4190062505378805]","[-1620901.958367364, -2531798.2714110105, 1533111.7880716212]",253936.953805,3365007.193023,121.989716,"{""ok"": 4997, ""nodata"": 1, ""unstable_local_height"": 2}",0.014875,5
q_001,cw_s300_x254883.721_y3365002.517,ok,,applicable_success,,5000,4999,0.999800,0.000000,19.000000,0.003801,4393.273672,0.000669,0.004007,50.147599,0.780649,4.680313,0.669413,0.000000,"[0.0673279253994731, 1.561957467704447, -1.054739852957193]","[-1841098.2499597066, -1855064.6634751232, 2135008.215919984]",254917.133361,3365142.643161,4.779924,"{""ok"": 4999, ""unstable_local_height"": 1}",0.013232,6
q_001,cw_s300_x255108.721_y3365002.517,ok,,applicable_success,,5000,4999,0.999800,0.000000,22.000000,0.004401,408672.587750,0.062246,0.004639,43.908561,0.683525,5.192254,0.828966,0.000000,"[-0.0952174528150587, -1.1736017347301169, -0.6555340167026527]","[-1814424.4749728767, -2623306.230076445, -1100907.3734118936]",254299.831820,3364699.147197,203.366191,"{""ok"": 4999, ""unstable_local_height"": 1}",0.003266,7
q_001,cw_s300_x255108.721_y3364102.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,38.000000,0.007600,152229.376942,0.023186,0.008013,21.777954,0.339018,4.423219,0.589287,0.000000,"[1.7882505494686523, -1.71484048349379, -0.5650645447698225]","[2472399.8850217536, 232938.94375592482, -2282383.992000039]",254981.306179,3363225.080100,154.905866,"{""ok"": 5000}",-0.015348,8
q_001,cw_s200_x254983.721_y3365252.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,72.000000,0.014400,84377.270494,0.012852,0.015183,21.674627,0.337409,4.772902,0.698270,0.000000,"[-1.1300311209327074, 1.0159269960396258, -1.7094453701340226]","[-609991.3162041248, 1345896.4305577541, 3035460.8054923755]",253965.130675,3366459.626322,453.938155,"{""ok"": 5000}",-0.025516,9
q_001,cw_s200_x255133.721_y3364052.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,53.000000,0.010600,1116.237824,0.000170,0.011177,19.926333,0.310194,4.521885,0.620037,0.000000,"[1.3761315959151859, -0.3089393667104518, -2.792628875977643]","[409883.0689299752, 3323088.2837144462, -411778.4618313128]",255730.711689,3363790.001699,27.441683,"{""ok"": 5000}",-0.025527,10
