query_id,flight_id,candidate_count,scored_candidate_count,best_candidate_id,best_score,best_score_rank,best_status,best_bucket,best_inlier_count,best_inlier_ratio,best_reproj_error,best_pose_penalty,best_coverage_bbox_area_px2,best_elevation_span_m,best_rvec,best_tvec,best_camera_center_x,best_camera_center_y,best_camera_center_z,score_gap_to_second
q_001,DJI_202510311347_009_新建面状航线1,20,20,cw_s200_x253783.721_y3364952.517,0.765550,1,ok,applicable_success,4742.000000,0.948400,2.532427,0.000000,6565454.756403,19.933300,"[-0.7536728871128549, 3.0308028506252866, 0.028721555706850498]","[1800503.0574016885, -2853740.7059448273, -39110.65338480264]",253731.998726,3364936.379529,392.723970,0.695638
q_002,DJI_202510311347_009_新建面状航线1,20,20,cw_s500_x254008.721_y3364877.517,0.686516,1,ok,applicable_success,3717.000000,0.743846,2.739496,0.000000,14850549.318866,63.319948,"[-0.7698049202060142, 3.0406184989664546, 0.009230307991042222]","[1824376.1989982037, -2838574.1208070978, -13050.9838406415]",253822.268253,3364757.938593,392.147038,0.053696
q_003,DJI_202510311347_009_新建面状航线1,20,20,cw_s500_x254008.721_y3364502.517,0.715001,1,ok,applicable_success,3485.000000,0.697418,3.059634,0.000000,17083477.409145,84.394036,"[-0.7743607263348017, 3.0438973955600748, 0.003865412154140775]","[1830875.7442457133, -2834270.1206983305, -6685.501197026587]",253885.245431,3364636.671740,391.422835,0.101408
q_004,DJI_202510311347_009_新建面状航线1,20,20,cw_s500_x254383.721_y3364127.517,0.786212,1,ok,applicable_success,4461.000000,0.892914,2.202027,0.000000,19366459.783883,56.822350,"[-3.0292783144897597, -0.762159340368721, -0.0275393425224095]","[-1816280.8439763547, 2842683.0713822637, 38485.323036082984]",254339.737182,3364002.885439,391.734252,0.151617
q_005,DJI_202510311347_009_新建面状航线1,20,20,cw_s700_x254258.721_y3364377.517,0.733915,1,ok,applicable_success,4036.000000,0.807361,2.544860,0.000000,20846903.666088,56.269378,"[-3.0314533119114664, -0.7812498264007746, -0.01775879004539748]","[-1848676.7413069797, 2822027.009481158, 23328.49274813002]",254276.270433,3364123.924502,391.855244,0.014655
q_006,DJI_202510311347_009_新建面状航线1,20,20,cw_s500_x254008.721_y3364877.517,0.728708,1,ok,applicable_success,4273.000000,0.854600,2.114613,0.000000,18643990.371296,28.980112,"[-0.8193239234182759, 3.020827675429044, 0.009694613385474019]","[1919430.3615649496, -2775527.704619932, -6241.544354948414]",253926.560513,3365015.164511,391.618259,0.063787
q_007,DJI_202510311347_009_新建面状航线1,20,20,cw_s500_x254008.721_y3364877.517,0.738248,1,ok,applicable_success,4075.000000,0.815000,2.357398,0.000000,20735861.745406,66.447581,"[-0.8307736879256528, 3.024408932010195, 0.015354247452154425]","[1937278.2956507525, -2762779.574611257, -24900.783830246626]",254022.204713,3364831.464979,391.818275,0.078329
q_008,DJI_202510311347_009_新建面状航线1,20,20,cw_s700_x254258.721_y3364902.517,0.693264,1,ok,applicable_success,3863.000000,0.772909,2.787090,0.000000,15757312.519977,83.713300,"[-0.8287877425961857, 3.027038994747296, 0.021897654628174903]","[1932625.0690827456, -2765700.098166344, -40477.69544127006]",254088.899561,3364701.147587,391.177961,0.006771
q_009,DJI_202510311347_009_新建面状航线1,20,20,cw_s300_x254658.721_y3364102.517,0.841375,1,ok,applicable_success,4849.000000,0.971549,1.946594,0.000000,11801452.225035,58.068454,"[-3.036213435152647, -0.7627348004927286, -0.023603427654816222]","[-1814299.7440629501, 2844172.971972236, 19360.029868171943]",254572.684473,3364011.126907,391.059829,0.120080
q_010,DJI_202510311347_009_新建面状航线1,20,20,cw_s700_x254258.721_y3364377.517,0.741601,1,ok,applicable_success,4051.000000,0.810524,2.497439,0.000000,20730315.243065,56.376886,"[-3.0330594768767365, -0.7763225609247117, -0.011293227229836255]","[-1839515.4332584806, 2828148.207580628, 26912.931105228272]",254445.379095,3364256.383606,391.822204,0.008207
