query_id,rank,candidate_tile_id,score,candidate_scale_level_m,candidate_center_x,candidate_center_y,is_intersection_truth_hit
q_001,1,cw_s300_x254883.721_y3365002.517,0.8885436058044434,300.000,254883.721025345556,3365002.516620819457,0
q_001,2,cw_s200_x253783.721_y3364952.517,0.8875207901000977,200.000,253783.721025345556,3364952.516620819457,1
q_001,3,cw_s200_x254083.721_y3365102.517,0.8872108459472656,200.000,254083.721025345556,3365102.516620819457,0
q_001,4,cw_s300_x255108.721_y3364327.517,0.8848994970321655,300.000,255108.721025345556,3364327.516620819457,0
q_001,5,cw_s300_x254658.721_y3364102.517,0.8769936561584473,300.000,254658.721025345556,3364102.516620819457,0
q_001,6,cw_s200_x254683.721_y3364052.517,0.876128613948822,200.000,254683.721025345556,3364052.516620819457,0
q_001,7,cw_s200_x255133.721_y3364202.517,0.870297908782959,200.000,255133.721025345556,3364202.516620819457,0
q_001,8,cw_s200_x254233.721_y3364052.517,0.8690857291221619,200.000,254233.721025345556,3364052.516620819457,0
q_001,9,cw_s200_x254983.721_y3364352.517,0.8683090806007385,200.000,254983.721025345556,3364352.516620819457,0
q_001,10,cw_s300_x255108.721_y3364102.517,0.8644502758979797,300.000,255108.721025345556,3364102.516620819457,0
q_001,11,cw_s200_x254833.721_y3364052.517,0.8640314936637878,200.000,254833.721025345556,3364052.516620819457,0
q_001,12,cw_s200_x254983.721_y3365252.517,0.8615201711654663,200.000,254983.721025345556,3365252.516620819457,0
q_001,13,cw_s300_x254208.721_y3364102.517,0.85735023021698,300.000,254208.721025345556,3364102.516620819457,0
q_001,14,cw_s200_x254083.721_y3364052.517,0.8563501834869385,200.000,254083.721025345556,3364052.516620819457,0
q_001,15,cw_s300_x255108.721_y3365002.517,0.8521398305892944,300.000,255108.721025345556,3365002.516620819457,0
q_001,16,cw_s300_x254883.721_y3364102.517,0.8518952131271362,300.000,254883.721025345556,3364102.516620819457,0
q_001,17,cw_s200_x255133.721_y3364052.517,0.8482683897018433,200.000,255133.721025345556,3364052.516620819457,0
q_001,18,cw_s300_x254883.721_y3364327.517,0.8456732034683228,300.000,254883.721025345556,3364327.516620819457,0
q_001,19,cw_s200_x254833.721_y3364202.517,0.8421381115913391,200.000,254833.721025345556,3364202.516620819457,0
