query_id,candidate_id,status,status_detail,bucket,candidate_rank,total_correspondences,valid_correspondences,ok_ratio,nodata_ratio,inlier_count,inlier_ratio,coverage_bbox_area_px2,coverage_score,inlier_count_norm,elevation_span_m,elevation_span_norm,reproj_error_m,reproj_error_norm,pose_penalty,rvec,tvec,camera_center_x,camera_center_y,camera_center_z,sample_status_breakdown,score,score_rank_within_query
q_001,cw_s200_x253783.721_y3364952.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,4874.000000,0.974800,6842494.072441,0.603258,1.000000,19.779945,0.350765,2.135923,0.000000,0.000000,"[-0.7557668609663782, 3.037876796461058, 0.022429062237123355]","[1800955.6749216157, -2853523.200323522, -33835.459529369575]",253728.993779,3364937.188145,392.035023,"{""ok"": 5000}",0.678331,1
q_001,cw_s300_x254883.721_y3365002.517,ok,,applicable_success,,5000,4997,0.999400,0.000000,16.000000,0.003202,11342563.589628,1.000000,0.003283,50.760159,0.900150,4.491854,0.649567,0.000000,"[-0.9143000934788618, -0.771211116651624, -0.42308435589252963]","[-2275582.781821638, -1871807.7892431854, 1645294.1589410824]",254641.601424,3365128.811709,-40.849045,"{""ok"": 4997, ""unstable_local_height"": 3}",0.276675,2
q_001,cw_s200_x254683.721_y3364052.517,ok,,applicable_success,,5000,4994,0.998800,0.000000,24.000000,0.004806,236.543747,0.000021,0.004924,56.390795,1.000000,4.953438,0.776833,0.000000,"[-1.0499225225908912, 2.2057195099139304, 1.2212735764008784]","[2763551.2959081796, -1015101.3615542034, -1646217.1370470638]",255075.781709,3363422.920805,55.161921,"{""ok"": 4994, ""unstable_local_height"": 6}",0.024749,3
q_001,cw_s300_x255108.721_y3365002.517,ok,,applicable_success,,5000,4999,0.999800,0.000000,25.000000,0.005001,1367098.713229,0.120528,0.005129,43.893182,0.778375,5.421609,0.905915,0.000000,"[0.22341103043612648, -1.379298020596297, -1.746871900143399]","[-1576888.5553923228, 191464.98737310618, -2976907.6854710234]",255085.590386,3364542.622211,101.189733,"{""ok"": 4999, ""unstable_local_height"": 1}",0.019904,4
q_001,cw_s300_x254658.721_y3364102.517,ok,,applicable_success,,5000,4996,0.999200,0.000800,10.000000,0.002002,88703.955971,0.007820,0.002052,43.166353,0.765486,5.128268,0.825036,0.000000,"[1.7752740262345994, 0.5623329621455668, 0.7700366624797417]","[-195159.47112238593, 894078.0876908363, -3247024.9509051433]",254774.417280,3363885.232365,132.804353,"{""ok"": 4996, ""nodata"": 4}",-0.002989,5
q_001,cw_s300_x254208.721_y3364102.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,8.000000,0.001600,2948.887624,0.000260,0.001641,24.076458,0.426957,4.003670,0.514967,0.000000,"[-1.7245689921412204, 1.6136025632728073, 1.4247057626370696]","[3065911.404282835, 1031081.8503649011, -958014.8533305465]",254860.244883,3363893.760932,31.716342,"{""ok"": 5000}",-0.007928,6
q_001,cw_s300_x255108.721_y3364102.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,64.000000,0.012800,177395.363590,0.015640,0.013131,22.352672,0.396389,4.558404,0.667916,0.000000,"[1.7556389291412635, -1.6246639241188006, 0.6645953603543735]","[3312006.8895123457, 249571.92990957454, -589710.1755286257]",254876.409632,3363699.133931,166.441747,"{""ok"": 5000}",-0.016777,7
q_001,cw_s300_x254883.721_y3364327.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,16.000000,0.003200,196053.072461,0.017285,0.003283,13.498641,0.239377,3.875633,0.479665,0.000000,"[-1.1735879104664253, -0.340677228854841, 2.225889110591344]","[1400971.5436551978, 2506398.3551748414, 1771500.9399393017]",254815.317589,3364229.289870,16.150312,"{""ok"": 5000}",-0.018091,8
q_001,cw_s200_x255133.721_y3364052.517,ok,,applicable_success,,5000,4999,0.999800,0.000200,45.000000,0.009002,14603.279222,0.001287,0.009233,20.565257,0.364692,4.342486,0.608384,0.000000,"[-2.7871728303337675, -0.2605798984555639, -1.2707430418476593]","[-773830.0339122557, 3275768.444240303, -221906.8843296956]",254208.303598,3363642.758748,129.924696,"{""ok"": 4999, ""nodata"": 1}",-0.019500,9
q_001,cw_s200_x254233.721_y3364652.517,ok,,applicable_success,,5000,4999,0.999800,0.000200,38.000000,0.007602,362329.296610,0.031944,0.007796,24.400044,0.432696,4.886131,0.758275,0.000000,"[-0.5135760624506237, -2.437434681940764, 0.050866599940114506]","[-994392.0809569671, -3200636.263409041, 392309.089247233]",253782.722164,3364875.751905,164.304404,"{""ok"": 4999, ""nodata"": 1}",-0.020732,10
q_001,cw_s300_x255108.721_y3364327.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,31.000000,0.006200,130970.914746,0.011547,0.006360,17.127593,0.303730,4.622749,0.685657,0.000000,"[1.8208742349680307, 0.8101390747059052, -0.03613351996525862]","[-2012715.2260390893, 466444.38826404803, -2667482.1032028683]",255396.134413,3364346.375089,48.312148,"{""ok"": 5000}",-0.032174,11
q_001,cw_s200_x254983.721_y3364352.517,ok,,applicable_success,,5000,4999,0.999800,0.000000,36.000000,0.007201,93718.442258,0.008263,0.007386,13.363701,0.236984,4.414333,0.628193,0.000000,"[-1.2021487574126781, 2.084604280507226, -0.28112280955205354]","[2342476.882669257, -1623155.6027308588, 1807168.1953055633]",255188.606272,3364902.331619,128.579031,"{""ok"": 4999, ""unstable_local_height"": 1}",-0.033418,12
q_001,cw_s200_x254083.721_y3364052.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,156.000000,0.031200,71935.786933,0.006342,0.032007,15.237289,0.270209,5.110133,0.820036,0.000000,"[0.7260301328846631, -0.958300981916339, 1.8005054895967016]","[3194491.4279671432, 739354.0872681843, 793722.404929469]",253414.207543,3364104.107307,-20.503631,"{""ok"": 5000}",-0.037636,13
q_001,cw_s200_x254083.721_y3365102.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,110.000000,0.022000,57420.592899,0.005062,0.022569,15.191681,0.269400,4.933962,0.771463,0.000000,"[-0.7277345395931216, -2.2643712133102487, 0.4192374012326029]","[-1124069.1129597642, -2808636.829481157, 1496090.3276423009]",253599.546566,3365404.246123,96.176185,"{""ok"": 5000}",-0.037827,14
q_001,cw_s200_x254983.721_y3365252.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,80.000000,0.016000,22470.483103,0.001981,0.016414,18.213264,0.322983,5.075750,0.810556,0.000000,"[2.655164724418648, -0.4714783973169113, -1.3732322245097457]","[602286.0016040722, 3262368.995563808, -615109.4647177802]",256300.121819,3364293.356841,34.648814,"{""ok"": 5000}",-0.040179,15
q_001,cw_s200_x254233.721_y3364052.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,31.000000,0.006200,59330.020893,0.005231,0.006360,17.349024,0.307657,4.908360,0.764404,0.000000,"[2.418660036222149, 1.1562112461264293, 1.013150770059189]","[-2034125.3187672126, 1968115.2078361325, -1834801.5833016185]",253933.729450,3363503.794880,129.339018,"{""ok"": 5000}",-0.041235,16
q_001,cw_s200_x255133.721_y3364202.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,122.000000,0.024400,201069.687847,0.017727,0.025031,10.667499,0.189171,5.249212,0.858382,0.000000,"[2.4048054617146435, 0.4288665206129649, -0.7246243385349204]","[-1716589.5868567703, 2580663.339234263, -1332154.685346363]",255076.685353,3363937.432869,134.896598,"{""ok"": 5000}",-0.050163,17
q_001,cw_s300_x254883.721_y3364102.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,21.000000,0.004200,556.730139,0.000049,0.004309,22.703997,0.402619,5.762849,1.000000,1.000000,"[-0.8657194442542036, -2.9742312694100996, 0.3835733509170749]","[-1579716.4100092992, -2861970.8886773605, 853330.0189366423]",225043.421334,3370856.990387,35100.338790,"{""ok"": 5000}",-0.107604,18
q_001,cw_s200_x254833.721_y3364052.517,pnp_failed,solvePnPRansac did not converge,applicable_failure,,5000,4996,0.999200,0.000400,0.000000,0.000000,20826525.462450,0.000000,0.000000,12.605588,0.000000,0.000000,1.000000,1.000000,,,,,,"{""ok"": 4996, ""nodata"": 2, ""unstable_local_height"": 2}",-0.150000,19
q_001,cw_s200_x254833.721_y3364202.517,pnp_failed,solvePnPRansac did not converge,applicable_failure,,5000,4997,0.999400,0.000000,0.000000,0.000000,20846903.666088,0.000000,0.000000,62.849236,0.000000,0.000000,1.000000,1.000000,,,,,,"{""ok"": 4997, ""unstable_local_height"": 3}",-0.150000,20
q_002,cw_s500_x254008.721_y3364877.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,3686.000000,0.737200,14823826.215949,1.000000,0.798873,79.431356,0.941622,2.718422,0.205523,0.000000,"[-0.7690366488751402, 3.03789587490688, 0.014916434976482621]","[1824272.44184508, -2838586.923771125, -21671.74464753416]",253823.657889,3364756.860080,391.966138,"{""ok"": 5000}",0.704544,1
q_002,cw_s200_x253783.721_y3364802.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,4614.000000,0.922800,6827887.835730,0.460602,1.000000,29.092991,0.344884,2.016226,0.000000,0.000000,"[-0.770437670264982, 3.0375343032479383, -0.005278559109815951]","[1826753.7722050643, -2837011.2358371466, 19616.1852400272]",253822.495767,3364761.637614,392.351614,"{""ok"": 5000}",0.626479,2
q_002,cw_s300_x253983.721_y3364777.517,ok,,applicable_success,,5000,4997,0.999400,0.000200,3578.000000,0.716030,10332529.163070,0.697022,0.775466,77.812573,0.922432,3.379332,0.398962,0.000000,"[-0.7727041929519387, 3.0397118946770565, 0.026186090915271017]","[1829859.7361203553, -2834668.836502793, -47534.85285295833]",253823.340808,3364753.659162,391.875173,"{""ok"": 4997, ""unstable_local_height"": 2, ""nodata"": 1}",0.596505,3
q_002,cw_s500_x254008.721_y3364502.517,ok,,applicable_success,,5000,4993,0.998600,0.000800,3230.000000,0.646906,9225739.677812,0.622359,0.700043,84.262301,0.998890,2.962724,0.277026,0.000000,"[-0.7688918592715929, 3.0412150666231033, -0.0069497151829194526]","[1822432.0793963615, -2839789.593951102, 19578.127906775688]",253821.383878,3364761.726758,390.194382,"{""ok"": 4993, ""unstable_local_height"": 3, ""nodata"": 4}",0.561857,4
q_002,cw_s200_x253933.721_y3364952.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,4326.000000,0.865200,4436402.478929,0.299275,0.937581,18.496527,0.219268,2.786955,0.225581,0.000000,"[0.7741550187688225, -3.0428127831709175, -0.03805101282171116]","[1830701.4758216073, -2833423.2482301444, -78856.20485058587]",253822.064057,3364750.764554,387.897207,"{""ok"": 5000}",0.521264,5
q_002,cw_s300_x253983.721_y3365002.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,4241.000000,0.848200,4961372.806522,0.334689,0.919159,17.933033,0.212588,2.875399,0.251468,0.000000,"[0.7703402973630421, -3.0421488155084457, -0.033066852519724056]","[1824317.7477352968, -2837758.337579888, -70515.12177377768]",253820.689357,3364751.835764,388.559534,"{""ok"": 5000}",0.518076,6
q_002,cw_s200_x253933.721_y3364802.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,3857.000000,0.771400,6497199.904397,0.438294,0.835934,31.037447,0.367934,3.369449,0.396069,0.000000,"[-0.770895256685698, 3.0261517286321777, 0.031819823087866385]","[1833015.223199154, -2832675.6932306536, -44709.078729413784]",253828.685950,3364753.503089,393.525548,"{""ok"": 5000}",0.505367,7
q_002,cw_s300_x253983.721_y3364552.517,ok,,applicable_success,,5000,4992,0.998400,0.001000,1984.000000,0.397436,3830320.558293,0.258389,0.429996,84.355923,1.000000,2.420995,0.118470,0.000000,"[-0.7692299745017519, 3.0449102621877775, -0.008534330276928093]","[1821419.466804699, -2840444.111768609, 18861.233310496602]",253819.913695,3364761.904214,389.383107,"{""ok"": 4992, ""unstable_local_height"": 3, ""nodata"": 5}",0.357980,8
q_002,cw_s500_x254758.721_y3364877.517,ok,,applicable_success,,5000,4996,0.999200,0.000200,6.000000,0.001201,390.753030,0.000026,0.001300,33.617557,0.398520,4.067514,0.600383,0.000000,"[-0.6308724289694109, 1.724327161865253, -1.1217382680242114]","[-136128.93248871068, -1296638.9533650316, 3112806.937550566]",254989.658657,3365167.300615,70.423204,"{""ok"": 4996, ""nodata"": 1, ""unstable_local_height"": 3}",-0.019559,9
q_002,cw_s200_x253933.721_y3364352.517,ok,,applicable_success,,5000,4998,0.999600,0.000400,77.000000,0.015406,112716.741982,0.007604,0.016688,37.883211,0.449088,4.730504,0.794430,0.000000,"[-2.747593355690629, -0.08508574389608556, -0.3530301727205467]","[-598535.1598601964, 3127435.2510880358, 1116606.187648781]",253984.826709,3364728.309452,277.496781,"{""ok"": 4998, ""nodata"": 2}",-0.024674,10
q_002,cw_s200_x254233.721_y3364952.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,76.000000,0.015200,45176.887063,0.003048,0.016472,20.823662,0.246855,4.120461,0.615879,0.000000,"[2.8308056579964056, -0.16292679405410007, -1.2572521357503121]","[97751.20795352414, 3371436.8659919016, -76654.48103027491]",255958.489312,3364001.033546,218.030072,"{""ok"": 5000}",-0.028286,11
q_002,cw_s300_x254658.721_y3365002.517,ok,,applicable_success,,5000,4986,0.997200,0.000600,19.000000,0.003811,3439.553909,0.000232,0.004118,54.824911,0.649924,5.432861,1.000000,0.000000,"[-0.39623891462713495, -1.0794956479639415, 0.5989497705171353]","[785949.8620418373, -2772679.4441506085, 1756088.7349987081]",254370.770052,3365206.032101,60.850320,"{""ok"": 4986, ""unstable_local_height"": 11, ""nodata"": 3}",-0.032983,12
q_002,cw_s300_x254208.721_y3365227.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,41.000000,0.008200,297.260307,0.000020,0.008886,26.906456,0.318963,4.479523,0.720972,0.000000,"[2.391806582251781, -0.20400206677196647, -0.6913396578268104]","[-336714.3658773943, 2704015.387174467, -1910366.7645077538]",298286.525386,3314453.186248,1475.852973,"{""ok"": 5000}",-0.035959,13
q_002,cw_s200_x254683.721_y3364952.517,ok,,applicable_success,,5000,4999,0.999800,0.000000,29.000000,0.005801,647148.320945,0.043656,0.006285,33.957470,0.402550,5.176428,0.924946,0.000000,"[-0.8312653432420842, 2.5484800327734156, -0.6319507928861998]","[1709612.4411584255, -2274186.0453869062, 1815267.8645340097]",255095.677502,3365237.051484,265.794197,"{""ok"": 4999, ""unstable_local_height"": 1}",-0.038328,14
q_002,cw_s300_x254208.721_y3364102.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,7.000000,0.001400,796.801758,0.000054,0.001517,20.340028,0.241122,4.242839,0.651698,0.000000,"[-1.094163224512451, -0.8830916517183451, -0.1660907237348098]","[-1928663.847267589, -1700046.3332069702, 2184239.218003981]",254162.716286,3363956.605248,62.700363,"{""ok"": 5000}",-0.040321,15
q_002,cw_s300_x255108.721_y3365227.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,11.000000,0.002200,478.081065,0.000032,0.002384,40.906164,0.484923,5.137838,0.913651,0.000000,"[0.9423316512266365, 0.5652499001662501, -0.8333332938703968]","[-2904077.30367963, -1005133.5485863008, -1394563.2386252894]",255255.526819,3365057.158283,16.755770,"{""ok"": 5000}",-0.041728,16
