download_request_id,dsm_source_name,dsm_source_type,dsm_asset_version_tag,upstream_dsm_path,crs,request_min_x,request_min_y,request_max_x,request_max_y,primary_candidate_tile_id,raster_path,status
odm_dsm_override_s200_x253783.067_y3364828.442,odm_dsm_override,odm_dsm_override,odm_refresh_2026-04-16,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/plan/flight_asset_override_manifest.csv,EPSG:32650,253433.067107,3364478.441951,254133.067107,3365178.441951,s200_x253783.067_y3364828.442,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s200_x253783.067_y3364828.442.tif,planned
odm_dsm_override_s500_x253783.067_y3365053.442,odm_dsm_override,odm_dsm_override,odm_refresh_2026-04-16,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/plan/flight_asset_override_manifest.csv,EPSG:32650,253283.067107,3364553.441951,254283.067107,3365553.441951,s500_x253783.067_y3365053.442,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s500_x253783.067_y3365053.442.tif,planned
odm_dsm_override_s500_x253783.067_y3364678.442,odm_dsm_override,odm_dsm_override,odm_refresh_2026-04-16,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/plan/flight_asset_override_manifest.csv,EPSG:32650,253283.067107,3364178.441951,254283.067107,3365178.441951,s500_x253783.067_y3364678.442,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s500_x253783.067_y3364678.442.tif,planned
odm_dsm_override_s700_x253883.067_y3364778.442,odm_dsm_override,odm_dsm_override,odm_refresh_2026-04-16,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/plan/flight_asset_override_manifest.csv,EPSG:32650,253283.067107,3364178.441951,254483.067107,3365378.441951,s700_x253883.067_y3364778.442,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s700_x253883.067_y3364778.442.tif,planned
odm_dsm_override_s300_x253908.067_y3365028.442,odm_dsm_override,odm_dsm_override,odm_refresh_2026-04-16,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/plan/flight_asset_override_manifest.csv,EPSG:32650,253508.067107,3364628.441951,254308.067107,3365428.441951,s300_x253908.067_y3365028.442,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s300_x253908.067_y3365028.442.tif,planned
odm_dsm_override_s200_x253933.067_y3364978.442,odm_dsm_override,odm_dsm_override,odm_refresh_2026-04-16,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/plan/flight_asset_override_manifest.csv,EPSG:32650,253583.067107,3364628.441951,254283.067107,3365328.441951,s200_x253933.067_y3364978.442,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s200_x253933.067_y3364978.442.tif,planned
odm_dsm_override_s300_x253908.067_y3364803.442,odm_dsm_override,odm_dsm_override,odm_refresh_2026-04-16,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/plan/flight_asset_override_manifest.csv,EPSG:32650,253508.067107,3364403.441951,254308.067107,3365203.441951,s300_x253908.067_y3364803.442,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s300_x253908.067_y3364803.442.tif,planned
odm_dsm_override_s300_x253696.869_y3365187.480,odm_dsm_override,odm_dsm_override,odm_refresh_2026-04-16,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/plan/flight_asset_override_manifest.csv,EPSG:32650,253296.869116,3364787.480293,254096.869116,3365587.480293,s300_x253696.869_y3365187.480,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s300_x253696.869_y3365187.480.tif,planned
odm_dsm_override_s200_x253810.673_y3365746.519,odm_dsm_override,odm_dsm_override,odm_refresh_2026-04-16,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/plan/flight_asset_override_manifest.csv,EPSG:32650,253460.673390,3365396.519047,254160.673390,3366096.519047,s200_x253810.673_y3365746.519,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s200_x253810.673_y3365746.519.tif,planned
odm_dsm_override_s200_x254188.610_y3365734.565,odm_dsm_override,odm_dsm_override,odm_refresh_2026-04-16,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/plan/flight_asset_override_manifest.csv,EPSG:32650,253838.609954,3365384.565272,254538.609954,3366084.565272,s200_x254188.610_y3365734.565,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s200_x254188.610_y3365734.565.tif,planned
