dsm_id,candidate_tile_id,dsm_source_name,dsm_source_type,dsm_asset_version_tag,upstream_dsm_path,crs,tile_min_x,tile_min_y,tile_max_x,tile_max_y,expand_margin_m,request_min_x,request_min_y,request_max_x,request_max_y,raster_path,status,download_request_id
s200_x253783.067_y3364828.442,s200_x253783.067_y3364828.442,odm_dsm_override,odm_dsm_override,odm_refresh_2026-04-16,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/source/odm_dsm_merged.tif,EPSG:32650,253683.06710738334,3364728.4419510043,253883.06710738334,3364928.4419510043,250.000,253433.067107,3364478.441951,254133.067107,3365178.441951,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s200_x253783.067_y3364828.442.tif,ready,odm_dsm_override_s200_x253783.067_y3364828.442
s500_x253783.067_y3365053.442,s500_x253783.067_y3365053.442,odm_dsm_override,odm_dsm_override,odm_refresh_2026-04-16,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/source/odm_dsm_merged.tif,EPSG:32650,253533.06710738334,3364803.4419510043,254033.06710738334,3365303.4419510043,250.000,253283.067107,3364553.441951,254283.067107,3365553.441951,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s500_x253783.067_y3365053.442.tif,ready,odm_dsm_override_s500_x253783.067_y3365053.442
s500_x253783.067_y3364678.442,s500_x253783.067_y3364678.442,odm_dsm_override,odm_dsm_override,odm_refresh_2026-04-16,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/source/odm_dsm_merged.tif,EPSG:32650,253533.06710738334,3364428.4419510043,254033.06710738334,3364928.4419510043,250.000,253283.067107,3364178.441951,254283.067107,3365178.441951,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s500_x253783.067_y3364678.442.tif,ready,odm_dsm_override_s500_x253783.067_y3364678.442
s700_x253883.067_y3364778.442,s700_x253883.067_y3364778.442,odm_dsm_override,odm_dsm_override,odm_refresh_2026-04-16,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/source/odm_dsm_merged.tif,EPSG:32650,253533.06710738334,3364428.4419510043,254233.06710738334,3365128.4419510043,250.000,253283.067107,3364178.441951,254483.067107,3365378.441951,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s700_x253883.067_y3364778.442.tif,ready,odm_dsm_override_s700_x253883.067_y3364778.442
s300_x253908.067_y3365028.442,s300_x253908.067_y3365028.442,odm_dsm_override,odm_dsm_override,odm_refresh_2026-04-16,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/source/odm_dsm_merged.tif,EPSG:32650,253758.06710738334,3364878.4419510043,254058.06710738334,3365178.4419510043,250.000,253508.067107,3364628.441951,254308.067107,3365428.441951,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s300_x253908.067_y3365028.442.tif,ready,odm_dsm_override_s300_x253908.067_y3365028.442
s200_x253933.067_y3364978.442,s200_x253933.067_y3364978.442,odm_dsm_override,odm_dsm_override,odm_refresh_2026-04-16,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/source/odm_dsm_merged.tif,EPSG:32650,253833.06710738334,3364878.4419510043,254033.06710738334,3365078.4419510043,250.000,253583.067107,3364628.441951,254283.067107,3365328.441951,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s200_x253933.067_y3364978.442.tif,ready,odm_dsm_override_s200_x253933.067_y3364978.442
s300_x253908.067_y3364803.442,s300_x253908.067_y3364803.442,odm_dsm_override,odm_dsm_override,odm_refresh_2026-04-16,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/source/odm_dsm_merged.tif,EPSG:32650,253758.06710738334,3364653.4419510043,254058.06710738334,3364953.4419510043,250.000,253508.067107,3364403.441951,254308.067107,3365203.441951,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s300_x253908.067_y3364803.442.tif,ready,odm_dsm_override_s300_x253908.067_y3364803.442
s300_x253696.869_y3365187.480,s300_x253696.869_y3365187.480,odm_dsm_override,odm_dsm_override,odm_refresh_2026-04-16,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/source/odm_dsm_merged.tif,EPSG:32650,253546.86911584332,3365037.480292981,253846.86911584332,3365337.480292981,250.000,253296.869116,3364787.480293,254096.869116,3365587.480293,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s300_x253696.869_y3365187.480.tif,ready,odm_dsm_override_s300_x253696.869_y3365187.480
s200_x253810.673_y3365746.519,s200_x253810.673_y3365746.519,odm_dsm_override,odm_dsm_override,odm_refresh_2026-04-16,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/source/odm_dsm_merged.tif,EPSG:32650,253710.6733898759,3365646.519046808,253910.6733898759,3365846.519046808,250.000,253460.673390,3365396.519047,254160.673390,3366096.519047,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s200_x253810.673_y3365746.519.tif,ready,odm_dsm_override_s200_x253810.673_y3365746.519
s200_x254188.610_y3365734.565,s200_x254188.610_y3365734.565,odm_dsm_override,odm_dsm_override,odm_refresh_2026-04-16,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/source/odm_dsm_merged.tif,EPSG:32650,254088.6099540508,3365634.565271766,254288.6099540508,3365834.565271766,250.000,253838.609954,3365384.565272,254538.609954,3366084.565272,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s200_x254188.610_y3365734.565.tif,ready,odm_dsm_override_s200_x254188.610_y3365734.565
