query_id,candidate_id,status,status_detail,bucket,candidate_rank,total_correspondences,valid_correspondences,ok_ratio,nodata_ratio,inlier_count,inlier_ratio,coverage_bbox_area_px2,coverage_score,inlier_count_norm,elevation_span_m,elevation_span_norm,reproj_error_m,reproj_error_norm,pose_penalty,rvec,tvec,camera_center_x,camera_center_y,camera_center_z,sample_status_breakdown,score,score_rank_within_query
q_001,s500_x253783.067_y3365053.442,ok,,applicable_success,,2000,1742,0.871000,0.125500,694.000000,0.398393,16649459.826927,0.909703,1.000000,52.092000,1.000000,4.333577,0.000000,0.000000,"[-0.7583972642022127, 3.04513054095187, 0.010825816731579755]","[1802303.2655939017, -2852814.447805918, -18085.305499993825]",253725.865218,3364936.469606,392.289411,"{""ok"": 1742, ""nodata"": 251, ""unstable_local_height"": 7}",0.646944,1
q_001,s500_x253783.067_y3364678.442,ok,,applicable_success,,2000,1757,0.878500,0.116500,694.000000,0.394991,13064614.675117,0.713832,1.000000,42.503413,0.815930,4.341389,0.009050,0.000000,"[-0.7558544516917606, 3.039612475684137, -0.020662186537213512]","[1799902.1164366067, -2853912.1341358772, 52549.88843987514]",253726.318711,3364943.742743,390.208826,"{""ok"": 1757, ""nodata"": 233, ""unstable_local_height"": 10}",0.577643,2
q_001,s700_x253883.067_y3364778.442,ok,,applicable_success,,2000,1766,0.883000,0.113500,576.000000,0.326161,18302087.172598,1.000000,0.829971,27.405456,0.526097,4.451411,0.136514,0.000000,"[-0.7571117584536062, 3.0427358062603314, -0.006270969256324334]","[1801005.1760357646, -2853628.8142975075, 19635.993807292052]",253726.102819,3364940.643841,392.844923,"{""ok"": 1766, ""nodata"": 227, ""unstable_local_height"": 7}",0.552801,3
q_001,s200_x253783.067_y3364828.442,ok,,applicable_success,,2000,1811,0.905500,0.089500,671.000000,0.370514,3553111.196914,0.194137,0.966859,27.981532,0.537156,4.452855,0.138186,0.000000,"[-0.7489147733174362, 3.0275766609392183, 0.029320151850616205]","[1793524.2031885793, -2858170.0382439555, -36011.31059687752]",253734.527075,3364933.949329,394.786025,"{""ok"": 1811, ""nodata"": 179, ""unstable_local_height"": 10}",0.392957,4
q_001,s300_x253908.067_y3365028.442,ok,,applicable_success,,2000,1821,0.910500,0.089500,381.000000,0.209226,6578248.957297,0.359426,0.548991,20.323999,0.390156,4.749888,0.482306,0.000000,"[0.7624667373981948, -3.040639398939831, -0.0001841898887466491]","[1811416.3555316117, -2847084.98810072, -7239.156452013084]",253721.999656,3364936.781403,389.863819,"{""ok"": 1821, ""nodata"": 179}",0.253208,5
q_001,s300_x253908.067_y3364803.442,ok,,applicable_success,,2000,1571,0.785500,0.210000,271.000000,0.172502,5636840.325619,0.307989,0.390490,38.483998,0.738770,4.967063,0.733909,0.000000,"[-0.7566481736466641, 3.0365223718403795, 0.06583108646520035]","[1803048.8600054798, -2849772.855164921, -122115.32378576971]",253731.896285,3364925.353570,399.521926,"{""ok"": 1571, ""nodata"": 420, ""unstable_local_height"": 9}",0.207332,6
q_001,s300_x253696.869_y3365187.480,ok,,applicable_success,,2000,1657,0.828500,0.167000,235.000000,0.141823,3476468.556891,0.189949,0.338617,26.670998,0.511998,4.743395,0.474784,0.000000,"[-0.7532783731073602, 3.0446359580659053, 0.09057388988830066]","[1792543.8237621344, -2853287.14403046, -180543.5108278712]",253730.074386,3364918.683857,382.202432,"{""ok"": 1657, ""nodata"": 334, ""unstable_local_height"": 9}",0.161479,7
q_001,s200_x253933.067_y3364978.442,ok,,applicable_success,,2000,1709,0.854500,0.143500,338.000000,0.197776,3375766.243244,0.184447,0.487032,26.453000,0.507813,5.196744,1.000000,0.000000,"[-0.741319145942771, 3.0225965014799185, -0.0076790536598273585]","[1781149.7188077867, -2865752.0413468233, 47039.046878200905]",253732.903921,3364945.944246,401.237488,"{""ok"": 1709, ""nodata"": 287, ""unstable_local_height"": 4}",0.153632,8
q_001,s200_x255353.340_y3364033.631,ok,,applicable_success,,2000,1173,0.586500,0.409000,38.000000,0.032396,5423.549540,0.000296,0.054755,25.501000,0.489538,4.751475,0.484145,0.000000,"[1.136231141708702, -1.5311918008714365, -1.701983822120981]","[525291.8112309875, 807843.1173097708, -3232038.6640276047]",255540.928934,3362932.291377,1073.385895,"{""ok"": 1173, ""nodata"": 818, ""unstable_local_height"": 9}",0.021283,9
q_001,s200_x253810.673_y3365746.519,dsm_nodata_too_high,nodata or out-of-bounds dominates the sample set,not_applicable_v1,,2000,66,0.033000,0.966500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,,,,,,"{""nodata"": 1933, ""ok"": 66, ""unstable_local_height"": 1}",-0.150000,10
