query_id,flight_id,candidate_count,scored_candidate_count,best_candidate_id,best_score,best_score_rank,best_status,best_bucket,best_inlier_count,best_inlier_ratio,best_reproj_error,best_pose_penalty,best_coverage_bbox_area_px2,best_elevation_span_m,best_rvec,best_tvec,best_camera_center_x,best_camera_center_y,best_camera_center_z,score_gap_to_second
q_001,DJI_202510311347_009_新建面状航线1,20,20,s500_x253783.067_y3365053.442,0.646944,1,ok,applicable_success,694.000000,0.398393,4.333577,0.000000,16649459.826927,52.092000,"[-0.7583972642022127, 3.04513054095187, 0.010825816731579755]","[1802303.2655939017, -2852814.447805918, -18085.305499993825]",253725.865218,3364936.469606,392.289411,0.069301
q_002,DJI_202510311347_009_新建面状航线1,20,20,s500_x253783.067_y3364678.442,0.512931,1,ok,applicable_success,481.000000,0.301378,4.616130,0.000000,20123883.560932,42.021434,"[-0.7684384859403298, 3.035125880044514, 0.01356518514359613]","[1824461.45726405, -2838501.1888503917, -15894.031519405986]",253824.954009,3364754.666746,392.068679,0.019041
q_003,DJI_202510311347_009_新建面状航线1,20,20,s700_x253883.067_y3364778.442,0.475002,1,ok,applicable_success,428.000000,0.273308,5.139781,0.000000,20592811.283389,65.652801,"[-0.7747759420476478, 3.0382463844161878, 0.031796738888821466]","[1834141.7635494622, -2831561.131774827, -58038.373903784115]",253889.229114,3364628.212735,392.461846,0.020361
q_004,DJI_202510311347_009_新建面状航线1,20,20,s500_x254297.293_y3364057.454,0.654195,1,ok,applicable_success,806.000000,0.443833,4.245211,0.000000,19824022.210459,62.164003,"[-3.024759013469752, -0.7618058473962379, -0.02204621335596717]","[-1817654.5576981031, 2841501.2081374037, 56639.180606709415]",254341.040672,3364002.925876,391.754788,0.101779
q_005,DJI_202510311347_009_新建面状航线1,20,20,s700_x254397.293_y3364157.454,0.555559,1,ok,applicable_success,662.000000,0.361946,4.797482,0.000000,20732238.215565,33.330206,"[-3.026202964766713, -0.7841722403379218, -0.02730935100207279]","[-1856245.224642146, 2816986.6044276473, 30262.600371845536]",254273.568309,3364122.543400,392.380912,0.019163
q_006,DJI_202510311347_009_新建面状航线1,20,20,s300_x253908.067_y3365028.442,0.429702,1,ok,applicable_success,557.000000,0.307735,4.947231,0.000000,8393043.224701,25.493125,"[-0.8137990065183772, 3.0171892261143998, 0.022232700077298283]","[1911773.9634145112, -2780683.2842487507, -26385.4991659276]",253929.764423,3365010.390805,391.881740,0.010214
q_007,DJI_202510311347_009_新建面状航线1,20,20,s200_x254083.067_y3364828.442,0.553338,1,ok,applicable_success,1097.000000,0.568983,4.221852,0.000000,3342955.855233,35.239001,"[-0.8288407690280779, 3.0222747752361454, 0.06254062570132828]","[1934737.1607098223, -2762121.979187896, -118332.10943107647]",254026.263410,3364817.781067,393.419028,0.048058
q_008,DJI_202510311347_009_新建面状航线1,20,20,s500_x254158.067_y3364678.442,0.507105,1,ok,applicable_success,490.000000,0.327759,4.692560,0.000000,13734088.118075,41.955478,"[-0.8253419251812733, 3.001701499707781, 0.009697808128431554]","[1938455.8979955923, -2761887.8025344657, 12973.680293723564]",254097.416563,3364704.767193,388.806933,0.076339
q_009,DJI_202510311347_009_新建面状航线1,20,20,s300_x254422.293_y3363957.454,0.528147,1,ok,applicable_success,622.000000,0.350423,4.780817,0.000000,10024563.736358,27.208000,"[-3.032298077482932, -0.7634687485822411, -0.0030861446013558374]","[-1817177.7387188617, 2842043.4839385836, 45183.961661870606]",254577.335742,3364012.175451,390.673299,0.012264
q_010,DJI_202510311347_009_新建面状航线1,20,20,s700_x254397.293_y3364157.454,0.465571,1,ok,applicable_success,438.000000,0.235231,4.509729,0.000000,15523028.967270,29.030295,"[-3.0301162495934864, -0.7769327219858575, -0.006162947459174179]","[-1841854.4954594225, 2826482.5279296236, 39113.58251576544]",254446.495211,3364255.959754,392.181524,0.023930
q_011,DJI_202510311347_009_新建面状航线1,20,20,s300_x254211.063_y3364791.491,0.573148,1,ok,applicable_success,962.000000,0.503665,4.294579,0.000000,13241524.069815,30.970439,"[-3.029290045600706, -0.7918208621938434, -0.005920715172129018]","[-1868203.3412372947, 2809829.325442031, 29815.219504056826]",254179.264323,3364759.465009,392.247661,0.007734
q_012,DJI_202510311347_009_新建面状航线1,20,20,s300_x254211.063_y3365016.491,0.572927,1,ok,applicable_success,698.000000,0.361284,4.527723,0.000000,6603909.615513,28.731409,"[-0.8028018776094606, 3.017322540649168, 0.06976607490291363]","[1893188.631452987, -2790880.316612456, -121359.45307524012]",254166.088722,3365011.693184,396.039488,0.038156
q_013,DJI_202510311347_009_新建面状航线1,20,20,s300_x254211.063_y3364791.491,0.582597,1,ok,applicable_success,870.000000,0.457413,4.400199,0.000000,12790962.232486,31.780172,"[-0.81565826799876, 3.021461816480738, 0.027237312841218244]","[1913166.996628835, -2779358.7783934074, -41689.80330084569]",254257.794830,3364837.891428,392.302008,0.079092
q_014,DJI_202510311347_009_新建面状航线1,20,20,s300_x254422.293_y3364407.454,0.470199,1,ok,applicable_success,496.000000,0.262573,3.936071,0.000000,6832946.998015,68.438922,"[0.8277764558672468, -3.0292879184255956, -0.04942583226263993]","[1929598.7735128587, -2765901.4332870217, -100594.30394512034]",254501.885452,3364358.782136,393.384701,0.065898
q_015,DJI_202510311347_009_新建面状航线1,20,20,s500_x254825.317_y3364045.530,0.470038,1,ok,applicable_success,472.000000,0.277484,4.760785,0.000000,17109385.624395,31.758314,"[3.0383401721997636, 0.7780757504374292, -0.02365444828812233]","[-1840363.6782010375, 2827472.615333849, 349.7237723677311]",254817.033130,3364016.662409,394.300692,0.096107
q_016,DJI_202510311347_009_新建面状航线1,20,20,s200_x254675.317_y3364345.530,0.474944,1,ok,applicable_success,978.000000,0.507261,4.205484,0.000000,5247845.073553,23.444985,"[-3.018513842778867, -0.782378070877094, -0.03535223197843017]","[-1857214.7371408823, 2816284.1223836797, 49517.060904253376]",254673.625884,3364267.523027,393.639504,0.132073
q_017,DJI_202510311347_009_新建面状航线1,20,20,s200_x254324.835_y3365125.528,0.595048,1,ok,applicable_success,692.000000,0.355236,4.717130,0.000000,6178334.039515,26.734034,"[-0.7789410201171812, 3.01929689443369, 0.027097780342141015]","[1850842.5769747733, -2821782.1875247345, -29782.734163789282]",254335.706737,3365155.741224,394.225269,0.094927
q_018,DJI_202510311347_009_新建面状航线1,20,20,s300_x254436.063_y3365016.491,0.568399,1,ok,applicable_success,777.000000,0.408088,4.794649,0.000000,7485570.821513,41.846898,"[0.7844741729882104, -3.0363646801919693, -0.0588482210409463]","[1851644.168708315, -2818428.1260127435, -124858.77004176978]",254424.901767,3364963.707946,393.747943,0.019742
q_019,DJI_202510311347_009_新建面状航线1,20,20,s300_x254436.063_y3364791.491,0.508548,1,ok,applicable_success,810.000000,0.428798,4.882322,0.000000,13111116.825752,34.846605,"[-0.7846377239088368, 3.0259581549891874, 0.020707922564761474]","[1857657.1241628441, -2816998.105672047, -25011.16525116498]",254492.608380,3364851.740486,391.829035,0.018234
q_020,DJI_202510311347_009_新建面状航线1,20,20,s500_x254825.317_y3364045.530,0.558993,1,ok,applicable_success,577.000000,0.339812,4.873848,0.000000,13098874.371559,64.154650,"[3.0430894806384274, 0.752274635637628, -0.01498969111156992]","[-1793149.9927961999, 2857729.0700582466, -11510.692548641478]",255014.666447,3364090.099518,390.875978,0.329619
q_021,DJI_202510311413_010_新建面状航线1,20,20,s500_x254825.317_y3364045.530,0.651319,1,ok,applicable_success,836.000000,0.498807,4.385241,0.000000,13572721.142578,32.506716,"[-3.049072318230141, -0.7205771723402679, -0.0074542430755011125]","[-1734004.7286640084, 2893973.4185095793, 22932.017801323793]",254991.214087,3364128.378946,392.705580,0.412678
q_022,DJI_202510311413_010_新建面状航线1,20,20,s500_x254825.317_y3364045.530,0.639923,1,ok,applicable_success,919.000000,0.541225,4.239423,0.000000,14676812.695273,56.391001,"[-3.040072269159556, -0.741366544138128, -0.006303962564218235]","[-1775066.6750095473, 2868917.3940670555, 36035.123501415525]",254953.201322,3364200.641414,392.783503,0.263462
q_023,DJI_202510311413_010_新建面状航线1,20,20,s700_x254925.317_y3364145.530,0.575533,1,ok,applicable_success,754.000000,0.426230,4.397431,0.000000,18463290.418789,50.113000,"[-3.0355981458501677, -0.7505698821528941, 0.01100229779267922]","[-1793086.6611890672, 2857539.474277198, 54475.508392947966]",254891.909132,3364325.959776,391.967295,0.048036
q_024,DJI_202510311413_010_新建面状航线1,20,20,s500_x254839.058_y3364654.565,0.591860,1,ok,applicable_success,903.000000,0.470803,4.155211,0.000000,17751355.319974,36.348101,"[-3.033909523583018, -0.7902197723353733, -0.008756304131759768]","[-1863755.3507403864, 2812735.1577169173, 14858.805867870831]",254752.688599,3364577.948675,392.327748,0.047693
q_025,DJI_202510311413_010_新建面状航线1,20,20,s300_x254449.835_y3365175.528,0.619376,1,ok,applicable_success,772.000000,0.420022,4.461222,0.000000,12622551.098567,42.246000,"[0.8075557925964901, -3.0350999824351033, -0.0014261697406031423]","[1893263.3192101002, -2793760.812700424, -3494.9994209946008]",254528.397234,3365229.981638,393.896528,0.169709
q_026,DJI_202510311413_010_新建面状航线1,20,20,s300_x254449.835_y3365175.528,0.505823,1,ok,applicable_success,611.000000,0.323452,5.080847,0.000000,8959255.702894,38.453723,"[-0.8118693346196377, 3.0342118542867063, 0.010871271323298074]","[1901060.409314687, -2788238.7946154075, -20958.6741486106]",254593.051394,3365104.418177,393.229703,0.008982
q_027,DJI_202510311413_010_新建面状航线1,20,20,s300_x254436.063_y3364791.491,0.558048,1,ok,applicable_success,464.000000,0.247996,5.039054,0.000000,5157661.242350,47.493342,"[-0.8198978488102228, 3.018083541934708, 0.0194968564853979]","[1922394.425749402, -2773341.08087596, -23396.455250493793]",254695.597123,3364921.763053,393.045176,0.037521
q_028,DJI_202510311413_010_新建面状航线1,20,20,s500_x254839.058_y3364654.565,0.612346,1,ok,applicable_success,742.000000,0.393634,4.649038,0.000000,20204110.116749,44.756557,"[-0.81486882689393, 3.0301798794538137, 0.013778664040155401]","[1908059.839024379, -2782809.962394914, -23384.807155076618]",254877.468505,3364566.511042,392.591117,0.004609
q_029,DJI_202510311413_010_新建面状航线1,20,20,s300_x255253.340_y3364158.631,0.464743,1,ok,applicable_success,607.000000,0.366325,4.526555,0.000000,10583620.668460,36.466865,"[-3.0224277386651712, -0.7701671289065328, -0.006995459195584948]","[-1834006.618844019, 2831077.3211000646, 67720.63586322026]",255176.729641,3364230.943954,391.057815,0.034088
