query_id,best_candidate_id,pred_valid_ratio,common_valid_ratio,ortho_iou,center_offset_m,horizontal_error_m,view_dir_angle_error_deg,dsm_valid_ratio_on_pred_grid,iou_alpha_vs_dsm_valid,alpha_outside_dsm_valid_ratio,dsm_valid_but_alpha_empty_ratio,truth_patch_area_m2,footprint_area_m2,truth_to_footprint_area_ratio,satellite_truth_patch_area_m2,satellite_truth_to_footprint_area_ratio,satellite_common_valid_ratio,satellite_ortho_iou,satellite_center_offset_m,truth_patch_is_large_context,pose_is_geometrically_plausible,pred_holes_match_water_or_low_height_regions,camera_center_inside_truth_bbox,diagnosis_primary,diagnosis_secondary,pred_crop_path,dsm_raster_path
q_001,s500_x253783.067_y3365053.442,0.629375,0.627872,0.670888,21.618894,4.147957,0.254379,0.851486,0.739150,0.000000,0.222110,287772.471,75041.687,3.834835,287772.471,3.834835,0.697370,0.701309,46.984299,true,false,false,,truth_grid_too_large,"truth_grid_large_context,pose_not_plausible,dsm_overlap_nontrivial",/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/eval_pose_validation_suite_odm_truth/ortho_alignment/pred_tiles/q_001_pred_ortho.tif,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s500_x253783.067_y3365053.442.tif
q_002,s500_x253783.067_y3364678.442,0.577387,0.577387,0.577387,16.646265,3.195677,0.218080,0.813966,0.709350,0.000000,0.236580,288204.450,75052.492,3.840038,288204.450,3.840038,0.583746,0.587813,11.539800,true,false,false,,truth_grid_too_large,"truth_grid_large_context,pose_not_plausible,dsm_overlap_nontrivial",/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/eval_pose_validation_suite_odm_truth/ortho_alignment/pred_tiles/q_002_pred_ortho.tif,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s500_x253783.067_y3364678.442.tif
q_003,s700_x253883.067_y3364778.442,0.544946,0.544946,0.544946,1.282642,7.218846,0.716714,0.808826,0.673750,0.000000,0.263880,287760.143,75037.071,3.834906,287760.143,3.834906,0.561932,0.567449,22.197949,true,true,false,,mixed_dsm_and_pose,"truth_grid_large_context,dsm_overlap_nontrivial",/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/eval_pose_validation_suite_odm_truth/ortho_alignment/pred_tiles/q_003_pred_ortho.tif,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s700_x253883.067_y3364778.442.tif
q_004,s500_x254297.293_y3364057.454,0.687335,0.687335,0.687335,8.904793,0.684276,0.300535,0.937005,0.733544,0.000000,0.249670,284592.259,75037.700,3.792657,284592.259,3.792657,0.727091,0.735062,30.992940,true,true,false,,mixed_dsm_and_pose,"truth_grid_large_context,dsm_overlap_nontrivial",/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/eval_pose_validation_suite_odm_truth/ortho_alignment/pred_tiles/q_004_pred_ortho.tif,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s500_x254297.293_y3364057.454.tif
q_005,s700_x254397.293_y3364157.454,0.683538,0.683538,0.683538,12.212283,3.690453,0.394501,0.943458,0.724504,0.000000,0.259919,285051.220,75045.702,3.798368,285051.220,3.798368,0.711476,0.717477,5.393872,true,false,false,,truth_grid_too_large,"truth_grid_large_context,pose_not_plausible,dsm_overlap_nontrivial",/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/eval_pose_validation_suite_odm_truth/ortho_alignment/pred_tiles/q_005_pred_ortho.tif,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s700_x254397.293_y3364157.454.tif
q_006,s300_x253908.067_y3365028.442,0.634048,0.634048,0.639450,7.600914,4.798881,0.440864,0.906707,0.699287,0.000000,0.272659,287768.178,75040.021,3.834863,287768.178,3.834863,0.688061,0.692374,30.708722,true,true,false,,mixed_dsm_and_pose,"truth_grid_large_context,dsm_overlap_nontrivial",/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/eval_pose_validation_suite_odm_truth/ortho_alignment/pred_tiles/q_006_pred_ortho.tif,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s300_x253908.067_y3365028.442.tif
q_007,s200_x254083.067_y3364828.442,0.592109,0.592109,0.592109,33.986425,13.752295,1.649348,0.860499,0.688100,0.000000,0.268390,287798.201,75051.295,3.834687,287798.201,3.834687,0.564452,0.572339,41.446198,true,false,false,,truth_grid_too_large,"truth_grid_large_context,pose_not_plausible,dsm_overlap_nontrivial",/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/eval_pose_validation_suite_odm_truth/ortho_alignment/pred_tiles/q_007_pred_ortho.tif,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s200_x254083.067_y3364828.442.tif
q_008,s500_x254158.067_y3364678.442,0.579085,0.579085,0.579085,29.406949,6.819378,1.120243,0.842590,0.687268,0.000000,0.263504,287386.826,75049.740,3.829285,287386.826,3.829285,0.432785,0.433667,53.936476,true,false,false,,truth_grid_too_large,"truth_grid_large_context,pose_not_plausible,dsm_overlap_nontrivial",/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/eval_pose_validation_suite_odm_truth/ortho_alignment/pred_tiles/q_008_pred_ortho.tif,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s500_x254158.067_y3364678.442.tif
q_009,s300_x254422.293_y3363957.454,0.652287,0.652287,0.652287,4.673753,3.310658,0.454442,0.895031,0.728787,0.000000,0.242744,285870.152,75029.798,3.810088,285870.152,3.810088,0.642705,0.646486,45.759023,true,true,false,,mixed_dsm_and_pose,"truth_grid_large_context,dsm_overlap_nontrivial",/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/eval_pose_validation_suite_odm_truth/ortho_alignment/pred_tiles/q_009_pred_ortho.tif,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s300_x254422.293_y3363957.454.tif
q_010,s700_x254397.293_y3364157.454,0.710757,0.710757,0.710757,10.711804,2.378817,0.169982,0.965717,0.735989,0.000000,0.254959,286112.802,75041.026,3.812752,286112.802,3.812752,0.802015,0.808995,19.605392,true,false,false,,truth_grid_too_large,"truth_grid_large_context,pose_not_plausible,dsm_overlap_nontrivial",/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/eval_pose_validation_suite_odm_truth/ortho_alignment/pred_tiles/q_010_pred_ortho.tif,/mnt/d/aiproject/imagematch/new3output/nadir_009010_dinov2_romav2_pose_odmrefresh_sattruth_2026-04-16/pose_v1_formal/dsm_cache/rasters/odm_dsm_override_s700_x254397.293_y3364157.454.tif
