query_id,rank,candidate_tile_id,score,candidate_scale_level_m,candidate_center_x,candidate_center_y,is_intersection_truth_hit
q_001,1,s300_x255992.683_y3363312.726,0.8528395891189575,300.0,255992.68346681632,3363312.725988563,0
q_001,2,s300_x253696.869_y3365187.480,0.8522045016288757,300.0,253696.86911584332,3365187.480292981,0
q_001,3,s200_x253933.067_y3364978.442,0.844883918762207,200.0,253933.06710738334,3364978.4419510043,0
q_001,4,s200_x253810.673_y3365746.519,0.8315531015396118,200.0,253810.6733898759,3365746.519046808,0
q_001,5,s200_x256017.683_y3363412.726,0.8288542032241821,200.0,256017.68346681632,3363412.725988563,0
q_001,6,s300_x253908.067_y3365028.442,0.8285549879074097,300.0,253908.06710738334,3365028.4419510043,0
q_001,7,s200_x253905.470_y3363310.367,0.8282754421234131,200.0,253905.4698876719,3363310.3665024354,0
q_001,8,s200_x255717.683_y3363262.726,0.8261275291442871,200.0,255717.68346681632,3363262.725988563,0
q_001,9,s200_x253783.067_y3364828.442,0.8257023692131042,200.0,253783.06710738334,3364828.4419510043,0
q_001,10,s200_x254188.610_y3365734.565,0.8210709095001221,200.0,254188.6099540508,3365734.565271766,0
q_001,11,s500_x253783.067_y3364678.442,0.8196208477020264,500.0,253783.06710738334,3364678.4419510043,1
q_001,12,s300_x255992.683_y3363537.726,0.8195185661315918,300.0,255992.68346681632,3363537.725988563,0
q_001,13,s300_x253908.067_y3364803.442,0.8132584095001221,300.0,253908.06710738334,3364803.4419510043,0
q_001,14,s200_x255353.340_y3364033.631,0.8110494613647461,200.0,255353.3403633765,3364033.6312788753,0
q_001,15,s500_x253783.067_y3365053.442,0.8082112073898315,500.0,253783.06710738334,3365053.4419510043,1
q_001,16,s200_x255489.632_y3363424.598,0.8072782754898071,200.0,255489.63173593904,3363424.597604262,0
q_001,17,s200_x255867.683_y3363562.726,0.8065565824508667,200.0,255867.68346681632,3363562.725988563,0
q_001,18,s700_x253883.067_y3364778.442,0.8065460920333862,700.0,253883.06710738334,3364778.4419510043,1
q_001,19,s200_x254338.610_y3365734.565,0.8058768510818481,200.0,254338.6099540508,3365734.565271766,0
q_001,20,s300_x254238.610_y3365784.565,0.8058104515075684,300.0,254238.6099540508,3365784.565271766,0
q_002,1,s300_x253908.067_y3364803.442,0.8620300889015198,300.0,253908.06710738334,3364803.4419510043,1
q_002,2,s200_x253933.067_y3364678.442,0.8545503616333008,200.0,253933.06710738334,3364678.4419510043,0
q_002,3,s200_x253933.067_y3364828.442,0.8526371121406555,200.0,253933.06710738334,3364828.4419510043,0
q_002,4,s700_x253883.067_y3364778.442,0.8187134861946106,700.0,253883.06710738334,3364778.4419510043,1
q_002,5,s500_x254158.067_y3364678.442,0.8184608221054077,500.0,254158.06710738334,3364678.4419510043,0
q_002,6,s500_x253783.067_y3364678.442,0.8172048330307007,500.0,253783.06710738334,3364678.4419510043,1
q_002,7,s200_x253933.067_y3364978.442,0.8016142249107361,200.0,253933.06710738334,3364978.4419510043,0
q_002,8,s200_x254083.067_y3364678.442,0.7941957116127014,200.0,254083.06710738334,3364678.4419510043,0
q_002,9,s200_x255867.683_y3363262.726,0.7929865121841431,200.0,255867.68346681632,3363262.725988563,0
q_002,10,s200_x253660.673_y3365746.519,0.7875410318374634,200.0,253660.6733898759,3365746.519046808,0
q_002,11,s200_x253783.067_y3364828.442,0.7863851189613342,200.0,253783.06710738334,3364828.4419510043,0
q_002,12,s200_x255717.683_y3363262.726,0.7753951549530029,200.0,255717.68346681632,3363262.725988563,0
q_002,13,s200_x255867.683_y3363412.726,0.7728570103645325,200.0,255867.68346681632,3363412.725988563,0
q_002,14,s200_x253796.869_y3365287.480,0.7720662355422974,200.0,253796.86911584332,3365287.480292981,0
q_002,15,s200_x253646.869_y3365287.480,0.7716391086578369,200.0,253646.86911584332,3365287.480292981,0
q_002,16,s200_x253810.673_y3365746.519,0.7692598104476929,200.0,253810.6733898759,3365746.519046808,0
q_002,17,s500_x254158.067_y3365053.442,0.7648130059242249,500.0,254158.06710738334,3365053.4419510043,0
q_002,18,s300_x253696.869_y3365412.480,0.7618997693061829,300.0,253696.86911584332,3365412.480292981,0
q_002,19,s300_x253908.067_y3365028.442,0.7602245807647705,300.0,253908.06710738334,3365028.4419510043,0
q_002,20,s300_x254922.843_y3363177.460,0.759280264377594,300.0,254922.8429101142,3363177.4603543547,0
q_003,1,s500_x254158.067_y3364678.442,0.7409858703613281,500.0,254158.06710738334,3364678.4419510043,1
q_003,2,s300_x254133.067_y3364578.442,0.7305188775062561,300.0,254133.06710738334,3364578.4419510043,0
q_003,3,s300_x253908.067_y3364578.442,0.7290068864822388,300.0,253908.06710738334,3364578.4419510043,1
q_003,4,s200_x254083.067_y3364528.442,0.7126014828681946,200.0,254083.06710738334,3364528.4419510043,0
q_003,5,s200_x253933.067_y3364528.442,0.6866905689239502,200.0,253933.06710738334,3364528.4419510043,0
q_003,6,s700_x253883.067_y3364778.442,0.6718195676803589,700.0,253883.06710738334,3364778.4419510043,1
q_003,7,s500_x253783.067_y3364678.442,0.6647610664367676,500.0,253783.06710738334,3364678.4419510043,1
q_003,8,s200_x253933.067_y3364678.442,0.6605210900306702,200.0,253933.06710738334,3364678.4419510043,1
q_003,9,s200_x254852.800_y3365113.601,0.6514307260513306,200.0,254852.80039608278,3365113.6009922293,0
q_003,10,s300_x255294.480_y3365760.735,0.6482428312301636,300.0,255294.479752744,3365760.7347813593,0
q_003,11,s200_x253660.673_y3365746.519,0.6383575797080994,200.0,253660.6733898759,3365746.519046808,0
q_003,12,s200_x255717.683_y3363562.726,0.63593989610672,200.0,255717.68346681632,3363562.725988563,0
q_003,13,s300_x253908.067_y3364803.442,0.634553074836731,300.0,253908.06710738334,3364803.4419510043,0
q_003,14,s200_x255694.480_y3366010.735,0.6324220895767212,200.0,255694.479752744,3366010.7347813593,0
