query_id,flight_id,image_path,truth_tile_ids,center_x,center_y
q_001,DJI_202510311347_009_新建面状航线1,/mnt/d/aiproject/imagematch/new2output/nadir_009010_dinov2_romav2_pose_2026-04-10/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135226_0007_V.JPG,s300_x253605.070_y3364815.419|s500_x253630.070_y3364690.419|s500_x253630.070_y3365065.419|s700_x253355.070_y3364790.419|s700_x253880.070_y3364790.419|s200_x253783.067_y3364978.442|s300_x253683.067_y3364803.442|s300_x253683.067_y3365028.442|s500_x253783.067_y3364678.442|s500_x253783.067_y3365053.442|s700_x253883.067_y3364778.442|s700_x253883.067_y3365303.442|s700_x253866.241_y3364706.380|s700_x253869.267_y3364694.404,253726.527,3364940.577
q_002,DJI_202510311347_009_新建面状航线1,/mnt/d/aiproject/imagematch/new2output/nadir_009010_dinov2_romav2_pose_2026-04-10/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135240_0013_V.JPG,s500_x253630.070_y3364690.419|s700_x253880.070_y3364790.419|s200_x253783.067_y3364678.442|s300_x253683.067_y3364803.442|s300_x253908.067_y3364803.442|s500_x253783.067_y3364678.442|s700_x253883.067_y3364778.442|s700_x253866.241_y3364706.380|s700_x253869.267_y3364694.404,253823.110,3364757.406
q_003,DJI_202510311347_009_新建面状航线1,/mnt/d/aiproject/imagematch/new2output/nadir_009010_dinov2_romav2_pose_2026-04-10/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135249_0017_V.JPG,s500_x253630.070_y3364690.419|s700_x253880.070_y3364790.419|s200_x253933.067_y3364678.442|s300_x253908.067_y3364578.442|s500_x253783.067_y3364678.442|s500_x254158.067_y3364678.442|s700_x253883.067_y3364778.442|s700_x253866.241_y3364706.380|s500_x253769.267_y3364444.404|s700_x253869.267_y3364694.404,253887.642,3364635.269
q_004,DJI_202510311347_009_新建面状航线1,/mnt/d/aiproject/imagematch/new2output/nadir_009010_dinov2_romav2_pose_2026-04-10/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135518_0069_V.JPG,s500_x254144.267_y3364069.404|s700_x254394.267_y3364169.404|s200_x254297.293_y3364057.454|s300_x254197.293_y3363957.454|s300_x254422.293_y3363957.454|s500_x254297.293_y3364057.454|s700_x254397.293_y3364157.454|s500_x254130.470_y3363835.367|s700_x254380.470_y3364085.367|s500_x254283.525_y3363823.418|s700_x254383.525_y3364073.418,254340.458,3364003.005
q_005,DJI_202510311347_009_新建面状航线1,/mnt/d/aiproject/imagematch/new2output/nadir_009010_dinov2_romav2_pose_2026-04-10/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135527_0073_V.JPG,s500_x254144.267_y3364069.404|s700_x254394.267_y3364169.404|s200_x254297.293_y3364057.454|s200_x254297.293_y3364207.454|s300_x254197.293_y3364182.454|s300_x254422.293_y3364182.454|s500_x254297.293_y3364057.454|s700_x254397.293_y3364157.454|s700_x254380.470_y3364085.367|s700_x254383.525_y3364073.418,254276.046,3364125.204
q_006,DJI_202510311347_009_新建面状航线1,/mnt/d/aiproject/imagematch/new2output/nadir_009010_dinov2_romav2_pose_2026-04-10/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135751_0123_V.JPG,s700_x253880.070_y3364790.419|s700_x253880.070_y3365315.419|s200_x253933.067_y3364978.442|s300_x253908.067_y3365028.442|s500_x253783.067_y3365053.442|s500_x254158.067_y3365053.442|s700_x253883.067_y3364778.442|s700_x253883.067_y3365303.442|s700_x253866.241_y3364706.380|s700_x253869.267_y3364694.404,253926.531,3365014.163
q_007,DJI_202510311347_009_新建面状航线1,/mnt/d/aiproject/imagematch/new2output/nadir_009010_dinov2_romav2_pose_2026-04-10/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135805_0129_V.JPG,s700_x253880.070_y3364790.419|s200_x253933.067_y3364828.442|s200_x254083.067_y3364828.442|s300_x253908.067_y3364803.442|s300_x254133.067_y3364803.442|s500_x253783.067_y3364678.442|s500_x254158.067_y3364678.442|s500_x254158.067_y3365053.442|s700_x253883.067_y3364778.442|s700_x253866.241_y3364706.380|s700_x253869.267_y3364694.404|s700_x254394.267_y3364694.404|s700_x254397.293_y3364682.454,254023.072,3364831.251
q_008,DJI_202510311347_009_新建面状航线1,/mnt/d/aiproject/imagematch/new2output/nadir_009010_dinov2_romav2_pose_2026-04-10/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135815_0134_V.JPG,s700_x253880.070_y3364790.419|s200_x254083.067_y3364678.442|s300_x254133.067_y3364578.442|s300_x254133.067_y3364803.442|s500_x254158.067_y3364678.442|s700_x253883.067_y3364778.442|s700_x254408.067_y3364778.442|s200_x254161.063_y3364666.491|s300_x254211.063_y3364791.491|s500_x254311.063_y3364666.491|s700_x254411.063_y3364766.491|s700_x253866.241_y3364706.380|s500_x254144.267_y3364444.404|s700_x253869.267_y3364694.404|s700_x254394.267_y3364694.404|s700_x254397.293_y3364682.454,254090.672,3364703.332
q_009,DJI_202510311347_009_新建面状航线1,/mnt/d/aiproject/imagematch/new2output/nadir_009010_dinov2_romav2_pose_2026-04-10/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031140038_0183_V.JPG,s700_x254394.267_y3364169.404|s200_x254597.293_y3364057.454|s300_x254422.293_y3363957.454|s300_x254647.293_y3363957.454|s500_x254297.293_y3364057.454|s500_x254672.293_y3364057.454|s700_x254397.293_y3364157.454|s700_x254922.293_y3364157.454|s200_x254675.317_y3364045.530|s500_x254825.317_y3364045.530|s700_x254925.317_y3364145.530|s700_x254380.470_y3364085.367|s500_x254658.525_y3363823.418|s700_x254383.525_y3364073.418|s700_x254908.525_y3364073.418|s700_x254911.579_y3364061.495,254574.257,3364012.895
q_010,DJI_202510311347_009_新建面状航线1,/mnt/d/aiproject/imagematch/new2output/nadir_009010_dinov2_romav2_pose_2026-04-10/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031140057_0191_V.JPG,s700_x254394.267_y3364169.404|s200_x254447.293_y3364207.454|s300_x254422.293_y3364182.454|s300_x254422.293_y3364407.454|s500_x254297.293_y3364057.454|s500_x254297.293_y3364432.454|s500_x254672.293_y3364432.454|s700_x254397.293_y3364157.454|s700_x254380.470_y3364085.367|s700_x254383.525_y3364073.418,254445.044,3364257.745
q_011,DJI_202510311347_009_新建面状航线1,/mnt/d/aiproject/imagematch/new2output/nadir_009010_dinov2_romav2_pose_2026-04-10/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031140135_0215_V.JPG,s700_x253880.070_y3364790.419|s300_x254133.067_y3364803.442|s500_x254158.067_y3364678.442|s700_x253883.067_y3364778.442|s700_x254408.067_y3364778.442|s200_x254161.063_y3364816.491|s300_x254211.063_y3364791.491|s500_x254311.063_y3364666.491|s700_x254411.063_y3364766.491|s700_x253866.241_y3364706.380|s700_x253869.267_y3364694.404|s700_x254394.267_y3364694.404|s700_x254397.293_y3364682.454,254178.654,3364762.542
