query_id,flight_id,candidate_count,scored_candidate_count,best_candidate_id,best_score,best_score_rank,best_status,best_bucket,best_inlier_count,best_inlier_ratio,best_reproj_error,best_pose_penalty,best_coverage_bbox_area_px2,best_elevation_span_m,best_rvec,best_tvec,best_camera_center_x,best_camera_center_y,best_camera_center_z,score_gap_to_second
q_001,DJI_202510311347_009_新建面状航线1,20,20,s500_x253783.067_y3365053.442,0.498721,1,ok,applicable_success,685.000000,0.342500,4.758556,0.000000,15790396.749703,14.756849,"[0.7577189291561401, -3.043251638048954, -0.006876511654847684]","[1801853.9884627787, -2853089.33771364, -19390.498024981276]",253722.262441,3364936.464118,402.639939,0.006602
q_002,DJI_202510311347_009_新建面状航线1,20,20,s500_x253783.067_y3364678.442,0.538818,1,ok,applicable_success,503.000000,0.251500,4.988254,0.000000,19010427.722777,23.895640,"[0.7727617332790788, -3.0284165427037926, -0.015168177729428696]","[1834550.907193459, -2831625.3762863283, -47978.39787681641]",253815.026224,3364752.441835,408.659713,0.049528
q_003,DJI_202510311347_009_新建面状航线1,20,20,s500_x253783.067_y3364678.442,0.447574,1,ok,applicable_success,382.000000,0.191000,4.799032,0.000000,19854476.720245,22.341423,"[-0.7685706970831322, 3.020567676878779, 0.011839635544643465]","[1831104.180626336, -2834128.691186814, 2740.7634681969084]",253894.962586,3364635.590018,405.781553,0.026066
q_004,DJI_202510311347_009_新建面状航线1,20,20,s500_x254297.293_y3364057.454,0.558829,1,ok,applicable_success,837.000000,0.418500,4.540693,0.000000,19979246.317202,16.709897,"[-3.0328077541409115, -0.765679229210834, -0.026639606645164918]","[-1820839.8128189894, 2839908.268747095, 25403.947559511525]",254340.629556,3363999.500476,405.405816,0.008931
q_005,DJI_202510311347_009_新建面状航线1,20,20,s500_x254297.293_y3364057.454,0.559258,1,ok,applicable_success,831.000000,0.415500,4.653940,0.000000,20639952.676386,16.866459,"[-3.0199862078182202, -0.7789190267243556, -0.019398595186088597]","[-1849864.020948289, 2820722.185209717, 59431.87894373478]",254274.935387,3364126.451784,404.978467,0.056759
q_006,DJI_202510311347_009_新建面状航线1,20,20,s700_x253883.067_y3364778.442,0.411683,1,ok,applicable_success,378.000000,0.189000,4.756657,0.000000,10519536.165064,15.656586,"[-0.8168317441173413, 3.0004625916661154, -0.019847498134576945]","[1923310.2642823406, -2771787.4486576286, 76956.1893262689]",253932.128725,3365021.337194,403.153712,0.014229
q_007,DJI_202510311347_009_新建面状航线1,20,20,s200_x254083.067_y3364828.442,0.638450,1,ok,applicable_success,1278.000000,0.639000,4.333373,0.000000,3432511.589779,17.715767,"[-0.8338168633483509, 3.023905864631268, 0.0052151637548121365]","[1942657.3758582731, -2759107.4041012134, -4652.125815327587]",254021.798441,3364830.716339,407.326482,0.162104
q_008,DJI_202510311347_009_新建面状航线1,20,20,s500_x254158.067_y3364678.442,0.489395,1,ok,applicable_success,476.000000,0.238000,4.690646,0.000000,13571823.599694,23.478456,"[-0.8285610347516444, 3.017337759081767, 0.03111613492975529]","[1936943.678526329, -2762540.8000586797, -48689.47180084012]",254093.218066,3364697.553291,402.298649,0.100000
q_009,DJI_202510311347_009_新建面状航线1,20,20,s300_x254422.293_y3363957.454,0.575234,1,ok,applicable_success,671.000000,0.335500,4.850398,0.000000,10783795.653878,12.574836,"[3.046199985779265, 0.764405037508324, 0.025203085050766637]","[-1812556.5793898525, 2845276.350143426, -19408.508537058427]",254573.922865,3364004.682874,404.692395,0.094758
q_010,DJI_202510311347_009_新建面状航线1,20,20,s200_x254447.293_y3364207.454,0.493224,1,ok,applicable_success,936.000000,0.468000,3.762124,0.000000,5887481.223752,8.305426,"[3.0380509775560416, 0.7735975864647758, -0.005137614715663498]","[-1832467.597837376, 2832784.8885744517, -17149.270966709446]",254451.021017,3364246.771580,396.697872,0.030640
q_011,DJI_202510311347_009_新建面状航线1,20,20,s500_x254311.063_y3364666.491,0.512007,1,ok,applicable_success,833.000000,0.416500,4.475707,0.000000,17030463.034411,16.733955,"[-3.0180579755102914, -0.7913925347272907, -0.020343252280185707]","[-1872750.2087484708, 2806433.6732686292, 54444.90864695963]",254174.970490,3364761.875006,404.705737,0.025221
q_012,DJI_202510311347_009_新建面状航线1,20,20,s200_x254161.063_y3364966.491,0.610707,1,ok,applicable_success,836.000000,0.418000,4.462913,0.000000,4361393.189074,14.982312,"[0.7918039568151793, -2.978332118348121, -0.09808785462091671]","[1882000.952333481, -2788325.3023740365, -266663.6362048517]",254139.994357,3364997.439355,409.536516,0.013926
q_013,DJI_202510311347_009_新建面状航线1,20,20,s700_x254411.063_y3364766.491,0.538103,1,ok,applicable_success,721.000000,0.360500,4.718716,0.000000,20599447.580360,19.910253,"[-0.8153230484481956, 3.025356667873081, -0.0031807208784266263]","[1910578.1607281426, -2781411.927732579, 16167.444801701777]",254254.796373,3364844.266960,404.826609,0.034526
q_014,DJI_202510311347_009_新建面状航线1,20,20,s300_x254422.293_y3364407.454,0.565885,1,ok,applicable_success,729.000000,0.364500,3.799373,0.000000,7660298.775016,13.541097,"[0.8247074797189777, -3.0163181524444287, -0.07330111253130472]","[1928767.5414095738, -2763437.2893331274, -164026.89922924485]",254498.896253,3364352.070756,400.434306,0.065122
q_015,DJI_202510311347_009_新建面状航线1,20,20,s500_x254825.317_y3364045.530,0.572815,1,ok,applicable_success,624.000000,0.312000,4.578463,0.000000,17860911.222136,12.406858,"[-3.035836141907608, -0.7770683628716486, -0.01291522333519645]","[-1839772.2638990418, 2827810.8701612744, 16602.294602088128]",254806.970144,3364019.200257,406.041001,0.167166
q_016,DJI_202510311347_009_新建面状航线1,20,20,s200_x254675.317_y3364345.530,0.601603,1,ok,applicable_success,1125.000000,0.562500,4.385527,0.000000,4090727.028246,6.894371,"[-2.983040256283986, -0.7735414161088146, -0.06168111933314302]","[-1859187.5577572656, 2811648.8699781145, 145876.6311897647]",254663.755353,3364279.111414,408.298848,0.064541
q_017,DJI_202510311347_009_新建面状航线1,20,20,s200_x254324.835_y3365125.528,0.585002,1,ok,applicable_success,876.000000,0.438000,4.642623,0.000000,6233032.667006,8.870697,"[-0.7855104388486078, 3.0275577629560755, 0.05837546633079919]","[1858496.175083585, -2814963.4022601917, -104291.46313253506]",254333.762818,3365147.525551,408.065338,0.081814
