query_id,flight_id,k,cumulative_truth_hits,total_truth_count,cumulative_truth_ratio
q_001,DJI_202510311347_009_新建面状航线1,1,0,14,0.0
q_001,DJI_202510311347_009_新建面状航线1,2,0,14,0.0
q_001,DJI_202510311347_009_新建面状航线1,3,0,14,0.0
q_001,DJI_202510311347_009_新建面状航线1,4,0,14,0.0
q_001,DJI_202510311347_009_新建面状航线1,5,0,14,0.0
q_001,DJI_202510311347_009_新建面状航线1,6,0,14,0.0
q_001,DJI_202510311347_009_新建面状航线1,7,0,14,0.0
q_001,DJI_202510311347_009_新建面状航线1,8,0,14,0.0
q_001,DJI_202510311347_009_新建面状航线1,9,0,14,0.0
q_001,DJI_202510311347_009_新建面状航线1,10,0,14,0.0
q_001,DJI_202510311347_009_新建面状航线1,11,1,14,0.07142857142857142
q_001,DJI_202510311347_009_新建面状航线1,12,1,14,0.07142857142857142
q_001,DJI_202510311347_009_新建面状航线1,13,1,14,0.07142857142857142
q_001,DJI_202510311347_009_新建面状航线1,14,1,14,0.07142857142857142
q_001,DJI_202510311347_009_新建面状航线1,15,2,14,0.14285714285714285
q_001,DJI_202510311347_009_新建面状航线1,16,2,14,0.14285714285714285
q_001,DJI_202510311347_009_新建面状航线1,17,2,14,0.14285714285714285
q_001,DJI_202510311347_009_新建面状航线1,18,3,14,0.21428571428571427
q_001,DJI_202510311347_009_新建面状航线1,19,3,14,0.21428571428571427
q_001,DJI_202510311347_009_新建面状航线1,20,3,14,0.21428571428571427
q_002,DJI_202510311347_009_新建面状航线1,1,1,9,0.1111111111111111
q_002,DJI_202510311347_009_新建面状航线1,2,1,9,0.1111111111111111
q_002,DJI_202510311347_009_新建面状航线1,3,1,9,0.1111111111111111
q_002,DJI_202510311347_009_新建面状航线1,4,2,9,0.2222222222222222
q_002,DJI_202510311347_009_新建面状航线1,5,2,9,0.2222222222222222
q_002,DJI_202510311347_009_新建面状航线1,6,3,9,0.3333333333333333
q_002,DJI_202510311347_009_新建面状航线1,7,3,9,0.3333333333333333
q_002,DJI_202510311347_009_新建面状航线1,8,3,9,0.3333333333333333
q_002,DJI_202510311347_009_新建面状航线1,9,3,9,0.3333333333333333
q_002,DJI_202510311347_009_新建面状航线1,10,3,9,0.3333333333333333
q_002,DJI_202510311347_009_新建面状航线1,11,3,9,0.3333333333333333
q_002,DJI_202510311347_009_新建面状航线1,12,3,9,0.3333333333333333
q_002,DJI_202510311347_009_新建面状航线1,13,3,9,0.3333333333333333
q_002,DJI_202510311347_009_新建面状航线1,14,3,9,0.3333333333333333
q_002,DJI_202510311347_009_新建面状航线1,15,3,9,0.3333333333333333
q_002,DJI_202510311347_009_新建面状航线1,16,3,9,0.3333333333333333
q_002,DJI_202510311347_009_新建面状航线1,17,3,9,0.3333333333333333
q_002,DJI_202510311347_009_新建面状航线1,18,3,9,0.3333333333333333
q_002,DJI_202510311347_009_新建面状航线1,19,3,9,0.3333333333333333
q_002,DJI_202510311347_009_新建面状航线1,20,3,9,0.3333333333333333
q_003,DJI_202510311347_009_新建面状航线1,1,1,10,0.1
