query_id,candidate_id,candidate_tile_id,candidate_rank,candidate_score,candidate_scale_level_m,tile_size_m,center_x,center_y,image_path,source_tif,crs,min_x,min_y,max_x,max_y,geo_x0,geo_x_col,geo_x_row,geo_y0,geo_y_col,geo_y_row,affine,is_intersection_truth,is_strict_truth
q_001,cw_s200_x253783.721_y3364952.517,cw_s200_x253783.721_y3364952.517,1,1.00667799583,200.0,200.0,253783.72102534556,3364952.5166208195,new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G01_baseline_current_pipeline/candidate_library/tiles_native/cw_s200_x253783.721_y3364952.517.png,new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G01_baseline_current_pipeline/source_mosaic/caiwangcun_ortho_0p14m_epsg32650.tif,EPSG:32650,253683.72102534556,3364852.5166208195,253883.72102534556,3365052.5166208195,253683.72102534556,0.1400560224089636,0.0,3365052.5166208195,0.0,-0.1400560224089636,"[0.1400560224089636, 0.0, 253683.72102534556, 0.0, -0.1400560224089636, 3365052.5166208195]",1,1
q_001,cw_s200_x254083.721_y3364052.517,cw_s200_x254083.721_y3364052.517,2,0.360887333981,200.0,200.0,254083.72102534556,3364052.5166208195,new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G01_baseline_current_pipeline/candidate_library/tiles_native/cw_s200_x254083.721_y3364052.517.png,new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G01_baseline_current_pipeline/source_mosaic/caiwangcun_ortho_0p14m_epsg32650.tif,EPSG:32650,253983.72102534556,3363952.5166208195,254183.72102534556,3364152.5166208195,253983.72102534556,0.1400560224089636,0.0,3364152.5166208195,0.0,-0.1400560224089636,"[0.1400560224089636, 0.0, 253983.72102534556, 0.0, -0.1400560224089636, 3364152.5166208195]",0,0
q_001,cw_s200_x255133.721_y3364052.517,cw_s200_x255133.721_y3364052.517,3,0.322502992749,200.0,200.0,255133.72102534556,3364052.5166208195,new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G01_baseline_current_pipeline/candidate_library/tiles_native/cw_s200_x255133.721_y3364052.517.png,new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G01_baseline_current_pipeline/source_mosaic/caiwangcun_ortho_0p14m_epsg32650.tif,EPSG:32650,255033.72102534556,3363952.5166208195,255233.72102534556,3364152.5166208195,255033.72102534556,0.1400560224089636,0.0,3364152.5166208195,0.0,-0.1400560224089636,"[0.1400560224089636, 0.0, 255033.72102534556, 0.0, -0.1400560224089636, 3364152.5166208195]",0,0
q_001,cw_s200_x254083.721_y3365102.517,cw_s200_x254083.721_y3365102.517,4,0.693795029659,200.0,200.0,254083.72102534556,3365102.5166208195,new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G01_baseline_current_pipeline/candidate_library/tiles_native/cw_s200_x254083.721_y3365102.517.png,new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G01_baseline_current_pipeline/source_mosaic/caiwangcun_ortho_0p14m_epsg32650.tif,EPSG:32650,253983.72102534556,3365002.5166208195,254183.72102534556,3365202.5166208195,253983.72102534556,0.1400560224089636,0.0,3365202.5166208195,0.0,-0.1400560224089636,"[0.1400560224089636, 0.0, 253983.72102534556, 0.0, -0.1400560224089636, 3365202.5166208195]",0,0
q_001,cw_s200_x254983.721_y3365252.517,cw_s200_x254983.721_y3365252.517,5,0.412431316736,200.0,200.0,254983.72102534556,3365252.5166208195,new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G01_baseline_current_pipeline/candidate_library/tiles_native/cw_s200_x254983.721_y3365252.517.png,new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G01_baseline_current_pipeline/source_mosaic/caiwangcun_ortho_0p14m_epsg32650.tif,EPSG:32650,254883.72102534556,3365152.5166208195,255083.72102534556,3365352.5166208195,254883.72102534556,0.1400560224089636,0.0,3365352.5166208195,0.0,-0.1400560224089636,"[0.1400560224089636, 0.0, 254883.72102534556, 0.0, -0.1400560224089636, 3365352.5166208195]",0,0
q_001,cw_s200_x254233.721_y3364052.517,cw_s200_x254233.721_y3364052.517,6,0.464067615211,200.0,200.0,254233.72102534556,3364052.5166208195,new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G01_baseline_current_pipeline/candidate_library/tiles_native/cw_s200_x254233.721_y3364052.517.png,new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G01_baseline_current_pipeline/source_mosaic/caiwangcun_ortho_0p14m_epsg32650.tif,EPSG:32650,254133.72102534556,3363952.5166208195,254333.72102534556,3364152.5166208195,254133.72102534556,0.1400560224089636,0.0,3364152.5166208195,0.0,-0.1400560224089636,"[0.1400560224089636, 0.0, 254133.72102534556, 0.0, -0.1400560224089636, 3364152.5166208195]",0,0
q_001,cw_s200_x254683.721_y3364052.517,cw_s200_x254683.721_y3364052.517,7,0.513823888556,200.0,200.0,254683.72102534556,3364052.5166208195,new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G01_baseline_current_pipeline/candidate_library/tiles_native/cw_s200_x254683.721_y3364052.517.png,new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G01_baseline_current_pipeline/source_mosaic/caiwangcun_ortho_0p14m_epsg32650.tif,EPSG:32650,254583.72102534556,3363952.5166208195,254783.72102534556,3364152.5166208195,254583.72102534556,0.1400560224089636,0.0,3364152.5166208195,0.0,-0.1400560224089636,"[0.1400560224089636, 0.0, 254583.72102534556, 0.0, -0.1400560224089636, 3364152.5166208195]",0,0
q_001,cw_s200_x255133.721_y3364202.517,cw_s200_x255133.721_y3364202.517,8,0.495346461549,200.0,200.0,255133.72102534556,3364202.5166208195,new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G01_baseline_current_pipeline/candidate_library/tiles_native/cw_s200_x255133.721_y3364202.517.png,new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G01_baseline_current_pipeline/source_mosaic/caiwangcun_ortho_0p14m_epsg32650.tif,EPSG:32650,255033.72102534556,3364102.5166208195,255233.72102534556,3364302.5166208195,255033.72102534556,0.1400560224089636,0.0,3364302.5166208195,0.0,-0.1400560224089636,"[0.1400560224089636, 0.0, 255033.72102534556, 0.0, -0.1400560224089636, 3364302.5166208195]",0,0
q_001,cw_s300_x255108.721_y3364327.517,cw_s300_x255108.721_y3364327.517,9,0.604338587222,300.0,300.0,255108.72102534556,3364327.5166208195,new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G01_baseline_current_pipeline/candidate_library/tiles_native/cw_s300_x255108.721_y3364327.517.png,new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G01_baseline_current_pipeline/source_mosaic/caiwangcun_ortho_0p14m_epsg32650.tif,EPSG:32650,254958.72102534556,3364177.5166208195,255258.72102534556,3364477.5166208195,254958.72102534556,0.1400560224089636,0.0,3364477.5166208195,0.0,-0.1400560224089636,"[0.1400560224089636, 0.0, 254958.72102534556, 0.0, -0.1400560224089636, 3364477.5166208195]",0,0
q_001,cw_s300_x254883.721_y3364327.517,cw_s300_x254883.721_y3364327.517,10,0.230489079634,300.0,300.0,254883.72102534556,3364327.5166208195,new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G01_baseline_current_pipeline/candidate_library/tiles_native/cw_s300_x254883.721_y3364327.517.png,new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G01_baseline_current_pipeline/source_mosaic/caiwangcun_ortho_0p14m_epsg32650.tif,EPSG:32650,254733.72102534556,3364177.5166208195,255033.72102534556,3364477.5166208195,254733.72102534556,0.1400560224089636,0.0,3364477.5166208195,0.0,-0.1400560224089636,"[0.1400560224089636, 0.0, 254733.72102534556, 0.0, -0.1400560224089636, 3364477.5166208195]",0,0
