query_id,candidate_id,status,status_detail,bucket,candidate_rank,total_correspondences,valid_correspondences,ok_ratio,nodata_ratio,inlier_count,inlier_ratio,coverage_bbox_area_px2,coverage_score,inlier_count_norm,elevation_span_m,elevation_span_norm,reproj_error_m,reproj_error_norm,pose_penalty,rvec,tvec,camera_center_x,camera_center_y,camera_center_z,sample_status_breakdown,score,score_rank_within_query
q_001,cw_s200_x253783.721_y3364952.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,4901.000000,0.980200,6873610.880766,0.566414,1.000000,19.720252,0.386601,1.464220,0.000000,0.000000,"[-0.7560830985320276, 3.0381356123109415, 0.008560874081374565]","[1801305.0021715192, -2853501.297433189, -5718.245422752662]",253728.087915,3364940.410669,392.023940,"{""ok"": 5000}",0.674324,1
q_001,cw_s300_x254883.721_y3365002.517,ok,,applicable_success,,5000,4996,0.999200,0.000000,25.000000,0.005004,12135321.542988,1.000000,0.005101,51.009261,1.000000,4.473791,0.772261,0.000000,"[-0.9994787918557501, -0.8192620717409905, -0.3479947326676241]","[-2203406.9362457474, -1770752.429579819, 1843488.8918256194]",254652.380286,3365140.376364,-20.538569,"{""ok"": 4996, ""unstable_local_height"": 4}",0.275295,2
q_001,cw_s300_x255108.721_y3365002.517,ok,,applicable_success,,5000,4999,0.999800,0.000000,23.000000,0.004601,54096.467332,0.004458,0.004693,43.694471,0.856599,4.601530,0.805039,0.000000,"[-0.1458995386573026, -2.9613680305681847, 0.5676949735257428]","[12624.877024161993, -3142738.8848205293, 1232084.8872560144]",256017.354127,3365925.417834,1204.597340,"{""ok"": 4999, ""unstable_local_height"": 1}",0.008589,3
q_001,cw_s200_x254833.721_y3364052.517,ok,,applicable_success,,5000,4998,0.999600,0.000200,6.000000,0.001200,339576.507011,0.027982,0.001224,47.464402,0.930506,5.332963,0.992725,0.000000,"[0.5619666229270112, 2.07206045990551, 0.10463164830507042]","[-1061633.1928552708, -3105929.918032771, -779275.7859930024]",255547.130648,3363901.322304,-18.870365,"{""ok"": 4998, ""unstable_local_height"": 1, ""nodata"": 1}",0.001378,4
q_001,cw_s200_x254233.721_y3364652.517,ok,,applicable_success,,5000,4998,0.999600,0.000000,48.000000,0.009604,165125.262317,0.013607,0.009794,40.763213,0.799134,4.959782,0.896967,0.000000,"[-0.8699831760968505, -2.404400770640008, 0.2897255292241131]","[-1594331.8433583532, -2740786.0791121023, 1154852.7823082923]",253903.295163,3364969.598334,161.240255,"{""ok"": 4998, ""unstable_local_height"": 2}",-0.001542,5
q_001,cw_s200_x254983.721_y3364352.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,40.000000,0.008000,267716.666110,0.022061,0.008162,41.623207,0.815993,5.349395,0.996942,0.000000,"[1.056642142035274, -0.3831500572886804, -2.231397587332082]","[-1286938.8415325952, 2716167.725944186, -1532603.224639789]",255200.782473,3364152.776272,-2.654705,"{""ok"": 5000}",-0.008547,6
q_001,cw_s200_x255133.721_y3364052.517,ok,,applicable_success,,5000,4998,0.999600,0.000400,30.000000,0.006002,445402.446921,0.036703,0.006121,27.715351,0.543340,4.433918,0.762029,0.000000,"[1.214578994294116, -0.7038545259761807, -1.185605168415433]","[-1091178.5470600233, 503109.06168682856, -3152415.4672959037]",255006.469158,3363998.265070,35.454646,"{""ok"": 4998, ""nodata"": 2}",-0.009668,7
q_001,cw_s200_x254683.721_y3364052.517,ok,,applicable_success,,5000,4997,0.999400,0.000000,41.000000,0.008205,69227.912424,0.005705,0.008366,41.918412,0.821780,5.361313,1.000000,0.000000,"[0.13085562509018606, 1.5911555097123606, -2.6031315589788835]","[-148982.53029656518, 1535890.3629706793, 3000695.903602916]",254603.939927,3364596.222533,19.661246,"{""ok"": 4997, ""unstable_local_height"": 3}",-0.012261,8
q_001,cw_s300_x255108.721_y3364327.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,18.000000,0.003600,79419.546136,0.006544,0.003673,16.818284,0.329710,3.469364,0.514523,0.000000,"[1.9733042584563667, 0.9477576819236403, -0.4824038539314694]","[-2759959.30358753, 1005071.5794992753, -1660356.5918933463]",255472.242587,3364381.396186,62.312146,"{""ok"": 5000}",-0.015031,9
q_001,cw_s300_x254658.721_y3364102.517,ok,,applicable_success,,5000,4999,0.999800,0.000000,14.000000,0.002801,39823.781103,0.003282,0.002857,39.589245,0.776119,5.195861,0.957545,0.000000,"[1.5983482367575894, 1.7172778684467187, -0.3539361271103129]","[-3184157.9800416837, -798680.840594711, -779339.418666502]",255021.336033,3364385.102732,234.877752,"{""ok"": 4999, ""unstable_local_height"": 1}",-0.015911,10
q_001,cw_s300_x254208.721_y3364102.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,9.000000,0.001800,26116.072691,0.002152,0.001836,21.355664,0.418662,3.943205,0.636111,0.000000,"[-0.11871491099370379, 2.5669242314742453, -0.8146149452519337]","[58355.107955535175, -2713566.736454601, 2003664.3257328502]",254438.892354,3364042.378137,458.461638,"{""ok"": 5000}",-0.020300,11
q_001,cw_s200_x255133.721_y3364202.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,111.000000,0.022200,274745.337940,0.022640,0.022648,29.027488,0.569063,5.317352,0.988720,0.000000,"[2.3056798115633077, 0.36258044606342216, -0.3866574665158994]","[-1479177.694484211, 2229997.1918976125, -2054285.6290816108]",255021.770102,3363912.522926,91.955877,"{""ok"": 5000}",-0.025116,12
q_001,cw_s200_x254233.721_y3364052.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,33.000000,0.006600,544.775548,0.000045,0.006733,17.938318,0.351668,4.264862,0.718649,0.000000,"[1.8792105835136614, 0.4831286588411655, -0.9318669004860739]","[-2397598.960682103, 1599793.8073755482, -1749293.3916115316]",254641.557322,3361994.347500,238.698453,"{""ok"": 5000}",-0.033360,13
q_001,cw_s200_x254083.721_y3365102.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,150.000000,0.030000,150777.575236,0.012425,0.030606,15.440179,0.302694,4.838039,0.865727,0.000000,"[-0.10753447618744828, 1.164871447370762, -0.3471164386326674]","[-802011.8549543336, -3087251.915112077, 1102461.2821061164]",254469.102805,3365265.775274,137.408483,"{""ok"": 5000}",-0.038076,14
q_001,cw_s200_x254983.721_y3365252.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,72.000000,0.014400,74212.441928,0.006115,0.014691,18.860821,0.369753,4.817824,0.860540,0.000000,"[2.7120994152934026, -0.9061928857336358, -1.2870297323529736]","[1546928.3115126586, 2930796.0802754154, -633500.1313740442]",255951.600760,3364277.630647,289.075250,"{""ok"": 5000}",-0.040292,15
q_001,cw_s200_x254083.721_y3364052.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,162.000000,0.032400,34251.085090,0.002822,0.033054,12.514908,0.245346,4.745043,0.841864,0.000000,"[-1.698049983132626, 1.4864688885544008, 0.9681525920741267]","[3318636.548587451, 542294.9468787239, 270345.5355849573]",254949.110850,3363854.932967,21.760287,"{""ok"": 5000}",-0.042615,16
q_001,cw_s300_x254883.721_y3364102.517,ok,,applicable_success,,5000,4999,0.999800,0.000200,9.000000,0.001800,1238.749902,0.000102,0.001836,16.249137,0.318553,4.745735,0.842042,0.000000,"[0.3279547625512748, 2.5312457419458316, 1.7348478287489997]","[-233288.7467089828, -1215463.0508066025, -3137193.8980119596]",253881.962114,3362930.800644,18.319486,"{""ok"": 4999, ""nodata"": 1}",-0.051416,17
q_001,cw_s300_x254883.721_y3364327.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,11.000000,0.002200,6175.213636,0.000509,0.002244,13.520904,0.265068,5.325907,0.990915,0.000000,"[0.5789443457720441, -0.7477061426940427, -0.4375392081664026]","[-722703.9013067626, -2412986.4577773567, -2244717.588988906]",254895.956584,3364311.174644,13.387236,"{""ok"": 5000}",-0.071349,18
q_001,cw_s300_x255108.721_y3364102.517,ok,,applicable_success,,5000,4999,0.999800,0.000200,27.000000,0.005401,2682.642092,0.000221,0.005509,21.553340,0.422538,4.761586,0.846109,1.000000,"[2.319476422395702, -0.3825690082807467, -1.5272711572672903]","[30692.416160488297, 3153542.7716026367, -1196755.4976938425]",256011.280806,3363399.457529,-266.819918,"{""ok"": 4999, ""nodata"": 1}",-0.089580,19
q_001,cw_s200_x254833.721_y3364202.517,pnp_failed,solvePnPRansac did not converge,applicable_failure,,5000,4999,0.999800,0.000000,0.000000,0.000000,20846903.666088,0.000000,0.000000,61.011661,0.000000,0.000000,1.000000,1.000000,,,,,,"{""ok"": 4999, ""unstable_local_height"": 1}",-0.150000,20
q_002,cw_s500_x254008.721_y3364877.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,3638.000000,0.727600,14731828.264472,1.000000,0.792938,78.686880,0.921844,3.356835,0.407142,0.000000,"[-0.7726184282704016, 3.0380082746336945, 0.02257808806898733]","[1830507.7690159546, -2834390.5158867235, -38370.11908043098]",253823.979153,3364754.640261,391.741446,"{""ok"": 5000}",0.678338,1
q_002,cw_s200_x253783.721_y3364802.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,4588.000000,0.917600,6837343.635917,0.464121,1.000000,30.116266,0.352823,1.817739,0.000000,0.000000,"[-0.7699320334057472, 3.039774657674412, 0.0015177136059425244]","[1824942.6331265413, -2838240.0268884106, 3542.5166054515644]",253822.107687,3364759.842514,392.063123,"{""ok"": 5000}",0.626592,2
q_002,cw_s300_x253983.721_y3364777.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,3710.000000,0.742000,10369458.553565,0.703881,0.808631,73.565276,0.861843,2.658097,0.222302,0.000000,"[0.7718624091545284, -3.044318181903463, -0.00822635080999065]","[1826297.4086000158, -2837314.624665642, -17374.93639325148]",253820.059396,3364757.586706,390.603196,"{""ok"": 5000}",0.624251,3
q_002,cw_s500_x254008.721_y3364502.517,ok,,applicable_success,,5000,4997,0.999400,0.000200,3236.000000,0.647589,9281027.945614,0.629998,0.705318,85.358110,1.000000,2.460206,0.169954,0.000000,"[-0.771269370980859, 3.0415826150094962, 0.005998919898166402]","[1826504.10744302, -2837225.297099954, -7827.173640766876]",253821.576107,3364758.588670,391.319814,"{""ok"": 4997, ""nodata"": 1, ""unstable_local_height"": 2}",0.575845,4
q_002,cw_s200_x253933.721_y3364802.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,3851.000000,0.770200,6595173.138406,0.447682,0.839364,30.707608,0.359750,2.319372,0.132698,0.000000,"[-0.7695419267676852, 3.0392002988587947, 0.008956812324139451]","[1824549.4038936333, -2838472.0116468263, -10957.241498046107]",253822.774964,3364758.207462,391.814254,"{""ok"": 5000}",0.533558,5
q_002,cw_s300_x253983.721_y3365002.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,4190.000000,0.838000,4977711.340686,0.337888,0.913252,18.450730,0.216157,2.299231,0.127371,0.000000,"[0.7704605525607519, -3.043382377342575, -0.02459220705730118]","[1824121.912399976, -2838286.470411325, -51989.249556000024]",253820.548540,3364753.883855,389.502130,"{""ok"": 5000}",0.527401,6
