query_id,candidate_id,status,status_detail,total_correspondences,valid_correspondences,ok_ratio,nodata_ratio,inlier_count,inlier_ratio,coverage_bbox_area_px2,elevation_span_m,reproj_error_mean,reproj_error_refined_mean,pose_penalty,rvec,tvec,camera_center_x,camera_center_y,camera_center_z,sample_status_breakdown
q_001,cw_s200_x253783.721_y3364952.517,ok,,5000,5000,1.000000,0.000000,4888,0.977600,6915589.856089,19.764881,2.079276,1.542495,0.000000,"[-0.7578067542280839, 3.0439497105079054, 0.0013549477389371727]","[1801760.8236344312, -2853219.1298688236, 2633.9349419284563]",253725.487311,3364941.549287,391.428031,"{""ok"": 5000}"
q_001,cw_s200_x254083.721_y3364052.517,ok,,5000,5000,1.000000,0.000000,146,0.029200,24525.209162,12.593132,369.446816,4.469944,0.000000,"[-1.7192552366099103, 1.2548765952220275, 0.8511900468409936]","[3161441.7488715197, 651056.5038885111, 981351.5458087382]",254988.687780,3364018.449342,-28.591016,"{""ok"": 5000}"
q_001,cw_s200_x254083.721_y3365102.517,ok,,5000,5000,1.000000,0.000000,162,0.032400,105393.476368,14.916574,1240.059618,4.978062,0.000000,"[0.10613479729085641, 1.3695703737299498, 0.1702515572839047]","[150138.29444150956, -3353908.7297050874, -341729.3801682568]",254404.050518,3365011.556237,222.242212,"{""ok"": 5000}"
q_001,cw_s200_x254233.721_y3364052.517,ok,,5000,5000,1.000000,0.000000,51,0.010200,122462.238786,17.917977,1622.538548,4.521743,0.000000,"[1.546552927371483, 2.403976176699432, -0.17559943894134106]","[-2948585.315316725, -1636566.3835442022, -82963.06229300669]",254499.931878,3363720.770903,345.283219,"{""ok"": 5000}"
q_001,cw_s200_x254233.721_y3364652.517,ok,,5000,4999,0.999800,0.000200,42,0.008402,181072.027154,42.045722,582.955425,4.692178,0.000000,"[-0.6887537641383196, -2.263747528912804, 0.20747051655319984]","[-1249776.430439588, -2970068.632609859, 1001865.170649412]",253902.388524,3364894.678744,81.972311,"{""ok"": 4999, ""nodata"": 1}"
q_001,cw_s200_x254683.721_y3364052.517,ok,,5000,4995,0.999000,0.000200,23,0.004605,94464.943412,56.272993,1798.743345,4.031056,0.000000,"[0.10814371987785387, -1.925494495786793, 2.292402052274096]","[780681.1172593773, 547121.0334827319, 3236411.5817758767]",254534.933710,3364279.464057,118.418204,"{""ok"": 4995, ""unstable_local_height"": 4, ""nodata"": 1}"
q_001,cw_s200_x254833.721_y3364052.517,ok,,5000,4998,0.999600,0.000000,13,0.002601,54.858364,65.027604,2366.835245,4.001686,0.000000,"[-0.11975478433415311, -0.9257045229387363, 0.6076197408796664]","[1364989.8601862926, -2920512.6576537536, 995324.3152145108]",254691.314941,3364282.141541,-24.216310,"{""ok"": 4998, ""unstable_local_height"": 2}"
q_001,cw_s200_x254833.721_y3364202.517,pnp_failed,solvePnPRansac did not converge,5000,4999,0.999800,0.000000,0,0.0,20846903.66608781,60.580875999999996,,,1.0,,,,,,"{""ok"": 4999, ""unstable_local_height"": 1}"
q_001,cw_s200_x254983.721_y3364352.517,ok,,5000,5000,1.000000,0.000000,40,0.008000,186569.426478,14.388920,675.376172,4.820629,0.000000,"[-1.878928392227092, 1.710001544311191, -0.8619534332192381]","[2361519.631781854, 676150.0406144282, 2313902.426411071]",254764.171319,3364995.318917,91.356717,"{""ok"": 5000}"
q_001,cw_s200_x254983.721_y3365252.517,ok,,5000,5000,1.000000,0.000000,70,0.014000,13128.848051,18.372489,921.013759,5.188799,0.000000,"[2.4652375686909096, -0.6934556704477897, -1.155093467924336]","[824894.3727316259, 2923544.7589172064, -1467833.8267805649]",256015.970572,3364009.014228,40.026872,"{""ok"": 5000}"
q_001,cw_s200_x255133.721_y3364052.517,ok,,5000,5000,1.000000,0.000000,23,0.004600,91875.630411,21.525975,1292.841940,3.850487,0.000000,"[-2.3218619866196115, 1.0241147869090412, -1.1685880132276678]","[1407020.0225805948, 2472681.3389160093, 1813716.4356179994]",254680.788709,3364307.261858,16.348060,"{""ok"": 5000}"
q_001,cw_s200_x255133.721_y3364202.517,ok,,5000,4999,0.999800,0.000000,117,0.023405,159556.009584,12.031378,342.868701,5.092439,0.000000,"[-1.585611969725875, 0.7607240633159634, 0.24292132949891895]","[1806844.7142264259, 23384.04559428601, 2849350.6194028733]",255033.461796,3364370.893768,98.683611,"{""ok"": 4999, ""unstable_local_height"": 1}"
q_001,cw_s300_x254208.721_y3364102.517,ok,,5000,5000,1.000000,0.000000,12,0.002400,670747.720356,21.084327,4755.583361,4.424238,0.000000,"[-0.17629279203404274, -1.8575056430126116, 1.2134425261320656]","[1249010.7926095983, -1857973.0814975742, 2523779.778448087]",254069.295980,3364075.665864,94.380345,"{""ok"": 5000}"
q_001,cw_s300_x254658.721_y3364102.517,ok,,5000,4997,0.999400,0.000600,9,0.001801,17993138.253152,29.353662,1596611511.427515,2.845845,0.000000,"[-0.6704146839803743, -1.9914660552918466, 1.803172044313993]","[-125341.90772322024, -373812.6164937743, 3350593.4709721697]",254692.443423,3364083.059686,24.458873,"{""ok"": 4997, ""nodata"": 3}"
q_001,cw_s300_x254883.721_y3364102.517,ok,,5000,5000,1.000000,0.000000,16,0.003200,4137.121546,16.301793,2322.494332,5.543750,0.000000,"[2.016914001466069, 0.7482503755002354, -1.5336735841228972]","[-2360439.1179772806, 2416315.7496687304, 60073.685184995375]",260429.773804,3368388.276682,479.428179,"{""ok"": 5000}"
q_001,cw_s300_x254883.721_y3364327.517,ok,,5000,5000,1.000000,0.000000,16,0.003200,10353.186000,13.582981,2309307840795.959473,4.854794,0.000000,"[-0.9989734034390103, -0.6527087729069956, 2.0416440792817894]","[1468040.3867189356, 1755052.9907569722, 2479763.7095678984]",255003.900347,3364454.583333,13.727487,"{""ok"": 5000}"
q_001,cw_s300_x254883.721_y3365002.517,ok,,5000,4998,0.999600,0.000000,17,0.003401,4658.230074,50.873922,166465953475.692383,4.678051,0.000000,"[0.05869367772061286, 1.7876642531766556, -1.201659145793961]","[-1543348.9779691799, -1628063.2756482926, 2521237.0579420035]",254864.940582,3365144.315079,20.174466,"{""ok"": 4998, ""unstable_local_height"": 2}"
