query_id,candidate_id,status,status_detail,bucket,candidate_rank,total_correspondences,valid_correspondences,ok_ratio,nodata_ratio,inlier_count,inlier_ratio,coverage_bbox_area_px2,coverage_score,inlier_count_norm,elevation_span_m,elevation_span_norm,reproj_error_m,reproj_error_norm,pose_penalty,rvec,tvec,camera_center_x,camera_center_y,camera_center_z,sample_status_breakdown,score,score_rank_within_query
q_001,cw_s200_x253783.721_y3364952.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,4888.000000,0.977600,6915589.856089,0.384346,1.000000,19.764881,0.303946,1.542495,0.000000,0.000000,"[-0.7578067542280839, 3.0439497105079054, 0.0013549477389371727]","[1801760.8236344312, -2853219.1298688236, 2633.9349419284563]",253725.487311,3364941.549287,391.428031,"{""ok"": 5000}",0.619761,1
q_001,cw_s300_x254658.721_y3364102.517,ok,,applicable_success,,5000,4997,0.999400,0.000600,9.000000,0.001801,17993138.253152,1.000000,0.001841,29.353662,0.451403,2.845845,0.325735,0.000000,"[-0.6704146839803743, -1.9914660552918466, 1.803172044313993]","[-125341.90772322024, -373812.6164937743, 3350593.4709721697]",254692.443423,3364083.059686,24.458873,"{""ok"": 4997, ""nodata"": 3}",0.263475,2
q_001,cw_s200_x254833.721_y3364052.517,ok,,applicable_success,,5000,4998,0.999600,0.000000,13.000000,0.002601,54.858364,0.000003,0.002660,65.027604,1.000000,4.001686,0.614605,0.000000,"[-0.11975478433415311, -0.9257045229387363, 0.6076197408796664]","[1364989.8601862926, -2920512.6576537536, 995324.3152145108]",254691.314941,3364282.141541,-24.216310,"{""ok"": 4998, ""unstable_local_height"": 2}",0.039852,3
q_001,cw_s200_x254683.721_y3364052.517,ok,,applicable_success,,5000,4995,0.999000,0.000200,23.000000,0.004605,94464.943412,0.005250,0.004705,56.272993,0.865371,4.031056,0.621945,0.000000,"[0.10814371987785387, -1.925494495786793, 2.292402052274096]","[780681.1172593773, 547121.0334827319, 3236411.5817758767]",254534.933710,3364279.464057,118.418204,"{""ok"": 4995, ""unstable_local_height"": 4, ""nodata"": 1}",0.027978,4
q_001,cw_s300_x254883.721_y3365002.517,ok,,applicable_success,,5000,4998,0.999600,0.000000,17.000000,0.003401,4658.230074,0.000259,0.003478,50.873922,0.782343,4.678051,0.783643,0.000000,"[0.05869367772061286, 1.7876642531766556, -1.201659145793961]","[-1543348.9779691799, -1628063.2756482926, 2521237.0579420035]",254864.940582,3365144.315079,20.174466,"{""ok"": 4998, ""unstable_local_height"": 2}",0.001651,5
q_001,cw_s200_x254233.721_y3364652.517,ok,,applicable_success,,5000,4999,0.999800,0.000200,42.000000,0.008402,181072.027154,0.010063,0.008592,42.045722,0.646583,4.692178,0.787174,0.000000,"[-0.6887537641383196, -2.263747528912804, 0.20747051655319984]","[-1249776.430439588, -2970068.632609859, 1001865.170649412]",253902.388524,3364894.678744,81.972311,"{""ok"": 4999, ""nodata"": 1}",-0.007304,6
q_001,cw_s300_x255108.721_y3365002.517,ok,,applicable_success,,5000,4999,0.999800,0.000000,32.000000,0.006401,340514.454664,0.018925,0.006547,43.085478,0.662572,4.917738,0.843546,0.000000,"[-0.9609162256700235, 2.2300925545255903, -0.6289474946863267]","[1709037.5160123624, -1896371.3091464916, 2207960.052300744]",255384.225866,3365545.996412,95.178498,"{""ok"": 4999, ""unstable_local_height"": 1}",-0.010137,7
q_001,cw_s200_x255133.721_y3364052.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,23.000000,0.004600,91875.630411,0.005106,0.004705,21.525975,0.331028,3.850487,0.576817,0.000000,"[-2.3218619866196115, 1.0241147869090412, -1.1685880132276678]","[1407020.0225805948, 2472681.3389160093, 1813716.4356179994]",254680.788709,3364307.261858,16.348060,"{""ok"": 5000}",-0.020981,8
q_001,cw_s300_x254208.721_y3364102.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,12.000000,0.002400,670747.720356,0.037278,0.002455,21.084327,0.324237,4.424238,0.720210,0.000000,"[-0.17629279203404274, -1.8575056430126116, 1.2134425261320656]","[1249010.7926095983, -1857973.0814975742, 2523779.778448087]",254069.295980,3364075.665864,94.380345,"{""ok"": 5000}",-0.029067,9
q_001,cw_s200_x254083.721_y3364052.517,ok,,applicable_success,,5000,5000,1.000000,0.000000,146.000000,0.029200,24525.209162,0.001363,0.029869,12.593132,0.193658,4.469944,0.731633,0.000000,"[-1.7192552366099103, 1.2548765952220275, 0.8511900468409936]","[3161441.7488715197, 651056.5038885111, 981351.5458087382]",254988.687780,3364018.449342,-28.591016,"{""ok"": 5000}",-0.038723,10
