query_id,flight_id,image_path,truth_tile_ids,center_x,center_y
q_021,DJI_202510311413_010_新建面状航线1,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G02_pipeline_engineering_reuse_domz_parallel_sampling/query_inputs/images/DJI_202510311413_010_新建面状航线1/DJI_20251031141624_0001_V.JPG,cw_s200_x254983.721_y3364052.517|cw_s200_x254983.721_y3364202.517|cw_s300_x254883.721_y3364102.517|cw_s300_x255108.721_y3364102.517|cw_s500_x254758.721_y3364127.517|cw_s700_x254783.721_y3364377.517,254989.977,3364130.696
q_022,DJI_202510311413_010_新建面状航线1,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G02_pipeline_engineering_reuse_domz_parallel_sampling/query_inputs/images/DJI_202510311413_010_新建面状航线1/DJI_20251031141633_0005_V.JPG,cw_s200_x254983.721_y3364202.517|cw_s300_x254883.721_y3364102.517|cw_s300_x254883.721_y3364327.517|cw_s500_x254758.721_y3364127.517|cw_s700_x254783.721_y3364377.517,254951.869,3364202.599
q_023,DJI_202510311413_010_新建面状航线1,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G02_pipeline_engineering_reuse_domz_parallel_sampling/query_inputs/images/DJI_202510311413_010_新建面状航线1/DJI_20251031141642_0009_V.JPG,cw_s200_x254833.721_y3364352.517|cw_s200_x254983.721_y3364352.517|cw_s300_x254883.721_y3364327.517|cw_s500_x254758.721_y3364127.517|cw_s500_x254758.721_y3364502.517|cw_s700_x254783.721_y3364377.517,254887.153,3364325.334
q_024,DJI_202510311413_010_新建面状航线1,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G02_pipeline_engineering_reuse_domz_parallel_sampling/query_inputs/images/DJI_202510311413_010_新建面状航线1/DJI_20251031141701_0019_V.JPG,cw_s300_x254658.721_y3364552.517|cw_s300_x254883.721_y3364552.517|cw_s500_x254758.721_y3364502.517|cw_s700_x254783.721_y3364377.517|cw_s700_x254783.721_y3364902.517,254751.890,3364581.740
q_025,DJI_202510311413_010_新建面状航线1,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G02_pipeline_engineering_reuse_domz_parallel_sampling/query_inputs/images/DJI_202510311413_010_新建面状航线1/DJI_20251031141907_0057_V.JPG,cw_s200_x254533.721_y3365252.517|cw_s300_x254433.721_y3365227.517|cw_s300_x254658.721_y3365227.517|cw_s700_x254258.721_y3364902.517|cw_s700_x254783.721_y3364902.517,254528.976,3365230.795
q_026,DJI_202510311413_010_新建面状航线1,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G02_pipeline_engineering_reuse_domz_parallel_sampling/query_inputs/images/DJI_202510311413_010_新建面状航线1/DJI_20251031141917_0061_V.JPG,cw_s200_x254533.721_y3365102.517|cw_s200_x254683.721_y3365102.517|cw_s300_x254658.721_y3365002.517|cw_s300_x254658.721_y3365227.517|cw_s500_x254383.721_y3364877.517|cw_s500_x254758.721_y3364877.517|cw_s700_x254258.721_y3364902.517|cw_s700_x254783.721_y3364902.517,254593.821,3365108.069
q_027,DJI_202510311413_010_新建面状航线1,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G02_pipeline_engineering_reuse_domz_parallel_sampling/query_inputs/images/DJI_202510311413_010_新建面状航线1/DJI_20251031141930_0067_V.JPG,cw_s200_x254683.721_y3364952.517|cw_s300_x254658.721_y3364777.517|cw_s300_x254658.721_y3365002.517|cw_s500_x254758.721_y3364877.517|cw_s700_x254783.721_y3364902.517,254690.710,3364924.368
q_028,DJI_202510311413_010_新建面状航线1,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G02_pipeline_engineering_reuse_domz_parallel_sampling/query_inputs/images/DJI_202510311413_010_新建面状航线1/DJI_20251031141957_0083_V.JPG,cw_s200_x254833.721_y3364502.517|cw_s300_x254883.721_y3364552.517|cw_s500_x254758.721_y3364502.517|cw_s700_x254783.721_y3364377.517|cw_s700_x254783.721_y3364902.517,254877.954,3364569.618
q_029,DJI_202510311413_010_新建面状航线1,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G02_pipeline_engineering_reuse_domz_parallel_sampling/query_inputs/images/DJI_202510311413_010_新建面状航线1/DJI_20251031142154_0116_V.JPG,cw_s200_x255133.721_y3364202.517|cw_s300_x255108.721_y3364102.517|cw_s300_x255108.721_y3364327.517,255176.869,3364229.102
q_030,DJI_202510311413_010_新建面状航线1,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G02_pipeline_engineering_reuse_domz_parallel_sampling/query_inputs/images/DJI_202510311413_010_新建面状航线1/DJI_20251031142204_0120_V.JPG,cw_s200_x255133.721_y3364352.517|cw_s300_x255108.721_y3364327.517|cw_s700_x254783.721_y3364377.517,255112.199,3364351.522
q_031,DJI_202510311413_010_新建面状航线1,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G02_pipeline_engineering_reuse_domz_parallel_sampling/query_inputs/images/DJI_202510311413_010_新建面状航线1/DJI_20251031142213_0124_V.JPG,cw_s200_x254983.721_y3364502.517|cw_s200_x255133.721_y3364502.517|cw_s300_x255108.721_y3364327.517|cw_s300_x255108.721_y3364552.517|cw_s700_x254783.721_y3364377.517,255047.702,3364473.966
q_032,DJI_202510311413_010_新建面状航线1,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G02_pipeline_engineering_reuse_domz_parallel_sampling/query_inputs/images/DJI_202510311413_010_新建面状航线1/DJI_20251031142300_0152_V.JPG,cw_s200_x254683.721_y3365102.517|cw_s300_x254658.721_y3365002.517|cw_s300_x254658.721_y3365227.517|cw_s500_x254758.721_y3364877.517|cw_s700_x254783.721_y3364902.517,254718.291,3365097.841
q_033,DJI_202510311413_010_新建面状航线1,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G02_pipeline_engineering_reuse_domz_parallel_sampling/query_inputs/images/DJI_202510311413_010_新建面状航线1/DJI_20251031142437_0174_V.JPG,cw_s200_x254683.721_y3365252.517|cw_s200_x254833.721_y3365252.517|cw_s300_x254658.721_y3365227.517|cw_s300_x254883.721_y3365227.517|cw_s700_x254783.721_y3364902.517,254761.974,3365242.027
q_034,DJI_202510311413_010_新建面状航线1,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G02_pipeline_engineering_reuse_domz_parallel_sampling/query_inputs/images/DJI_202510311413_010_新建面状航线1/DJI_20251031142451_0180_V.JPG,cw_s200_x254833.721_y3365102.517|cw_s300_x254883.721_y3365002.517|cw_s500_x254758.721_y3364877.517|cw_s700_x254783.721_y3364902.517,254859.058,3365058.014
q_035,DJI_202510311413_010_新建面状航线1,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G02_pipeline_engineering_reuse_domz_parallel_sampling/query_inputs/images/DJI_202510311413_010_新建面状航线1/DJI_20251031142456_0183_V.JPG,cw_s200_x254833.721_y3364952.517|cw_s300_x254883.721_y3365002.517|cw_s500_x254758.721_y3364877.517|cw_s700_x254783.721_y3364902.517,254894.232,3364991.399
q_036,DJI_202510311413_010_新建面状航线1,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G02_pipeline_engineering_reuse_domz_parallel_sampling/query_inputs/images/DJI_202510311413_010_新建面状航线1/DJI_20251031142538_0208_V.JPG,cw_s200_x255133.721_y3364352.517|cw_s300_x255108.721_y3364327.517|cw_s300_x255108.721_y3364552.517,255188.237,3364434.296
q_037,DJI_202510311413_010_新建面状航线1,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G02_pipeline_engineering_reuse_domz_parallel_sampling/query_inputs/images/DJI_202510311413_010_新建面状航线1/DJI_20251031142552_0214_V.JPG,,255285.290,3364250.320
q_038,DJI_202510311413_010_新建面状航线1,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G02_pipeline_engineering_reuse_domz_parallel_sampling/query_inputs/images/DJI_202510311413_010_新建面状航线1/DJI_20251031142742_0235_V.JPG,cw_s200_x255133.721_y3364652.517|cw_s300_x255108.721_y3364777.517|cw_s700_x254783.721_y3364902.517,255157.614,3364718.294
