query_id,flight_id,query_image_path,query_intrinsics_status,candidate_id,candidate_rank,candidate_score,candidate_image_path,dom_crs,dsm_source_count
q_001,DJI_202510311347_009_新建面状航线1,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135226_0007_V.JPG,ready,cw_s200_x253783.721_y3364952.517,1,0.993219,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/candidate_library/tiles_native/cw_s200_x253783.721_y3364952.517.png,EPSG:32650,71
q_001,DJI_202510311347_009_新建面状航线1,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135226_0007_V.JPG,ready,cw_s200_x254233.721_y3364652.517,2,0.040602,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/candidate_library/tiles_native/cw_s200_x254233.721_y3364652.517.png,EPSG:32650,71
q_001,DJI_202510311347_009_新建面状航线1,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135226_0007_V.JPG,ready,cw_s300_x254883.721_y3365002.517,3,0.491495,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/candidate_library/tiles_native/cw_s300_x254883.721_y3365002.517.png,EPSG:32650,71
q_001,DJI_202510311347_009_新建面状航线1,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135226_0007_V.JPG,ready,cw_s200_x254083.721_y3365102.517,4,0.465859,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/candidate_library/tiles_native/cw_s200_x254083.721_y3365102.517.png,EPSG:32650,71
q_001,DJI_202510311347_009_新建面状航线1,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135226_0007_V.JPG,ready,cw_s300_x255108.721_y3364327.517,5,0.452606,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/candidate_library/tiles_native/cw_s300_x255108.721_y3364327.517.png,EPSG:32650,71
q_001,DJI_202510311347_009_新建面状航线1,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135226_0007_V.JPG,ready,cw_s300_x254658.721_y3364102.517,6,0.374804,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/candidate_library/tiles_native/cw_s300_x254658.721_y3364102.517.png,EPSG:32650,71
q_001,DJI_202510311347_009_新建面状航线1,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135226_0007_V.JPG,ready,cw_s200_x254683.721_y3364052.517,7,0.369839,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/candidate_library/tiles_native/cw_s200_x254683.721_y3364052.517.png,EPSG:32650,71
q_001,DJI_202510311347_009_新建面状航线1,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135226_0007_V.JPG,ready,cw_s200_x255133.721_y3364202.517,8,0.337691,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/candidate_library/tiles_native/cw_s200_x255133.721_y3364202.517.png,EPSG:32650,71
q_001,DJI_202510311347_009_新建面状航线1,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135226_0007_V.JPG,ready,cw_s200_x254233.721_y3364052.517,9,0.306049,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/candidate_library/tiles_native/cw_s200_x254233.721_y3364052.517.png,EPSG:32650,71
q_001,DJI_202510311347_009_新建面状航线1,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135226_0007_V.JPG,ready,cw_s200_x254983.721_y3364352.517,10,0.309449,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/candidate_library/tiles_native/cw_s200_x254983.721_y3364352.517.png,EPSG:32650,71
q_001,DJI_202510311347_009_新建面状航线1,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135226_0007_V.JPG,ready,cw_s300_x255108.721_y3364102.517,11,0.273991,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/candidate_library/tiles_native/cw_s300_x255108.721_y3364102.517.png,EPSG:32650,71
q_001,DJI_202510311347_009_新建面状航线1,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135226_0007_V.JPG,ready,cw_s200_x254833.721_y3364052.517,12,0.263443,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/candidate_library/tiles_native/cw_s200_x254833.721_y3364052.517.png,EPSG:32650,71
q_001,DJI_202510311347_009_新建面状航线1,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135226_0007_V.JPG,ready,cw_s200_x254983.721_y3365252.517,13,0.242272,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/candidate_library/tiles_native/cw_s200_x254983.721_y3365252.517.png,EPSG:32650,71
q_001,DJI_202510311347_009_新建面状航线1,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135226_0007_V.JPG,ready,cw_s300_x254208.721_y3364102.517,14,0.203505,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/candidate_library/tiles_native/cw_s300_x254208.721_y3364102.517.png,EPSG:32650,71
q_001,DJI_202510311347_009_新建面状航线1,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135226_0007_V.JPG,ready,cw_s200_x254083.721_y3364052.517,15,0.205714,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/candidate_library/tiles_native/cw_s200_x254083.721_y3364052.517.png,EPSG:32650,71
q_001,DJI_202510311347_009_新建面状航线1,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135226_0007_V.JPG,ready,cw_s300_x255108.721_y3365002.517,16,0.167621,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/candidate_library/tiles_native/cw_s300_x255108.721_y3365002.517.png,EPSG:32650,71
q_001,DJI_202510311347_009_新建面状航线1,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135226_0007_V.JPG,ready,cw_s300_x254883.721_y3364102.517,17,0.163232,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/candidate_library/tiles_native/cw_s300_x254883.721_y3364102.517.png,EPSG:32650,71
q_001,DJI_202510311347_009_新建面状航线1,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135226_0007_V.JPG,ready,cw_s200_x255133.721_y3364052.517,18,0.151991,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/candidate_library/tiles_native/cw_s200_x255133.721_y3364052.517.png,EPSG:32650,71
q_001,DJI_202510311347_009_新建面状航线1,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135226_0007_V.JPG,ready,cw_s300_x254883.721_y3364327.517,19,0.108687,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/candidate_library/tiles_native/cw_s300_x254883.721_y3364327.517.png,EPSG:32650,71
q_001,DJI_202510311347_009_新建面状航线1,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135226_0007_V.JPG,ready,cw_s200_x254833.721_y3364202.517,20,0.085909,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/candidate_library/tiles_native/cw_s200_x254833.721_y3364202.517.png,EPSG:32650,71
q_002,DJI_202510311347_009_新建面状航线1,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/query_inputs/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135240_0013_V.JPG,ready,cw_s200_x253783.721_y3364802.517,1,0.564487,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/candidate_library/tiles_native/cw_s200_x253783.721_y3364802.517.png,EPSG:32650,71
