query_id,candidate_id,status,status_detail,bucket,candidate_rank,total_correspondences,valid_correspondences,ok_ratio,nodata_ratio,inlier_count,inlier_ratio,coverage_bbox_area_px2,coverage_score,inlier_count_norm,elevation_span_m,elevation_span_norm,reproj_error_m,reproj_error_norm,pose_penalty,rvec,tvec,camera_center_x,camera_center_y,camera_center_z,sample_status_breakdown,score,score_rank_within_query
q_001,cw_s200_x253783.721_y3364952.517,ok,,applicable_success,,668,668,1.000000,0.000000,630.000000,0.943114,5328752.825531,1.000000,1.000000,15.972278,1.000000,2.847161,0.000000,0.000000,"[0.7611097972901179, -3.0456943602595428, -0.0028339214748208746]","[1806812.3918974912, -2850012.021281191, -7767.956679877746]",253723.093896,3364940.463190,391.056178,"{""ok"": 668}",0.832934,1
q_001,cw_s200_x254083.721_y3364052.517,pnp_failed,solvePnPRansac did not converge,applicable_failure,,17,17,1.000000,0.000000,0.000000,0.000000,14040329.786497,0.000000,0.000000,8.673172,0.000000,0.000000,1.000000,1.000000,,,,,,"{""ok"": 17}",-0.150000,2
q_001,cw_s200_x254083.721_y3365102.517,pnp_failed,solvePnPRansac did not converge,applicable_failure,,17,17,1.000000,0.000000,0.000000,0.000000,17926985.144893,0.000000,0.000000,13.017620,0.000000,0.000000,1.000000,1.000000,,,,,,"{""ok"": 17}",-0.150000,3
q_001,cw_s200_x254233.721_y3364052.517,pnp_failed,solvePnPRansac did not converge,applicable_failure,,20,20,1.000000,0.000000,0.000000,0.000000,18684542.791392,0.000000,0.000000,17.537903,0.000000,0.000000,1.000000,1.000000,,,,,,"{""ok"": 20}",-0.150000,4
q_001,cw_s200_x254233.721_y3364652.517,pnp_failed,solvePnPRansac did not converge,applicable_failure,,39,39,1.000000,0.000000,0.000000,0.000000,19523396.672890,0.000000,0.000000,14.947907,0.000000,0.000000,1.000000,1.000000,,,,,,"{""ok"": 39}",-0.150000,5
q_001,cw_s200_x254683.721_y3364052.517,pnp_failed,solvePnPRansac did not converge,applicable_failure,,18,17,0.944444,0.000000,0.000000,0.000000,17326463.049310,0.000000,0.000000,13.050482,0.000000,0.000000,1.000000,1.000000,,,,,,"{""ok"": 17, ""unstable_local_height"": 1}",-0.150000,6
q_001,cw_s200_x254833.721_y3364052.517,pnp_failed,solvePnPRansac did not converge,applicable_failure,,20,20,1.000000,0.000000,0.000000,0.000000,16790230.550567,0.000000,0.000000,7.409054,0.000000,0.000000,1.000000,1.000000,,,,,,"{""ok"": 20}",-0.150000,7
q_001,cw_s200_x254833.721_y3364202.517,pnp_failed,solvePnPRansac did not converge,applicable_failure,,17,17,1.000000,0.000000,0.000000,0.000000,15296503.186759,0.000000,0.000000,6.684794,0.000000,0.000000,1.000000,1.000000,,,,,,"{""ok"": 17}",-0.150000,8
q_001,cw_s200_x254983.721_y3364352.517,pnp_failed,solvePnPRansac did not converge,applicable_failure,,16,16,1.000000,0.000000,0.000000,0.000000,14412588.222478,0.000000,0.000000,5.520577,0.000000,0.000000,1.000000,1.000000,,,,,,"{""ok"": 16}",-0.150000,9
q_001,cw_s200_x254983.721_y3365252.517,pnp_failed,solvePnPRansac did not converge,applicable_failure,,20,20,1.000000,0.000000,0.000000,0.000000,16351225.049206,0.000000,0.000000,14.887121,0.000000,0.000000,1.000000,1.000000,,,,,,"{""ok"": 20}",-0.150000,10
