query_id,flight_id,image_name,query_image_path,query_x,query_y,query_crs,coverage_threshold,footprint_core_ratio,min_valid_ratio,footprint_area_m2,truth_count_total,strict_truth_count_total,soft_truth_count_total,truth_count_200m,strict_truth_count_200m,soft_truth_count_200m,truth_count_300m,strict_truth_count_300m,soft_truth_count_300m,truth_count_500m,strict_truth_count_500m,soft_truth_count_500m,truth_count_700m,strict_truth_count_700m,soft_truth_count_700m
q_001,DJI_202510311347_009_新建面状航线1,DJI_20251031135226_0007_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031135226_0007_V.JPG,253726.527,3364940.577,EPSG:32650,0.40,0.60,0.60,75041.775,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
q_002,DJI_202510311347_009_新建面状航线1,DJI_20251031135240_0013_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031135240_0013_V.JPG,253823.110,3364757.406,EPSG:32650,0.40,0.60,0.60,75052.660,3,3,0,1,1,0,1,1,0,1,1,0,0,0,0
q_003,DJI_202510311347_009_新建面状航线1,DJI_20251031135249_0017_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031135249_0017_V.JPG,253887.642,3364635.269,EPSG:32650,0.40,0.60,0.60,75036.937,6,6,0,1,1,0,2,2,0,2,2,0,1,1,0
q_004,DJI_202510311347_009_新建面状航线1,DJI_20251031135518_0069_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031135518_0069_V.JPG,254340.458,3364003.005,EPSG:32650,0.40,0.60,0.60,75037.743,3,3,0,1,1,0,1,1,0,1,1,0,0,0,0
q_005,DJI_202510311347_009_新建面状航线1,DJI_20251031135527_0073_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031135527_0073_V.JPG,254276.046,3364125.204,EPSG:32650,0.40,0.60,0.60,75045.806,6,6,0,1,1,0,2,2,0,2,2,0,1,1,0
q_006,DJI_202510311347_009_新建面状航线1,DJI_20251031135751_0123_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031135751_0123_V.JPG,253926.531,3365014.163,EPSG:32650,0.40,0.60,0.60,75040.162,4,4,0,1,1,0,1,1,0,1,1,0,1,1,0
q_007,DJI_202510311347_009_新建面状航线1,DJI_20251031135805_0129_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031135805_0129_V.JPG,254023.072,3364831.251,EPSG:32650,0.40,0.60,0.60,75051.451,5,5,0,2,2,0,1,1,0,1,1,0,1,1,0
q_008,DJI_202510311347_009_新建面状航线1,DJI_20251031135815_0134_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031135815_0134_V.JPG,254090.672,3364703.332,EPSG:32650,0.40,0.60,0.60,75049.838,7,7,0,1,1,0,2,2,0,2,2,0,2,2,0
q_009,DJI_202510311347_009_新建面状航线1,DJI_20251031140038_0183_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031140038_0183_V.JPG,254574.257,3364012.895,EPSG:32650,0.40,0.60,0.60,75029.680,5,5,0,1,1,0,1,1,0,2,2,0,1,1,0
q_010,DJI_202510311347_009_新建面状航线1,DJI_20251031140057_0191_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031140057_0191_V.JPG,254445.044,3364257.745,EPSG:32650,0.40,0.60,0.60,75040.968,7,7,0,1,1,0,2,2,0,2,2,0,2,2,0
q_011,DJI_202510311347_009_新建面状航线1,DJI_20251031140135_0215_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031140135_0215_V.JPG,254178.654,3364762.542,EPSG:32650,0.40,0.60,0.60,75040.968,5,5,0,1,1,0,1,1,0,2,2,0,1,1,0
q_012,DJI_202510311347_009_新建面状航线1,DJI_20251031140321_0240_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G03_pipeline_siftgpu_replace_roma/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031140321_0240_V.JPG,254159.524,3365025.435,EPSG:32650,0.40,0.60,0.60,75034.115,6,6,0,1,1,0,2,2,0,2,2,0,1,1,0
