query_id,rank,candidate_tile_id,score,candidate_scale_level_m,candidate_center_x,candidate_center_y
q_001,1,cw_s200_x253783.721_y3364952.517,0.993219306618,200.000,253783.72102534556,3364952.5166208195
q_001,2,cw_s200_x254233.721_y3364652.517,0.040601787941,200.000,254233.72102534556,3364652.5166208195
q_001,3,cw_s300_x254883.721_y3365002.517,0.491495160142,300.000,254883.72102534556,3365002.5166208195
q_001,4,cw_s200_x254083.721_y3365102.517,0.465859477706,200.000,254083.72102534556,3365102.5166208195
q_001,5,cw_s300_x255108.721_y3364327.517,0.452606243123,300.000,255108.72102534556,3364327.5166208195
q_001,6,cw_s300_x254658.721_y3364102.517,0.374804292934,300.000,254658.72102534556,3364102.5166208195
q_001,7,cw_s200_x254683.721_y3364052.517,0.369839150626,200.000,254683.72102534556,3364052.5166208195
q_001,8,cw_s200_x255133.721_y3364202.517,0.337690890481,200.000,255133.72102534556,3364202.5166208195
q_001,9,cw_s200_x254233.721_y3364052.517,0.306048786415,200.000,254233.72102534556,3364052.5166208195
q_001,10,cw_s200_x254983.721_y3364352.517,0.309449170723,200.000,254983.72102534556,3364352.5166208195
q_001,11,cw_s300_x255108.721_y3364102.517,0.273991216313,300.000,255108.72102534556,3364102.5166208195
q_001,12,cw_s200_x254833.721_y3364052.517,0.263443190649,200.000,254833.72102534556,3364052.5166208195
q_001,13,cw_s200_x254983.721_y3365252.517,0.242272240766,200.000,254983.72102534556,3365252.5166208195
q_001,14,cw_s300_x254208.721_y3364102.517,0.203505013613,300.000,254208.72102534556,3364102.5166208195
q_001,15,cw_s200_x254083.721_y3364052.517,0.205713918469,200.000,254083.72102534556,3364052.5166208195
q_001,16,cw_s300_x255108.721_y3365002.517,0.167621344365,300.000,255108.72102534556,3365002.5166208195
q_001,17,cw_s300_x254883.721_y3364102.517,0.163232408929,300.000,254883.72102534556,3364102.5166208195
q_001,18,cw_s200_x255133.721_y3364052.517,0.151990512607,200.000,255133.72102534556,3364052.5166208195
q_001,19,cw_s300_x254883.721_y3364327.517,0.108687348378,300.000,254883.72102534556,3364327.5166208195
q_001,20,cw_s200_x254833.721_y3364202.517,0.0859090512158,200.000,254833.72102534556,3364202.5166208195
q_002,1,cw_s200_x253783.721_y3364802.517,0.564486711066,200.000,253783.72102534556,3364802.5166208195
q_002,2,cw_s500_x254008.721_y3364877.517,0.575915318042,500.000,254008.72102534556,3364877.5166208195
q_002,3,cw_s300_x253983.721_y3364777.517,0.477431233679,300.000,253983.72102534556,3364777.5166208195
q_002,4,cw_s200_x253933.721_y3364802.517,0.910040802786,200.000,253933.72102534556,3364802.5166208195
