download_request_id,dsm_source_name,dsm_source_type,dsm_asset_version_tag,upstream_dsm_path,crs,request_min_x,request_min_y,request_max_x,request_max_y,primary_candidate_tile_id,raster_path,status
caiwangcun_dsm_0p14m_epsg32650_cw_s200_x253783.721_y3364952.517,caiwangcun_dsm_0p14m_epsg32650,finished_caiwangcun_dsm,caiwangcun_fullreplace_domdsm_0p14m_epsg32650,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/source_mosaic/caiwangcun_dsm_0p14m_epsg32650.tif,EPSG:32650,253433.721025,3364602.516621,254133.721025,3365302.516621,cw_s200_x253783.721_y3364952.517,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/pose_v1_formal/dsm_cache/rasters/caiwangcun_dsm_0p14m_epsg32650_cw_s200_x253783.721_y3364952.517.tif,planned
caiwangcun_dsm_0p14m_epsg32650_cw_s200_x254083.721_y3364052.517,caiwangcun_dsm_0p14m_epsg32650,finished_caiwangcun_dsm,caiwangcun_fullreplace_domdsm_0p14m_epsg32650,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/source_mosaic/caiwangcun_dsm_0p14m_epsg32650.tif,EPSG:32650,253733.721025,3363702.516621,254433.721025,3364402.516621,cw_s200_x254083.721_y3364052.517,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/pose_v1_formal/dsm_cache/rasters/caiwangcun_dsm_0p14m_epsg32650_cw_s200_x254083.721_y3364052.517.tif,planned
caiwangcun_dsm_0p14m_epsg32650_cw_s200_x254083.721_y3365102.517,caiwangcun_dsm_0p14m_epsg32650,finished_caiwangcun_dsm,caiwangcun_fullreplace_domdsm_0p14m_epsg32650,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/source_mosaic/caiwangcun_dsm_0p14m_epsg32650.tif,EPSG:32650,253733.721025,3364752.516621,254433.721025,3365452.516621,cw_s200_x254083.721_y3365102.517,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/pose_v1_formal/dsm_cache/rasters/caiwangcun_dsm_0p14m_epsg32650_cw_s200_x254083.721_y3365102.517.tif,planned
caiwangcun_dsm_0p14m_epsg32650_cw_s200_x255133.721_y3364052.517,caiwangcun_dsm_0p14m_epsg32650,finished_caiwangcun_dsm,caiwangcun_fullreplace_domdsm_0p14m_epsg32650,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/source_mosaic/caiwangcun_dsm_0p14m_epsg32650.tif,EPSG:32650,254783.721025,3363702.516621,255483.721025,3364402.516621,cw_s200_x255133.721_y3364052.517,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/pose_v1_formal/dsm_cache/rasters/caiwangcun_dsm_0p14m_epsg32650_cw_s200_x255133.721_y3364052.517.tif,planned
caiwangcun_dsm_0p14m_epsg32650_cw_s200_x254233.721_y3364052.517,caiwangcun_dsm_0p14m_epsg32650,finished_caiwangcun_dsm,caiwangcun_fullreplace_domdsm_0p14m_epsg32650,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/source_mosaic/caiwangcun_dsm_0p14m_epsg32650.tif,EPSG:32650,253883.721025,3363702.516621,254583.721025,3364402.516621,cw_s200_x254233.721_y3364052.517,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/pose_v1_formal/dsm_cache/rasters/caiwangcun_dsm_0p14m_epsg32650_cw_s200_x254233.721_y3364052.517.tif,planned
caiwangcun_dsm_0p14m_epsg32650_cw_s200_x254983.721_y3365252.517,caiwangcun_dsm_0p14m_epsg32650,finished_caiwangcun_dsm,caiwangcun_fullreplace_domdsm_0p14m_epsg32650,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/source_mosaic/caiwangcun_dsm_0p14m_epsg32650.tif,EPSG:32650,254633.721025,3364902.516621,255333.721025,3365602.516621,cw_s200_x254983.721_y3365252.517,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/pose_v1_formal/dsm_cache/rasters/caiwangcun_dsm_0p14m_epsg32650_cw_s200_x254983.721_y3365252.517.tif,planned
caiwangcun_dsm_0p14m_epsg32650_cw_s200_x255133.721_y3364202.517,caiwangcun_dsm_0p14m_epsg32650,finished_caiwangcun_dsm,caiwangcun_fullreplace_domdsm_0p14m_epsg32650,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/source_mosaic/caiwangcun_dsm_0p14m_epsg32650.tif,EPSG:32650,254783.721025,3363852.516621,255483.721025,3364552.516621,cw_s200_x255133.721_y3364202.517,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/pose_v1_formal/dsm_cache/rasters/caiwangcun_dsm_0p14m_epsg32650_cw_s200_x255133.721_y3364202.517.tif,planned
caiwangcun_dsm_0p14m_epsg32650_cw_s200_x254683.721_y3364052.517,caiwangcun_dsm_0p14m_epsg32650,finished_caiwangcun_dsm,caiwangcun_fullreplace_domdsm_0p14m_epsg32650,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/source_mosaic/caiwangcun_dsm_0p14m_epsg32650.tif,EPSG:32650,254333.721025,3363702.516621,255033.721025,3364402.516621,cw_s200_x254683.721_y3364052.517,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/pose_v1_formal/dsm_cache/rasters/caiwangcun_dsm_0p14m_epsg32650_cw_s200_x254683.721_y3364052.517.tif,planned
caiwangcun_dsm_0p14m_epsg32650_cw_s200_x254983.721_y3364352.517,caiwangcun_dsm_0p14m_epsg32650,finished_caiwangcun_dsm,caiwangcun_fullreplace_domdsm_0p14m_epsg32650,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/source_mosaic/caiwangcun_dsm_0p14m_epsg32650.tif,EPSG:32650,254633.721025,3364002.516621,255333.721025,3364702.516621,cw_s200_x254983.721_y3364352.517,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/pose_v1_formal/dsm_cache/rasters/caiwangcun_dsm_0p14m_epsg32650_cw_s200_x254983.721_y3364352.517.tif,planned
caiwangcun_dsm_0p14m_epsg32650_cw_s300_x255108.721_y3364327.517,caiwangcun_dsm_0p14m_epsg32650,finished_caiwangcun_dsm,caiwangcun_fullreplace_domdsm_0p14m_epsg32650,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/source_mosaic/caiwangcun_dsm_0p14m_epsg32650.tif,EPSG:32650,254708.721025,3363927.516621,255508.721025,3364727.516621,cw_s300_x255108.721_y3364327.517,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/pose_v1_formal/dsm_cache/rasters/caiwangcun_dsm_0p14m_epsg32650_cw_s300_x255108.721_y3364327.517.tif,planned
