query_id,tile_id,tile_size_m,source_tif,image_path,center_x,center_y,min_x,min_y,max_x,max_y,coverage_ratio,intersection_area_m2,contains_query_center,valid_pixel_ratio,black_pixel_ratio,truth_quality_score,is_strict_truth,is_soft_truth
q_001,cw_s200_x253783.721_y3364952.517,200.000,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/source_mosaic/caiwangcun_ortho_0p14m_epsg32650.tif,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/candidate_library/tiles_native/cw_s200_x253783.721_y3364952.517.png,253783.721025345556,3364952.516620819457,253683.721025345556,3364852.516620819457,253883.721025345556,3365052.516620819457,0.496111,37229.024,1,1.000000,0.000000,0.496111,1,0
q_002,cw_s200_x253783.721_y3364802.517,200.000,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/source_mosaic/caiwangcun_ortho_0p14m_epsg32650.tif,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/candidate_library/tiles_native/cw_s200_x253783.721_y3364802.517.png,253783.721025345556,3364802.516620819457,253683.721025345556,3364702.516620819457,253883.721025345556,3364902.516620819457,0.442422,33204.981,1,1.000000,0.000000,0.442422,1,0
q_002,cw_s300_x253983.721_y3364777.517,300.000,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/source_mosaic/caiwangcun_ortho_0p14m_epsg32650.tif,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/candidate_library/tiles_native/cw_s300_x253983.721_y3364777.517.png,253983.721025345556,3364777.516620819457,253833.721025345556,3364627.516620819457,254133.721025345556,3364927.516620819457,0.459425,34481.103,0,1.000000,0.000000,0.459425,1,0
q_002,cw_s500_x254008.721_y3364877.517,500.000,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/source_mosaic/caiwangcun_ortho_0p14m_epsg32650.tif,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/candidate_library/tiles_native/cw_s500_x254008.721_y3364877.517.png,254008.721025345556,3364877.516620819457,253758.721025345556,3364627.516620819457,254258.721025345556,3365127.516620819457,0.711980,53435.955,1,1.000000,0.000000,0.711980,1,0
q_003,cw_s200_x253933.721_y3364652.517,200.000,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/source_mosaic/caiwangcun_ortho_0p14m_epsg32650.tif,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/candidate_library/tiles_native/cw_s200_x253933.721_y3364652.517.png,253933.721025345556,3364652.516620819457,253833.721025345556,3364552.516620819457,254033.721025345556,3364752.516620819457,0.510698,38321.231,1,1.000000,0.000000,0.510698,1,0
q_003,cw_s300_x253983.721_y3364552.517,300.000,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/source_mosaic/caiwangcun_ortho_0p14m_epsg32650.tif,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/candidate_library/tiles_native/cw_s300_x253983.721_y3364552.517.png,253983.721025345556,3364552.516620819457,253833.721025345556,3364402.516620819457,254133.721025345556,3364702.516620819457,0.511185,38357.737,1,1.000000,0.000000,0.511185,1,0
q_003,cw_s300_x253983.721_y3364777.517,300.000,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/source_mosaic/caiwangcun_ortho_0p14m_epsg32650.tif,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/candidate_library/tiles_native/cw_s300_x253983.721_y3364777.517.png,253983.721025345556,3364777.516620819457,253833.721025345556,3364627.516620819457,254133.721025345556,3364927.516620819457,0.402158,30176.733,1,1.000000,0.000000,0.402158,1,0
q_003,cw_s500_x254008.721_y3364502.517,500.000,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/source_mosaic/caiwangcun_ortho_0p14m_epsg32650.tif,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/candidate_library/tiles_native/cw_s500_x254008.721_y3364502.517.png,254008.721025345556,3364502.516620819457,253758.721025345556,3364252.516620819457,254258.721025345556,3364752.516620819457,0.866522,65021.132,1,1.000000,0.000000,0.866522,1,0
q_003,cw_s500_x254008.721_y3364877.517,500.000,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/source_mosaic/caiwangcun_ortho_0p14m_epsg32650.tif,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/candidate_library/tiles_native/cw_s500_x254008.721_y3364877.517.png,254008.721025345556,3364877.516620819457,253758.721025345556,3364627.516620819457,254258.721025345556,3365127.516620819457,0.494635,37115.903,1,1.000000,0.000000,0.494635,1,0
q_003,cw_s700_x254258.721_y3364902.517,700.000,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/source_mosaic/caiwangcun_ortho_0p14m_epsg32650.tif,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04A_downsample_0p5m/candidate_library/tiles_native/cw_s700_x254258.721_y3364902.517.png,254258.721025345556,3364902.516620819457,253908.721025345556,3364552.516620819457,254608.721025345556,3365252.516620819457,0.403201,30254.970,0,1.000000,0.000000,0.403201,1,0
