query_id,flight_id,image_name,original_query_path,sanitized_query_path,has_metadata_removed,sanitization_method,downsample_target_gsd_m,estimated_query_gsd_m,downsample_scale,original_width_px,original_height_px,downsampled_width_px,downsampled_height_px,intrinsics_scale_x,intrinsics_scale_y
q_001,DJI_202510311347_009_新建面状航线1,DJI_20251031135226_0007_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031135226_0007_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/query_inputs/images_downsampled_1p0m/DJI_202510311347_009_新建面状航线1/DJI_20251031135226_0007_V.JPG,1,pillow_reencode_without_metadata,1.000000000000,0.099934456064,0.099934456064,5280,3956,528,395,0.100000000000,0.099848331648
q_002,DJI_202510311347_009_新建面状航线1,DJI_20251031135240_0013_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031135240_0013_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/query_inputs/images_downsampled_1p0m/DJI_202510311347_009_新建面状航线1/DJI_20251031135240_0013_V.JPG,1,pillow_reencode_without_metadata,1.000000000000,0.099941704091,0.099941704091,5280,3956,528,395,0.100000000000,0.099848331648
q_003,DJI_202510311347_009_新建面状航线1,DJI_20251031135249_0017_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031135249_0017_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/query_inputs/images_downsampled_1p0m/DJI_202510311347_009_新建面状航线1/DJI_20251031135249_0017_V.JPG,1,pillow_reencode_without_metadata,1.000000000000,0.099931234718,0.099931234718,5280,3956,528,395,0.100000000000,0.099848331648
q_004,DJI_202510311347_009_新建面状航线1,DJI_20251031135518_0069_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031135518_0069_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/query_inputs/images_downsampled_1p0m/DJI_202510311347_009_新建面状航线1/DJI_20251031135518_0069_V.JPG,1,pillow_reencode_without_metadata,1.000000000000,0.099931771609,0.099931771609,5280,3956,528,395,0.100000000000,0.099848331648
q_005,DJI_202510311347_009_新建面状航线1,DJI_20251031135527_0073_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031135527_0073_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/query_inputs/images_downsampled_1p0m/DJI_202510311347_009_新建面状航线1/DJI_20251031135527_0073_V.JPG,1,pillow_reencode_without_metadata,1.000000000000,0.099937140518,0.099937140518,5280,3956,528,395,0.100000000000,0.099848331648
q_006,DJI_202510311347_009_新建面状航线1,DJI_20251031135751_0123_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031135751_0123_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/query_inputs/images_downsampled_1p0m/DJI_202510311347_009_新建面状航线1/DJI_20251031135751_0123_V.JPG,1,pillow_reencode_without_metadata,1.000000000000,0.099933382282,0.099933382282,5280,3956,528,395,0.100000000000,0.099848331648
q_007,DJI_202510311347_009_新建面状航线1,DJI_20251031135805_0129_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031135805_0129_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/query_inputs/images_downsampled_1p0m/DJI_202510311347_009_新建面状航线1/DJI_20251031135805_0129_V.JPG,1,pillow_reencode_without_metadata,1.000000000000,0.099940898754,0.099940898754,5280,3956,528,395,0.100000000000,0.099848331648
q_008,DJI_202510311347_009_新建面状航线1,DJI_20251031135815_0134_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031135815_0134_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/query_inputs/images_downsampled_1p0m/DJI_202510311347_009_新建面状航线1/DJI_20251031135815_0134_V.JPG,1,pillow_reencode_without_metadata,1.000000000000,0.099939824973,0.099939824973,5280,3956,528,395,0.100000000000,0.099848331648
q_009,DJI_202510311347_009_新建面状航线1,DJI_20251031140038_0183_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031140038_0183_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/query_inputs/images_downsampled_1p0m/DJI_202510311347_009_新建面状航线1/DJI_20251031140038_0183_V.JPG,1,pillow_reencode_without_metadata,1.000000000000,0.099926402700,0.099926402700,5280,3956,528,395,0.100000000000,0.099848331648
q_010,DJI_202510311347_009_新建面状航线1,DJI_20251031140057_0191_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/selected_queries/DJI_202510311347_009_新建面状航线1/DJI_20251031140057_0191_V.JPG,/mnt/d/aiproject/imagematch/new4output/nadir_009010_caiwangcun_gate_speedopt_matrix_2026-04-27/G04_downsample_resolution_sweep/G04B_downsample_1p0m/query_inputs/images_downsampled_1p0m/DJI_202510311347_009_新建面状航线1/DJI_20251031140057_0191_V.JPG,1,pillow_reencode_without_metadata,1.000000000000,0.099933919173,0.099933919173,5280,3956,528,395,0.100000000000,0.099848331648
