query_id,rank,candidate_tile_id,score,candidate_scale_level_m,candidate_center_x,candidate_center_y,is_intersection_truth_hit
q_021,1,cw_s300_x254883.721_y3364102.517,0.9036948084831238,300.000,254883.721025345556,3364102.516620819457,1
q_021,2,cw_s200_x254983.721_y3364352.517,0.899438738822937,200.000,254983.721025345556,3364352.516620819457,0
q_021,3,cw_s300_x255108.721_y3364327.517,0.897771954536438,300.000,255108.721025345556,3364327.516620819457,0
q_021,4,cw_s300_x254883.721_y3364327.517,0.8941419124603271,300.000,254883.721025345556,3364327.516620819457,0
q_021,5,cw_s300_x255108.721_y3364102.517,0.8736066818237305,300.000,255108.721025345556,3364102.516620819457,1
q_021,6,cw_s200_x254833.721_y3364052.517,0.8728253841400146,200.000,254833.721025345556,3364052.516620819457,0
q_021,7,cw_s500_x254758.721_y3364127.517,0.86934494972229,500.000,254758.721025345556,3364127.516620819457,1
q_021,8,cw_s200_x254983.721_y3364202.517,0.8687821626663208,200.000,254983.721025345556,3364202.516620819457,1
q_021,9,cw_s200_x254833.721_y3364202.517,0.8607248067855835,200.000,254833.721025345556,3364202.516620819457,0
q_021,10,cw_s300_x254883.721_y3365002.517,0.8579684495925903,300.000,254883.721025345556,3365002.516620819457,0
q_021,11,cw_s200_x254833.721_y3364352.517,0.8518645763397217,200.000,254833.721025345556,3364352.516620819457,0
q_021,12,cw_s200_x254833.721_y3363902.517,0.8334705233573914,200.000,254833.721025345556,3363902.516620819457,0
q_021,13,cw_s300_x254658.721_y3364102.517,0.8308191895484924,300.000,254658.721025345556,3364102.516620819457,0
q_021,14,cw_s200_x254683.721_y3363902.517,0.8198868632316589,200.000,254683.721025345556,3363902.516620819457,0
q_021,15,cw_s300_x255108.721_y3365002.517,0.8192018270492554,300.000,255108.721025345556,3365002.516620819457,0
q_021,16,cw_s200_x254083.721_y3364052.517,0.8148711323738098,200.000,254083.721025345556,3364052.516620819457,0
q_021,17,cw_s200_x254683.721_y3364202.517,0.8137520551681519,200.000,254683.721025345556,3364202.516620819457,0
q_021,18,cw_s200_x255133.721_y3364202.517,0.8136075139045715,200.000,255133.721025345556,3364202.516620819457,0
q_021,19,cw_s200_x254683.721_y3364052.517,0.8083986043930054,200.000,254683.721025345556,3364052.516620819457,0
q_021,20,cw_s500_x254008.721_y3364127.517,0.8047921657562256,500.000,254008.721025345556,3364127.516620819457,0
q_022,1,cw_s300_x254883.721_y3364327.517,0.8846299648284912,300.000,254883.721025345556,3364327.516620819457,1
q_022,2,cw_s300_x255108.721_y3364327.517,0.8811777234077454,300.000,255108.721025345556,3364327.516620819457,0
q_022,3,cw_s200_x254983.721_y3364352.517,0.8794033527374268,200.000,254983.721025345556,3364352.516620819457,0
q_022,4,cw_s300_x254883.721_y3364102.517,0.875639796257019,300.000,254883.721025345556,3364102.516620819457,1
q_022,5,cw_s500_x254758.721_y3364127.517,0.8643757104873657,500.000,254758.721025345556,3364127.516620819457,1
q_022,6,cw_s300_x254883.721_y3365002.517,0.8601609468460083,300.000,254883.721025345556,3365002.516620819457,0
q_022,7,cw_s300_x255108.721_y3364102.517,0.8591914176940918,300.000,255108.721025345556,3364102.516620819457,0
q_022,8,cw_s200_x254833.721_y3364052.517,0.8520482182502747,200.000,254833.721025345556,3364052.516620819457,0
q_022,9,cw_s200_x254833.721_y3364202.517,0.8402524590492249,200.000,254833.721025345556,3364202.516620819457,0
q_022,10,cw_s200_x254983.721_y3364202.517,0.836936354637146,200.000,254983.721025345556,3364202.516620819457,1
q_022,11,cw_s200_x254833.721_y3364352.517,0.8335078954696655,200.000,254833.721025345556,3364352.516620819457,0
q_022,12,cw_s300_x254658.721_y3364102.517,0.8279523849487305,300.000,254658.721025345556,3364102.516620819457,0
q_022,13,cw_s200_x254683.721_y3364202.517,0.814123809337616,200.000,254683.721025345556,3364202.516620819457,0
q_022,14,cw_s200_x254833.721_y3363902.517,0.8067048788070679,200.000,254833.721025345556,3363902.516620819457,0
q_022,15,cw_s200_x255133.721_y3364202.517,0.8023967742919922,200.000,255133.721025345556,3364202.516620819457,0
