source_group,strategy,query_count,retained_per_query,truth_retained_query_count,truth_retained_ratio,best_pose_candidate_retained_query_count,best_pose_candidate_retained_ratio,pnp_ok_available_query_count,pnp_ok_available_ratio,average_retained_candidate_count,candidate_reduction_vs_top20_ratio,passes_strict_topk_gate
g02_roma,coarse_raw_top1,5,1,3,0.6,0,0.0,5,1.0,1.0,0.95,False
g02_roma,coarse_raw_top3,5,3,4,0.8,3,0.6,5,1.0,3.0,0.85,False
g02_roma,coarse_raw_top5,5,5,4,0.8,4,0.8,5,1.0,5.0,0.75,False
g02_roma,coarse_raw_top10,5,10,5,1.0,5,1.0,5,1.0,10.0,0.5,True
g02_roma,coarse_raw_top20,5,20,5,1.0,5,1.0,5,1.0,20.0,0.0,True
g02_roma,rerank_fused_top1,5,1,4,0.8,1,0.2,5,1.0,1.0,0.95,False
g02_roma,rerank_fused_top3,5,3,4,0.8,1,0.2,5,1.0,3.0,0.85,False
g02_roma,rerank_fused_top5,5,5,5,1.0,1,0.2,5,1.0,5.0,0.75,False
g02_roma,inlier_count_top1,5,1,4,0.8,1,0.2,5,1.0,1.0,0.95,False
g02_roma,inlier_count_top3,5,3,4,0.8,1,0.2,5,1.0,3.0,0.85,False
g02_roma,inlier_count_top5,5,5,5,1.0,1,0.2,5,1.0,5.0,0.75,False
g02_roma,match_count_top1,5,1,4,0.8,1,0.2,5,1.0,1.0,0.95,False
g02_roma,match_count_top3,5,3,4,0.8,1,0.2,5,1.0,3.0,0.85,False
g02_roma,match_count_top5,5,5,5,1.0,1,0.2,5,1.0,5.0,0.75,False
g03_siftgpu,coarse_raw_top1,5,1,3,0.6,0,0.0,4,0.8,1.0,0.95,False
g03_siftgpu,coarse_raw_top3,5,3,4,0.8,3,0.6,5,1.0,3.0,0.85,False
g03_siftgpu,coarse_raw_top5,5,5,4,0.8,4,0.8,5,1.0,5.0,0.75,False
g03_siftgpu,coarse_raw_top10,5,10,5,1.0,5,1.0,5,1.0,10.0,0.5,True
g03_siftgpu,coarse_raw_top20,5,20,5,1.0,5,1.0,5,1.0,20.0,0.0,True
g03_siftgpu,rerank_fused_top1,5,1,5,1.0,3,0.6,5,1.0,1.0,0.95,False
g03_siftgpu,rerank_fused_top3,5,3,5,1.0,4,0.8,5,1.0,3.0,0.85,False
g03_siftgpu,rerank_fused_top5,5,5,5,1.0,5,1.0,5,1.0,5.0,0.75,True
g03_siftgpu,inlier_count_top1,5,1,5,1.0,3,0.6,5,1.0,1.0,0.95,False
g03_siftgpu,inlier_count_top3,5,3,5,1.0,4,0.8,5,1.0,3.0,0.85,False
g03_siftgpu,inlier_count_top5,5,5,5,1.0,5,1.0,5,1.0,5.0,0.75,True
g03_siftgpu,match_count_top1,5,1,5,1.0,5,1.0,5,1.0,1.0,0.95,True
g03_siftgpu,match_count_top3,5,3,5,1.0,5,1.0,5,1.0,3.0,0.85,True
g03_siftgpu,match_count_top5,5,5,5,1.0,5,1.0,5,1.0,5.0,0.75,True
