source_group,query_id,strategy,k,retained_candidate_ids,retained_raw_ranks,retained_rerank_ranks,retained_inlier_counts,retained_match_counts,truth_retained,best_pose_candidate_retained,pnp_ok_available,truth_candidate_ids_in_top20,best_candidate_id
g02_roma,q_001,coarse_raw_top1,1,cw_s300_x254883.721_y3365002.517,1,17,35,5000,0,0,1,cw_s200_x253783.721_y3364952.517,cw_s200_x253783.721_y3364952.517
g02_roma,q_002,coarse_raw_top1,1,cw_s200_x253933.721_y3364802.517,1,4,1600,5000,0,0,1,cw_s200_x253783.721_y3364802.517|cw_s500_x254008.721_y3364877.517|cw_s300_x253983.721_y3364777.517,cw_s500_x254008.721_y3364877.517
g02_roma,q_003,coarse_raw_top1,1,cw_s300_x253983.721_y3364552.517,1,7,1127,5000,1,0,1,cw_s200_x253933.721_y3364652.517|cw_s300_x253983.721_y3364552.517|cw_s500_x254008.721_y3364502.517,cw_s500_x254008.721_y3364502.517
g02_roma,q_004,coarse_raw_top1,1,cw_s300_x254433.721_y3364102.517,1,3,1371,5000,1,0,1,cw_s200_x254383.721_y3364052.517|cw_s300_x254433.721_y3364102.517|cw_s500_x254383.721_y3364127.517,cw_s500_x254383.721_y3364127.517
g02_roma,q_021,coarse_raw_top1,1,cw_s300_x254883.721_y3364102.517,1,9,2022,5000,1,0,1,cw_s200_x254983.721_y3364052.517|cw_s200_x254983.721_y3364202.517|cw_s300_x254883.721_y3364102.517|cw_s300_x255108.721_y3364102.517|cw_s500_x254758.721_y3364127.517,cw_s500_x254758.721_y3364127.517
g02_roma,q_001,coarse_raw_top3,3,cw_s300_x254883.721_y3365002.517|cw_s200_x253783.721_y3364952.517|cw_s200_x254083.721_y3365102.517,1|2|3,17|1|5,35|2655|144,5000|5000|5000,1,1,1,cw_s200_x253783.721_y3364952.517,cw_s200_x253783.721_y3364952.517
g02_roma,q_002,coarse_raw_top3,3,cw_s200_x253933.721_y3364802.517|cw_s500_x254008.721_y3364502.517|cw_s300_x253983.721_y3365002.517,1|2|3,4|5|3,1600|1283|1622,5000|5000|5000,0,0,1,cw_s200_x253783.721_y3364802.517|cw_s500_x254008.721_y3364877.517|cw_s300_x253983.721_y3364777.517,cw_s500_x254008.721_y3364877.517
g02_roma,q_003,coarse_raw_top3,3,cw_s300_x253983.721_y3364552.517|cw_s200_x254833.721_y3365102.517|cw_s500_x254008.721_y3364502.517,1|2|3,7|17|8,1127|89|894,5000|5000|5000,1,1,1,cw_s200_x253933.721_y3364652.517|cw_s300_x253983.721_y3364552.517|cw_s500_x254008.721_y3364502.517,cw_s500_x254008.721_y3364502.517
g02_roma,q_004,coarse_raw_top3,3,cw_s300_x254433.721_y3364102.517|cw_s500_x254383.721_y3364127.517|cw_s300_x254658.721_y3364327.517,1|2|3,3|6|4,1371|883|1066,5000|5000|5000,1,1,1,cw_s200_x254383.721_y3364052.517|cw_s300_x254433.721_y3364102.517|cw_s500_x254383.721_y3364127.517,cw_s500_x254383.721_y3364127.517
g02_roma,q_021,coarse_raw_top3,3,cw_s300_x254883.721_y3364102.517|cw_s300_x254883.721_y3364327.517|cw_s300_x255108.721_y3364327.517,1|2|3,9|3|13,2022|2488|1548,5000|5000|5000,1,0,1,cw_s200_x254983.721_y3364052.517|cw_s200_x254983.721_y3364202.517|cw_s300_x254883.721_y3364102.517|cw_s300_x255108.721_y3364102.517|cw_s500_x254758.721_y3364127.517,cw_s500_x254758.721_y3364127.517
g02_roma,q_001,coarse_raw_top5,5,cw_s300_x254883.721_y3365002.517|cw_s200_x253783.721_y3364952.517|cw_s200_x254083.721_y3365102.517|cw_s300_x255108.721_y3364327.517|cw_s300_x254658.721_y3364102.517,1|2|3|4|5,17|1|5|9|19,35|2655|144|81|20,5000|5000|5000|5000|5000,1,1,1,cw_s200_x253783.721_y3364952.517,cw_s200_x253783.721_y3364952.517
g02_roma,q_002,coarse_raw_top5,5,cw_s200_x253933.721_y3364802.517|cw_s500_x254008.721_y3364502.517|cw_s300_x253983.721_y3365002.517|cw_s200_x254233.721_y3364052.517|cw_s300_x254658.721_y3365227.517,1|2|3|4|5,4|5|3|11|16,1600|1283|1622|129|63,5000|5000|5000|5000|5000,0,0,1,cw_s200_x253783.721_y3364802.517|cw_s500_x254008.721_y3364877.517|cw_s300_x253983.721_y3364777.517,cw_s500_x254008.721_y3364877.517
g02_roma,q_003,coarse_raw_top5,5,cw_s300_x253983.721_y3364552.517|cw_s200_x254833.721_y3365102.517|cw_s500_x254008.721_y3364502.517|cw_s200_x254833.721_y3365252.517|cw_s300_x254883.721_y3365227.517,1|2|3|4|5,7|17|8|12|15,1127|89|894|182|149,5000|5000|5000|5000|5000,1,1,1,cw_s200_x253933.721_y3364652.517|cw_s300_x253983.721_y3364552.517|cw_s500_x254008.721_y3364502.517,cw_s500_x254008.721_y3364502.517
g02_roma,q_004,coarse_raw_top5,5,cw_s300_x254433.721_y3364102.517|cw_s500_x254383.721_y3364127.517|cw_s300_x254658.721_y3364327.517|cw_s300_x254658.721_y3364777.517|cw_s500_x254008.721_y3364877.517,1|2|3|4|5,3|6|4|8|17,1371|883|1066|70|22,5000|5000|5000|5000|5000,1,1,1,cw_s200_x254383.721_y3364052.517|cw_s300_x254433.721_y3364102.517|cw_s500_x254383.721_y3364127.517,cw_s500_x254383.721_y3364127.517
g02_roma,q_021,coarse_raw_top5,5,cw_s300_x254883.721_y3364102.517|cw_s300_x254883.721_y3364327.517|cw_s300_x255108.721_y3364327.517|cw_s200_x254983.721_y3364352.517|cw_s500_x254758.721_y3364127.517,1|2|3|4|5,9|3|13|4|15,2022|2488|1548|2464|1242,5000|5000|5000|5000|5000,1,1,1,cw_s200_x254983.721_y3364052.517|cw_s200_x254983.721_y3364202.517|cw_s300_x254883.721_y3364102.517|cw_s300_x255108.721_y3364102.517|cw_s500_x254758.721_y3364127.517,cw_s500_x254758.721_y3364127.517
g02_roma,q_001,coarse_raw_top10,10,cw_s300_x254883.721_y3365002.517|cw_s200_x253783.721_y3364952.517|cw_s200_x254083.721_y3365102.517|cw_s300_x255108.721_y3364327.517|cw_s300_x254658.721_y3364102.517|cw_s200_x254683.721_y3364052.517|cw_s200_x255133.721_y3364202.517|cw_s200_x254233.721_y3364052.517|cw_s200_x254983.721_y3364352.517|cw_s300_x255108.721_y3364102.517,1|2|3|4|5|6|7|8|9|10,17|1|5|9|19|3|8|7|11|14,35|2655|144|81|20|154|91|92|76|50,5000|5000|5000|5000|5000|5000|5000|5000|5000|5000,1,1,1,cw_s200_x253783.721_y3364952.517,cw_s200_x253783.721_y3364952.517
g02_roma,q_002,coarse_raw_top10,10,cw_s200_x253933.721_y3364802.517|cw_s500_x254008.721_y3364502.517|cw_s300_x253983.721_y3365002.517|cw_s200_x254233.721_y3364052.517|cw_s300_x254658.721_y3365227.517|cw_s200_x253933.721_y3364352.517|cw_s500_x254008.721_y3364877.517|cw_s300_x254208.721_y3365002.517|cw_s500_x254758.721_y3364877.517|cw_s300_x255108.721_y3365227.517,1|2|3|4|5|6|7|8|9|10,4|5|3|11|16|9|6|18|19|17,1600|1283|1622|129|63|294|1174|35|32|36,5000|5000|5000|5000|5000|5000|5000|5000|5000|5000,1,1,1,cw_s200_x253783.721_y3364802.517|cw_s500_x254008.721_y3364877.517|cw_s300_x253983.721_y3364777.517,cw_s500_x254008.721_y3364877.517
g02_roma,q_003,coarse_raw_top10,10,cw_s300_x253983.721_y3364552.517|cw_s200_x254833.721_y3365102.517|cw_s500_x254008.721_y3364502.517|cw_s200_x254833.721_y3365252.517|cw_s300_x254883.721_y3365227.517|cw_s200_x253933.721_y3364502.517|cw_s300_x254208.721_y3365002.517|cw_s200_x254083.721_y3364652.517|cw_s200_x254683.721_y3365252.517|cw_s300_x254208.721_y3365227.517,1|2|3|4|5|6|7|8|9|10,7|17|8|12|15|3|14|9|11|19,1127|89|894|182|149|1602|171|765|192|26,5000|5000|5000|5000|5000|5000|5000|5000|5000|5000,1,1,1,cw_s200_x253933.721_y3364652.517|cw_s300_x253983.721_y3364552.517|cw_s500_x254008.721_y3364502.517,cw_s500_x254008.721_y3364502.517
g02_roma,q_004,coarse_raw_top10,10,cw_s300_x254433.721_y3364102.517|cw_s500_x254383.721_y3364127.517|cw_s300_x254658.721_y3364327.517|cw_s300_x254658.721_y3364777.517|cw_s500_x254008.721_y3364877.517|cw_s300_x254208.721_y3364777.517|cw_s200_x254683.721_y3364352.517|cw_s500_x254758.721_y3364877.517|cw_s300_x254433.721_y3364327.517|cw_s200_x254533.721_y3364052.517,1|2|3|4|5|6|7|8|9|10,3|6|4|8|17|13|7|16|5|2,1371|883|1066|70|22|53|248|38|893|1437,5000|5000|5000|5000|5000|5000|5000|5000|5000|5000,1,1,1,cw_s200_x254383.721_y3364052.517|cw_s300_x254433.721_y3364102.517|cw_s500_x254383.721_y3364127.517,cw_s500_x254383.721_y3364127.517
