query_id,flight_id,total_truth_count,k_full_truth,reached_full_truth
q_001,DJI_202510311347_009_新建面状航线1,94,1027,1
q_002,DJI_202510311347_009_新建面状航线1,45,1028,1
q_003,DJI_202510311347_009_新建面状航线1,91,1024,1
q_004,DJI_202510311347_009_新建面状航线1,48,1028,1
q_005,DJI_202510311347_009_新建面状航线1,94,1028,1
q_006,DJI_202510311347_009_新建面状航线1,56,1014,1
q_007,DJI_202510311347_009_新建面状航线1,94,1028,1
q_008,DJI_202510311347_009_新建面状航线1,99,1029,1
q_009,DJI_202510311347_009_新建面状航线1,82,1022,1
q_010,DJI_202510311347_009_新建面状航线1,49,1020,1
q_011,DJI_202510311413_010_新建面状航线1,47,1019,1
q_012,DJI_202510311413_010_新建面状航线1,89,1022,1
q_013,DJI_202510311413_010_新建面状航线1,54,1022,1
q_014,DJI_202510311413_010_新建面状航线1,97,1025,1
q_015,DJI_202510311413_010_新建面状航线1,48,1016,1
q_016,DJI_202510311413_010_新建面状航线1,85,1026,1
q_017,DJI_202510311413_010_新建面状航线1,41,1018,1
q_018,DJI_202510311413_010_新建面状航线1,94,1028,1
q_019,DJI_202510311413_010_新建面状航线1,97,1029,1
q_020,DJI_202510311413_010_新建面状航线1,85,1027,1
q_021,DJI_202510311435_011_新建面状航线1,74,1029,1
q_022,DJI_202510311435_011_新建面状航线1,84,1029,1
q_023,DJI_202510311435_011_新建面状航线1,94,1029,1
q_024,DJI_202510311435_011_新建面状航线1,96,1029,1
q_025,DJI_202510311435_011_新建面状航线1,90,1021,1
q_026,DJI_202510311435_011_新建面状航线1,92,1021,1
q_027,DJI_202510311435_011_新建面状航线1,100,1029,1
q_028,DJI_202510311435_011_新建面状航线1,98,1028,1
q_029,DJI_202510311435_011_新建面状航线1,94,1024,1
q_030,DJI_202510311435_011_新建面状航线1,88,1018,1
q_031,DJI_202510311500_012_新建面状航线1,98,1024,1
q_032,DJI_202510311500_012_新建面状航线1,89,1014,1
q_033,DJI_202510311500_012_新建面状航线1,95,1022,1
q_034,DJI_202510311500_012_新建面状航线1,87,1029,1
q_035,DJI_202510311500_012_新建面状航线1,96,1025,1
q_036,DJI_202510311500_012_新建面状航线1,87,1020,1
q_037,DJI_202510311500_012_新建面状航线1,82,1020,1
q_038,DJI_202510311500_012_新建面状航线1,89,1011,1
q_039,DJI_202510311500_012_新建面状航线1,92,1023,1
q_040,DJI_202510311500_012_新建面状航线1,97,1026,1
