query_id,flight_id,rank1_tile_id,rank1_rank,strict_hit,inlier_count,match_count,inlier_ratio,png_path
q_001,DJI_202510311347_009_新建面状航线1,s200_x253646.869_y3365287.480,1,0,4,17,0.235294,/mnt/d/aiproject/imagematch/newoutput/lightglue_rank1_inlier_viz_2026-03-24/figures_rank1_40/q_001_rank1_inliers.png
q_002,DJI_202510311347_009_新建面状航线1,s300_x253696.869_y3365187.480,1,0,4,11,0.363636,/mnt/d/aiproject/imagematch/newoutput/lightglue_rank1_inlier_viz_2026-03-24/figures_rank1_40/q_002_rank1_inliers.png
q_003,DJI_202510311347_009_新建面状航线1,s200_x254675.317_y3364045.530,1,0,4,28,0.142857,/mnt/d/aiproject/imagematch/newoutput/lightglue_rank1_inlier_viz_2026-03-24/figures_rank1_40/q_003_rank1_inliers.png
q_004,DJI_202510311347_009_新建面状航线1,s200_x254297.293_y3364057.454,1,0,5,19,0.263158,/mnt/d/aiproject/imagematch/newoutput/lightglue_rank1_inlier_viz_2026-03-24/figures_rank1_40/q_004_rank1_inliers.png
q_005,DJI_202510311347_009_新建面状航线1,s200_x254675.317_y3364345.530,1,0,5,19,0.263158,/mnt/d/aiproject/imagematch/newoutput/lightglue_rank1_inlier_viz_2026-03-24/figures_rank1_40/q_005_rank1_inliers.png
q_006,DJI_202510311347_009_新建面状航线1,s300_x254422.293_y3364407.454,1,0,4,4,1.000000,/mnt/d/aiproject/imagematch/newoutput/lightglue_rank1_inlier_viz_2026-03-24/figures_rank1_40/q_006_rank1_inliers.png
q_007,DJI_202510311347_009_新建面状航线1,s300_x254436.063_y3364566.491,1,0,4,11,0.363636,/mnt/d/aiproject/imagematch/newoutput/lightglue_rank1_inlier_viz_2026-03-24/figures_rank1_40/q_007_rank1_inliers.png
q_008,DJI_202510311347_009_新建面状航线1,s300_x254766.545_y3365997.637,1,0,4,19,0.210526,/mnt/d/aiproject/imagematch/newoutput/lightglue_rank1_inlier_viz_2026-03-24/figures_rank1_40/q_008_rank1_inliers.png
q_009,DJI_202510311347_009_新建面状航线1,s200_x254297.293_y3364057.454,1,0,4,15,0.266667,/mnt/d/aiproject/imagematch/newoutput/lightglue_rank1_inlier_viz_2026-03-24/figures_rank1_40/q_009_rank1_inliers.png
q_010,DJI_202510311347_009_新建面状航线1,s300_x254950.317_y3364170.530,1,1,4,31,0.129032,/mnt/d/aiproject/imagematch/newoutput/lightglue_rank1_inlier_viz_2026-03-24/figures_rank1_40/q_010_rank1_inliers.png
q_011,DJI_202510311413_010_新建面状航线1,s300_x254950.317_y3364170.530,1,1,4,22,0.181818,/mnt/d/aiproject/imagematch/newoutput/lightglue_rank1_inlier_viz_2026-03-24/figures_rank1_40/q_011_rank1_inliers.png
q_012,DJI_202510311413_010_新建面状航线1,s500_x254672.293_y3364057.454,1,0,4,4,1.000000,/mnt/d/aiproject/imagematch/newoutput/lightglue_rank1_inlier_viz_2026-03-24/figures_rank1_40/q_012_rank1_inliers.png
q_013,DJI_202510311413_010_新建面状航线1,s500_x253783.067_y3364678.442,1,0,4,12,0.333333,/mnt/d/aiproject/imagematch/newoutput/lightglue_rank1_inlier_viz_2026-03-24/figures_rank1_40/q_013_rank1_inliers.png
q_014,DJI_202510311413_010_新建面状航线1,s500_x253783.067_y3364678.442,1,0,4,14,0.285714,/mnt/d/aiproject/imagematch/newoutput/lightglue_rank1_inlier_viz_2026-03-24/figures_rank1_40/q_014_rank1_inliers.png
q_015,DJI_202510311413_010_新建面状航线1,s200_x253418.902_y3365449.458,1,0,4,4,1.000000,/mnt/d/aiproject/imagematch/newoutput/lightglue_rank1_inlier_viz_2026-03-24/figures_rank1_40/q_015_rank1_inliers.png
q_016,DJI_202510311413_010_新建面状航线1,s700_x255453.340_y3364133.631,1,1,4,11,0.363636,/mnt/d/aiproject/imagematch/newoutput/lightglue_rank1_inlier_viz_2026-03-24/figures_rank1_40/q_016_rank1_inliers.png
q_017,DJI_202510311413_010_新建面状航线1,s200_x254852.800_y3365263.601,1,0,5,18,0.277778,/mnt/d/aiproject/imagematch/newoutput/lightglue_rank1_inlier_viz_2026-03-24/figures_rank1_40/q_017_rank1_inliers.png
q_018,DJI_202510311413_010_新建面状航线1,s300_x253908.067_y3364803.442,1,0,4,23,0.173913,/mnt/d/aiproject/imagematch/newoutput/lightglue_rank1_inlier_viz_2026-03-24/figures_rank1_40/q_018_rank1_inliers.png
q_019,DJI_202510311413_010_新建面状航线1,s300_x254766.545_y3365997.637,1,0,5,18,0.277778,/mnt/d/aiproject/imagematch/newoutput/lightglue_rank1_inlier_viz_2026-03-24/figures_rank1_40/q_019_rank1_inliers.png
q_020,DJI_202510311413_010_新建面状航线1,s200_x254324.835_y3365125.528,1,0,4,9,0.444444,/mnt/d/aiproject/imagematch/newoutput/lightglue_rank1_inlier_viz_2026-03-24/figures_rank1_40/q_020_rank1_inliers.png
q_021,DJI_202510311435_011_新建面状航线1,s200_x254324.835_y3365125.528,1,0,4,16,0.250000,/mnt/d/aiproject/imagematch/newoutput/lightglue_rank1_inlier_viz_2026-03-24/figures_rank1_40/q_021_rank1_inliers.png
q_022,DJI_202510311435_011_新建面状航线1,s300_x254436.063_y3364791.491,1,0,5,15,0.333333,/mnt/d/aiproject/imagematch/newoutput/lightglue_rank1_inlier_viz_2026-03-24/figures_rank1_40/q_022_rank1_inliers.png
q_023,DJI_202510311435_011_新建面状航线1,s200_x254461.063_y3364816.491,1,0,4,21,0.190476,/mnt/d/aiproject/imagematch/newoutput/lightglue_rank1_inlier_viz_2026-03-24/figures_rank1_40/q_023_rank1_inliers.png
q_024,DJI_202510311435_011_新建面状航线1,s200_x254311.063_y3364966.491,1,0,4,17,0.235294,/mnt/d/aiproject/imagematch/newoutput/lightglue_rank1_inlier_viz_2026-03-24/figures_rank1_40/q_024_rank1_inliers.png
q_025,DJI_202510311435_011_新建面状航线1,s200_x254324.835_y3365125.528,1,0,4,12,0.333333,/mnt/d/aiproject/imagematch/newoutput/lightglue_rank1_inlier_viz_2026-03-24/figures_rank1_40/q_025_rank1_inliers.png
q_026,DJI_202510311435_011_新建面状航线1,s200_x254324.835_y3365125.528,1,0,4,11,0.363636,/mnt/d/aiproject/imagematch/newoutput/lightglue_rank1_inlier_viz_2026-03-24/figures_rank1_40/q_026_rank1_inliers.png
q_027,DJI_202510311435_011_新建面状航线1,s700_x254397.293_y3364157.454,1,0,4,17,0.235294,/mnt/d/aiproject/imagematch/newoutput/lightglue_rank1_inlier_viz_2026-03-24/figures_rank1_40/q_027_rank1_inliers.png
q_028,DJI_202510311435_011_新建面状航线1,s500_x254297.293_y3364432.454,1,0,4,11,0.363636,/mnt/d/aiproject/imagematch/newoutput/lightglue_rank1_inlier_viz_2026-03-24/figures_rank1_40/q_028_rank1_inliers.png
q_029,DJI_202510311435_011_新建面状航线1,s200_x254675.317_y3364045.530,1,0,5,17,0.294118,/mnt/d/aiproject/imagematch/newoutput/lightglue_rank1_inlier_viz_2026-03-24/figures_rank1_40/q_029_rank1_inliers.png
