flight_id,flight_tag,query_id,rank,candidate_tile_id,is_intersection_truth_hit,match_count,inlier_count,inlier_ratio,fused_score,global_score,candidate_scale_level_m,query_path,tile_path,out_path
DJI_202510311347_009_新建面状航线1,009,q_001,1,s200_x253646.869_y3365287.480,1,17,4,0.235294,0.5897058823529412,0.7206888794898987,200.0,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135154_0001_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s200_x253646.869_y3365287.480.png,/mnt/d/aiproject/imagematch/newoutput/lightglue_top10_inlier_viz_2026-03-26/figures/DJI_202510311347_009_新建面状航线1/q_001/rank01_s200_x253646.869_y3365287.480.png
DJI_202510311347_009_新建面状航线1,009,q_001,2,s300_x253696.869_y3365187.480,1,14,4,0.285714,0.5828659448823708,0.7184687256813049,300.0,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135154_0001_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s300_x253696.869_y3365187.480.png,/mnt/d/aiproject/imagematch/newoutput/lightglue_top10_inlier_viz_2026-03-26/figures/DJI_202510311347_009_新建面状航线1/q_001/rank02_s300_x253696.869_y3365187.480.png
DJI_202510311347_009_新建面状航线1,009,q_001,3,s700_x253883.067_y3364778.442,1,21,4,0.190476,0.5623825356324667,0.7165505886077881,700.0,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135154_0001_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s700_x253883.067_y3364778.442.png,/mnt/d/aiproject/imagematch/newoutput/lightglue_top10_inlier_viz_2026-03-26/figures/DJI_202510311347_009_新建面状航线1/q_001/rank03_s700_x253883.067_y3364778.442.png
DJI_202510311347_009_新建面状航线1,009,q_001,4,s300_x253908.067_y3364803.442,1,8,4,0.500000,0.5259222193808368,0.7039330005645752,300.0,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135154_0001_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s300_x253908.067_y3364803.442.png,/mnt/d/aiproject/imagematch/newoutput/lightglue_top10_inlier_viz_2026-03-26/figures/DJI_202510311347_009_新建面状航线1/q_001/rank04_s300_x253908.067_y3364803.442.png
DJI_202510311347_009_新建面状航线1,009,q_001,5,s500_x253783.067_y3364678.442,1,17,4,0.235294,0.5088431291427412,0.7058935165405273,500.0,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135154_0001_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s500_x253783.067_y3364678.442.png,/mnt/d/aiproject/imagematch/newoutput/lightglue_top10_inlier_viz_2026-03-26/figures/DJI_202510311347_009_新建面状航线1/q_001/rank05_s500_x253783.067_y3364678.442.png
DJI_202510311347_009_新建面状航线1,009,q_001,6,s200_x253933.067_y3364978.442,1,14,4,0.285714,0.5025465659187398,0.703772783279419,200.0,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135154_0001_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s200_x253933.067_y3364978.442.png,/mnt/d/aiproject/imagematch/newoutput/lightglue_top10_inlier_viz_2026-03-26/figures/DJI_202510311347_009_新建面状航线1/q_001/rank06_s200_x253933.067_y3364978.442.png
DJI_202510311347_009_新建面状航线1,009,q_001,7,s200_x254174.835_y3365575.528,0,17,4,0.235294,0.4572124770366366,0.6964467167854309,200.0,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135154_0001_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s200_x254174.835_y3365575.528.png,/mnt/d/aiproject/imagematch/newoutput/lightglue_top10_inlier_viz_2026-03-26/figures/DJI_202510311347_009_新建面状航线1/q_001/rank07_s200_x254174.835_y3365575.528.png
DJI_202510311347_009_新建面状航线1,009,q_001,8,s300_x253908.067_y3365028.442,1,17,4,0.235294,0.4497443387856795,0.6950802803039551,300.0,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135154_0001_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s300_x253908.067_y3365028.442.png,/mnt/d/aiproject/imagematch/newoutput/lightglue_top10_inlier_viz_2026-03-26/figures/DJI_202510311347_009_新建面状航线1/q_001/rank08_s300_x253908.067_y3365028.442.png
DJI_202510311347_009_新建面状航线1,009,q_001,9,s200_x253933.067_y3364828.442,1,10,4,0.400000,0.44191000364041205,0.6904825568199158,200.0,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135154_0001_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s200_x253933.067_y3364828.442.png,/mnt/d/aiproject/imagematch/newoutput/lightglue_top10_inlier_viz_2026-03-26/figures/DJI_202510311347_009_新建面状航线1/q_001/rank09_s200_x253933.067_y3364828.442.png
DJI_202510311347_009_新建面状航线1,009,q_001,10,s200_x253796.869_y3365287.480,1,12,4,0.333333,0.4146823435131849,0.6867815256118774,200.0,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311347_009_新建面状航线1/DJI_20251031135154_0001_V.JPG,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s200_x253796.869_y3365287.480.png,/mnt/d/aiproject/imagematch/newoutput/lightglue_top10_inlier_viz_2026-03-26/figures/DJI_202510311347_009_新建面状航线1/q_001/rank10_s200_x253796.869_y3365287.480.png
