tile_id,scale_level_m,tile_size_m,image_path,source_tif,pixel_col_off,pixel_row_off,pixel_width,pixel_height,center_x,center_y,min_x,min_y,max_x,max_y,affine
s80_x253372.736_y3365697.942,80,80.0,/mnt/d/aiproject/imagematch/output/stage1/tiles_80_120_200/s80_x253372.736_y3365697.942.png,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_69-86.tif,538,972,144,144,253372.73571264104,3365697.941804805,253332.73571264104,3365657.941804805,253412.73571264104,3365737.941804805,"[0.5567041177487999, 0.0, 253332.2425279899, 0.0, -0.5567041177487999, 3365738.1071977606]"
s80_x253372.736_y3365757.942,80,80.0,/mnt/d/aiproject/imagematch/output/stage1/tiles_80_120_200/s80_x253372.736_y3365757.942.png,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_69-86.tif,538,864,144,144,253372.73571264104,3365757.941804805,253332.73571264104,3365717.941804805,253412.73571264104,3365797.941804805,"[0.5567041177487999, 0.0, 253332.2425279899, 0.0, -0.5567041177487999, 3365798.2312424774]"
s80_x253372.736_y3365817.942,80,80.0,/mnt/d/aiproject/imagematch/output/stage1/tiles_80_120_200/s80_x253372.736_y3365817.942.png,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_69-86.tif,538,756,144,144,253372.73571264104,3365817.941804805,253332.73571264104,3365777.941804805,253412.73571264104,3365857.941804805,"[0.5567041177487999, 0.0, 253332.2425279899, 0.0, -0.5567041177487999, 3365858.3552871943]"
s80_x253372.736_y3365877.942,80,80.0,/mnt/d/aiproject/imagematch/output/stage1/tiles_80_120_200/s80_x253372.736_y3365877.942.png,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_69-86.tif,538,649,144,144,253372.73571264104,3365877.941804805,253332.73571264104,3365837.941804805,253412.73571264104,3365917.941804805,"[0.5567041177487999, 0.0, 253332.2425279899, 0.0, -0.5567041177487999, 3365917.9226277936]"
s80_x253372.736_y3365937.942,80,80.0,/mnt/d/aiproject/imagematch/output/stage1/tiles_80_120_200/s80_x253372.736_y3365937.942.png,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_69-86.tif,538,541,144,144,253372.73571264104,3365937.941804805,253332.73571264104,3365897.941804805,253412.73571264104,3365977.941804805,"[0.5567041177487999, 0.0, 253332.2425279899, 0.0, -0.5567041177487999, 3365978.0466725104]"
s80_x253372.736_y3365997.942,80,80.0,/mnt/d/aiproject/imagematch/output/stage1/tiles_80_120_200/s80_x253372.736_y3365997.942.png,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_69-86.tif,538,433,144,144,253372.73571264104,3365997.941804805,253332.73571264104,3365957.941804805,253412.73571264104,3366037.941804805,"[0.5567041177487999, 0.0, 253332.2425279899, 0.0, -0.5567041177487999, 3366038.1707172273]"
s80_x253372.736_y3366057.942,80,80.0,/mnt/d/aiproject/imagematch/output/stage1/tiles_80_120_200/s80_x253372.736_y3366057.942.png,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_69-86.tif,538,325,144,144,253372.73571264104,3366057.941804805,253332.73571264104,3366017.941804805,253412.73571264104,3366097.941804805,"[0.5567041177487999, 0.0, 253332.2425279899, 0.0, -0.5567041177487999, 3366098.294761944]"
s80_x253432.736_y3365697.942,80,80.0,/mnt/d/aiproject/imagematch/output/stage1/tiles_80_120_200/s80_x253432.736_y3365697.942.png,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_69-86.tif,646,972,144,144,253432.73571264104,3365697.941804805,253392.73571264104,3365657.941804805,253472.73571264104,3365737.941804805,"[0.5567041177487999, 0.0, 253392.36657270676, 0.0, -0.5567041177487999, 3365738.1071977606]"
s80_x253432.736_y3365757.942,80,80.0,/mnt/d/aiproject/imagematch/output/stage1/tiles_80_120_200/s80_x253432.736_y3365757.942.png,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_69-86.tif,646,864,144,144,253432.73571264104,3365757.941804805,253392.73571264104,3365717.941804805,253472.73571264104,3365797.941804805,"[0.5567041177487999, 0.0, 253392.36657270676, 0.0, -0.5567041177487999, 3365798.2312424774]"
s80_x253432.736_y3365817.942,80,80.0,/mnt/d/aiproject/imagematch/output/stage1/tiles_80_120_200/s80_x253432.736_y3365817.942.png,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_69-86.tif,646,756,144,144,253432.73571264104,3365817.941804805,253392.73571264104,3365777.941804805,253472.73571264104,3365857.941804805,"[0.5567041177487999, 0.0, 253392.36657270676, 0.0, -0.5567041177487999, 3365858.3552871943]"
