tile_id,image_path,status
s80_x253372.736_y3365697.942,/mnt/d/aiproject/imagematch/output/stage1/tiles_80_120_200/s80_x253372.736_y3365697.942.png,ok
s80_x253372.736_y3365757.942,/mnt/d/aiproject/imagematch/output/stage1/tiles_80_120_200/s80_x253372.736_y3365757.942.png,ok
s80_x253372.736_y3365817.942,/mnt/d/aiproject/imagematch/output/stage1/tiles_80_120_200/s80_x253372.736_y3365817.942.png,ok
s80_x253372.736_y3365877.942,/mnt/d/aiproject/imagematch/output/stage1/tiles_80_120_200/s80_x253372.736_y3365877.942.png,ok
s80_x253372.736_y3365937.942,/mnt/d/aiproject/imagematch/output/stage1/tiles_80_120_200/s80_x253372.736_y3365937.942.png,ok
s80_x253372.736_y3365997.942,/mnt/d/aiproject/imagematch/output/stage1/tiles_80_120_200/s80_x253372.736_y3365997.942.png,ok
s80_x253372.736_y3366057.942,/mnt/d/aiproject/imagematch/output/stage1/tiles_80_120_200/s80_x253372.736_y3366057.942.png,ok
s80_x253432.736_y3365697.942,/mnt/d/aiproject/imagematch/output/stage1/tiles_80_120_200/s80_x253432.736_y3365697.942.png,ok
s80_x253432.736_y3365757.942,/mnt/d/aiproject/imagematch/output/stage1/tiles_80_120_200/s80_x253432.736_y3365757.942.png,ok
s80_x253432.736_y3365817.942,/mnt/d/aiproject/imagematch/output/stage1/tiles_80_120_200/s80_x253432.736_y3365817.942.png,ok
s80_x253432.736_y3365877.942,/mnt/d/aiproject/imagematch/output/stage1/tiles_80_120_200/s80_x253432.736_y3365877.942.png,ok
s80_x253432.736_y3365937.942,/mnt/d/aiproject/imagematch/output/stage1/tiles_80_120_200/s80_x253432.736_y3365937.942.png,ok
s80_x253432.736_y3365997.942,/mnt/d/aiproject/imagematch/output/stage1/tiles_80_120_200/s80_x253432.736_y3365997.942.png,ok
s80_x253432.736_y3366057.942,/mnt/d/aiproject/imagematch/output/stage1/tiles_80_120_200/s80_x253432.736_y3366057.942.png,ok
