query_id,flight_id,image_name,query_image_path,query_x,query_y,query_crs,coverage_threshold,footprint_core_ratio,footprint_area_m2,truth_count_total,truth_count_200m,truth_count_300m,truth_count_500m,truth_count_700m
q_001,DJI_202510311347_009_新建面状航线1,DJI_20251031135154_0001_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311347_009_新建面状航线1/DJI_20251031135154_0001_V.JPG,253508.984,3365352.320,EPSG:32650,0.40,0.60,262962.247,8,0,0,3,5
q_002,DJI_202510311347_009_新建面状航线1,DJI_20251031135226_0007_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311347_009_新建面状航线1/DJI_20251031135226_0007_V.JPG,253726.527,3364940.577,EPSG:32650,0.40,0.60,75041.775,14,1,3,4,6
q_003,DJI_202510311347_009_新建面状航线1,DJI_20251031135420_0058_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311347_009_新建面状航线1/DJI_20251031135420_0058_V.JPG,254524.168,3363429.313,EPSG:32650,0.40,0.60,261184.727,12,0,0,4,8
q_004,DJI_202510311347_009_新建面状航线1,DJI_20251031135820_0137_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311347_009_新建面状航线1/DJI_20251031135820_0137_V.JPG,254126.101,3364636.042,EPSG:32650,0.40,0.60,75029.719,16,2,2,4,8
q_005,DJI_202510311347_009_新建面状航线1,DJI_20251031135821_0139_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311347_009_新建面状航线1/DJI_20251031135821_0139_V.JPG,254138.099,3364613.284,EPSG:32650,0.40,0.60,262980.614,10,0,0,2,8
q_006,DJI_202510311347_009_新建面状航线1,DJI_20251031140416_0270_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311347_009_新建面状航线1/DJI_20251031140416_0270_V.JPG,254538.917,3364306.562,EPSG:32650,0.40,0.60,75044.232,11,1,3,3,4
q_007,DJI_202510311347_009_新建面状航线1,DJI_20251031140436_0280_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311347_009_新建面状航线1/DJI_20251031140436_0280_V.JPG,254677.995,3364043.018,EPSG:32650,0.40,0.60,261238.053,11,0,0,3,8
q_008,DJI_202510311347_009_新建面状航线1,DJI_20251031140819_0350_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311347_009_新建面状航线1/DJI_20251031140819_0350_V.JPG,254179.882,3365439.550,EPSG:32650,0.40,0.60,263051.261,12,0,0,4,8
q_009,DJI_202510311347_009_新建面状航线1,DJI_20251031141120_0411_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311347_009_新建面状航线1/DJI_20251031141120_0411_V.JPG,255046.770,3364023.024,EPSG:32650,0.40,0.60,262984.852,12,0,0,4,8
q_010,DJI_202510311347_009_新建面状航线1,DJI_20251031141125_0412_V.JPG,/mnt/d/数据/武汉影像/挑选无人机0.1m/DJI_202510311347_009_新建面状航线1/DJI_20251031141125_0412_V.JPG,255007.953,3364096.456,EPSG:32650,0.40,0.60,75040.968,10,1,3,2,4
