query_id,tile_id,tile_size_m,source_tif,image_path,center_x,center_y,min_x,min_y,max_x,max_y,coverage_ratio,intersection_area_m2,contains_query_center,is_truth_cov_0_4
q_001,s500_x253630.070_y3365065.419,500.0,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_71-86.tif,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s500_x253630.070_y3365065.419.png,253630.07017110073,3365065.4188417904,253380.07017110073,3364815.4188417904,253880.07017110073,3365315.4188417904,0.571167,150195.287,0,1
q_001,s700_x253880.070_y3364790.419,700.0,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_71-86.tif,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s700_x253880.070_y3364790.419.png,253880.07017110073,3364790.4188417904,253530.07017110073,3364440.4188417904,254230.07017110073,3365140.4188417904,0.860649,226318.091,0,1
q_001,s500_x253783.067_y3364678.442,500.0,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_71-87.tif,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s500_x253783.067_y3364678.442.png,253783.06710738334,3364678.4419510043,253533.06710738334,3364428.4419510043,254033.06710738334,3364928.4419510043,0.453822,119338.072,0,1
q_001,s500_x253783.067_y3365053.442,500.0,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_71-87.tif,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s500_x253783.067_y3365053.442.png,253783.06710738334,3365053.4419510043,253533.06710738334,3364803.4419510043,254033.06710738334,3365303.4419510043,0.687348,180746.546,0,1
q_001,s700_x253883.067_y3364778.442,700.0,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_71-87.tif,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s700_x253883.067_y3364778.442.png,253883.06710738334,3364778.4419510043,253533.06710738334,3364428.4419510043,254233.06710738334,3365128.4419510043,0.840085,220910.663,0,1
q_001,s700_x253883.067_y3365303.442,700.0,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_71-87.tif,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s700_x253883.067_y3365303.442.png,253883.06710738334,3365303.4419510043,253533.06710738334,3364953.4419510043,254233.06710738334,3365653.4419510043,0.407273,107097.405,0,1
q_001,s700_x253866.241_y3364706.380,700.0,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_72-86.tif,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s700_x253866.241_y3364706.380.png,253866.240806092,3364706.379625299,253516.240806092,3364356.379625299,254216.240806092,3365056.379625299,0.746340,196259.298,0,1
q_001,s700_x253869.267_y3364694.404,700.0,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_72-87.tif,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s700_x253869.267_y3364694.404.png,253869.2673646185,3364694.404020838,253519.2673646185,3364344.404020838,254219.2673646185,3365044.404020838,0.722781,190064.044,0,1
q_002,s300_x253605.070_y3364815.419,300.0,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_71-86.tif,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s300_x253605.070_y3364815.419.png,253605.07017110073,3364815.4188417904,253455.07017110073,3364665.4188417904,253755.07017110073,3364965.4188417904,0.411370,30869.967,1,1
q_002,s500_x253630.070_y3364690.419,500.0,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_71-86.tif,/mnt/d/aiproject/imagematch/output/coverage_truth_200_300_500_700_dinov2_baseline/fixed_satellite_library/tiles_native/s500_x253630.070_y3364690.419.png,253630.07017110073,3364690.4188417904,253380.07017110073,3364440.4188417904,253880.07017110073,3364940.4188417904,0.480260,36039.537,0,1
