query_id,flight_id,image_path,truth_tile_ids,center_x,center_y
q_011,DJI_202510311413_010_新建面状航线1,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311413_010_新建面状航线1/DJI_20251031141624_0001_V.JPG,s200_x254975.317_y3364045.530|s200_x254975.317_y3364195.530|s300_x254950.317_y3364170.530|s500_x254825.317_y3364045.530|s700_x254925.317_y3364145.530,254989.977,3364130.696
q_012,DJI_202510311413_010_新建面状航线1,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311413_010_新建面状航线1/DJI_20251031141629_0004_V.JPG,s700_x254411.063_y3364766.491|s500_x254839.058_y3364654.565|s700_x254939.058_y3364754.565,254974.784,3364159.340
q_013,DJI_202510311413_010_新建面状航线1,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311413_010_新建面状航线1/DJI_20251031142002_0086_V.JPG,s200_x254839.058_y3364504.565|s200_x254989.058_y3364504.565|s300_x254964.058_y3364554.565|s500_x254839.058_y3364654.565|s700_x254939.058_y3364754.565|s700_x254925.317_y3364145.530,254913.927,3364501.354
q_014,DJI_202510311413_010_新建面状航线1,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311413_010_新建面状航线1/DJI_20251031142134_0111_V.JPG,s700_x254939.058_y3364754.565|s700_x254925.317_y3364145.530,255320.921,3363956.125
q_015,DJI_202510311413_010_新建面状航线1,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311413_010_新建面状航线1/DJI_20251031142446_0178_V.JPG,s200_x254852.800_y3365113.601|s300_x254752.800_y3365163.601|s300_x254977.800_y3365163.601|s500_x254852.800_y3365263.601|s700_x254952.800_y3365363.601|s700_x254939.058_y3364754.565,254826.586,3365119.640
q_016,DJI_202510311413_010_新建面状航线1,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311413_010_新建面状航线1/DJI_20251031142616_0221_V.JPG,s700_x254925.317_y3364145.530|s700_x255453.340_y3364133.631,255457.334,3363924.407
q_017,DJI_202510311413_010_新建面状航线1,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311413_010_新建面状航线1/DJI_20251031142830_0259_V.JPG,s200_x254852.800_y3365413.601|s300_x254752.800_y3365388.601|s300_x254977.800_y3365388.601|s500_x254852.800_y3365263.601|s700_x254952.800_y3365363.601,254822.004,3365354.074
q_018,DJI_202510311413_010_新建面状航线1,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311413_010_新建面状航线1/DJI_20251031143141_0283_V.JPG,s500_x253783.067_y3364678.442|s700_x253883.067_y3364778.442,253375.201,3364627.490
q_019,DJI_202510311413_010_新建面状航线1,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311413_010_新建面状航线1/DJI_20251031143227_0292_V.JPG,s500_x254324.835_y3365275.528|s700_x254424.835_y3365375.528,253992.824,3364950.167
q_020,DJI_202510311413_010_新建面状航线1,/mnt/d/aiproject/imagematch/output/query_sanitized_40_v2/images/DJI_202510311413_010_新建面状航线1/DJI_20251031143314_0307_V.JPG,s700_x253883.067_y3364778.442|s700_x254411.063_y3364766.491,254601.895,3365268.297
