query_id,rank,candidate_tile_id,score,candidate_scale_level_m,candidate_center_x,candidate_center_y,is_truth_hit
q_001,1,s120_x253953.067_y3364938.442,0.7217604517936707,120,253953.06710738334,3364938.4419510043,0
q_001,2,s200_x253646.869_y3365287.480,0.7206888794898987,200,253646.86911584332,3365287.480292981,1
q_001,3,s120_x253307.414_y3363732.341,0.717546820640564,120,253307.41371175498,3363732.340820132,0
q_001,4,s120_x253800.673_y3365796.519,0.7079296112060547,120,253800.6733898759,3365796.519046808,0
q_001,5,s120_x253231.241_y3364071.380,0.7075256705284119,120,253231.240806092,3364071.379625299,0
q_001,6,s200_x253933.067_y3364978.442,0.703772783279419,200,253933.06710738334,3364978.4419510043,0
q_001,7,s120_x253925.470_y3363270.367,0.7016598582267761,120,253925.4698876719,3363270.3665024354,0
q_001,8,s120_x253710.673_y3365706.519,0.6976239681243896,120,253710.6733898759,3365706.519046808,0
q_001,9,s120_x255474.480_y3366030.735,0.6967433094978333,120,255474.479752744,3366030.7347813593,0
q_001,10,s200_x254174.835_y3365575.528,0.6964467167854309,200,254174.83531152448,3365575.5278006354,0
q_002,1,s200_x253933.067_y3364978.442,0.8448837399482727,200,253933.06710738334,3364978.4419510043,0
q_002,2,s120_x253953.067_y3364938.442,0.8408260941505432,120,253953.06710738334,3364938.4419510043,0
q_002,3,s120_x253800.673_y3365796.519,0.8326066136360168,120,253800.6733898759,3365796.519046808,0
q_002,4,s200_x253810.673_y3365746.519,0.8315526247024536,200,253810.6733898759,3365746.519046808,0
q_002,5,s200_x256017.683_y3363412.726,0.8288541436195374,200,256017.68346681632,3363412.725988563,0
q_002,6,s200_x253905.470_y3363310.367,0.8282750248908997,200,253905.4698876719,3363310.3665024354,0
q_002,7,s200_x255717.683_y3363262.726,0.8261274099349976,200,255717.68346681632,3363262.725988563,0
q_002,8,s200_x253783.067_y3364828.442,0.8257020115852356,200,253783.06710738334,3364828.4419510043,1
q_002,9,s120_x255433.340_y3364203.631,0.821571409702301,120,255433.3403633765,3364203.6312788753,0
q_002,10,s200_x254188.610_y3365734.565,0.8210710883140564,200,254188.6099540508,3365734.565271766,0
q_003,1,s200_x254675.317_y3364045.530,0.8577292561531067,200,254675.31714087684,3364045.5298480103,0
q_003,2,s120_x254635.317_y3364125.530,0.8299902677536011,120,254635.31714087684,3364125.5298480103,0
q_003,3,s200_x254675.317_y3364195.530,0.8244737982749939,200,254675.31714087684,3364195.5298480103,0
