tile_id,scale_level_m,tile_size_m,image_path,source_tif,pixel_col_off,pixel_row_off,pixel_width,pixel_height,native_width,native_height,gsd_x_m_per_px,gsd_y_m_per_px,center_x,center_y,min_x,min_y,max_x,max_y,affine
s80_x253132.736_y3365697.942,80,80.0,/mnt/d/aiproject/imagematch/output/fixed_satellite_library_4flights_raw_multiscale_80_120_200_300/tiles_native/s80_x253132.736_y3365697.942.png,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_69-86.tif,107,972,144,144,144,144,0.5555555555555556,0.5555555555555556,253132.73571264104,3365697.941804805,253092.73571264104,3365657.941804805,253172.73571264104,3365737.941804805,"[0.5555555555555556, 0.0, 253092.73571264104, 0.0, -0.5555555555555556, 3365737.941804805]"
s80_x253132.736_y3365757.942,80,80.0,/mnt/d/aiproject/imagematch/output/fixed_satellite_library_4flights_raw_multiscale_80_120_200_300/tiles_native/s80_x253132.736_y3365757.942.png,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_69-86.tif,107,864,144,144,144,144,0.5555555555555556,0.5555555555555556,253132.73571264104,3365757.941804805,253092.73571264104,3365717.941804805,253172.73571264104,3365797.941804805,"[0.5555555555555556, 0.0, 253092.73571264104, 0.0, -0.5555555555555556, 3365797.941804805]"
s80_x253132.736_y3365817.942,80,80.0,/mnt/d/aiproject/imagematch/output/fixed_satellite_library_4flights_raw_multiscale_80_120_200_300/tiles_native/s80_x253132.736_y3365817.942.png,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_69-86.tif,107,756,144,144,144,144,0.5555555555555556,0.5555555555555556,253132.73571264104,3365817.941804805,253092.73571264104,3365777.941804805,253172.73571264104,3365857.941804805,"[0.5555555555555556, 0.0, 253092.73571264104, 0.0, -0.5555555555555556, 3365857.941804805]"
s80_x253132.736_y3365877.942,80,80.0,/mnt/d/aiproject/imagematch/output/fixed_satellite_library_4flights_raw_multiscale_80_120_200_300/tiles_native/s80_x253132.736_y3365877.942.png,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_69-86.tif,107,649,144,144,144,144,0.5555555555555556,0.5555555555555556,253132.73571264104,3365877.941804805,253092.73571264104,3365837.941804805,253172.73571264104,3365917.941804805,"[0.5555555555555556, 0.0, 253092.73571264104, 0.0, -0.5555555555555556, 3365917.941804805]"
s80_x253132.736_y3365937.942,80,80.0,/mnt/d/aiproject/imagematch/output/fixed_satellite_library_4flights_raw_multiscale_80_120_200_300/tiles_native/s80_x253132.736_y3365937.942.png,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_69-86.tif,107,541,144,144,144,144,0.5555555555555556,0.5555555555555556,253132.73571264104,3365937.941804805,253092.73571264104,3365897.941804805,253172.73571264104,3365977.941804805,"[0.5555555555555556, 0.0, 253092.73571264104, 0.0, -0.5555555555555556, 3365977.941804805]"
s80_x253132.736_y3365997.942,80,80.0,/mnt/d/aiproject/imagematch/output/fixed_satellite_library_4flights_raw_multiscale_80_120_200_300/tiles_native/s80_x253132.736_y3365997.942.png,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_69-86.tif,107,433,144,144,144,144,0.5555555555555556,0.5555555555555556,253132.73571264104,3365997.941804805,253092.73571264104,3365957.941804805,253172.73571264104,3366037.941804805,"[0.5555555555555556, 0.0, 253092.73571264104, 0.0, -0.5555555555555556, 3366037.941804805]"
s80_x253192.736_y3365697.942,80,80.0,/mnt/d/aiproject/imagematch/output/fixed_satellite_library_4flights_raw_multiscale_80_120_200_300/tiles_native/s80_x253192.736_y3365697.942.png,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_69-86.tif,215,972,144,144,144,144,0.5555555555555556,0.5555555555555556,253192.73571264104,3365697.941804805,253152.73571264104,3365657.941804805,253232.73571264104,3365737.941804805,"[0.5555555555555556, 0.0, 253152.73571264104, 0.0, -0.5555555555555556, 3365737.941804805]"
s80_x253192.736_y3365757.942,80,80.0,/mnt/d/aiproject/imagematch/output/fixed_satellite_library_4flights_raw_multiscale_80_120_200_300/tiles_native/s80_x253192.736_y3365757.942.png,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_69-86.tif,215,864,144,144,144,144,0.5555555555555556,0.5555555555555556,253192.73571264104,3365757.941804805,253152.73571264104,3365717.941804805,253232.73571264104,3365797.941804805,"[0.5555555555555556, 0.0, 253152.73571264104, 0.0, -0.5555555555555556, 3365797.941804805]"
s80_x253192.736_y3365817.942,80,80.0,/mnt/d/aiproject/imagematch/output/fixed_satellite_library_4flights_raw_multiscale_80_120_200_300/tiles_native/s80_x253192.736_y3365817.942.png,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_69-86.tif,215,756,144,144,144,144,0.5555555555555556,0.5555555555555556,253192.73571264104,3365817.941804805,253152.73571264104,3365777.941804805,253232.73571264104,3365857.941804805,"[0.5555555555555556, 0.0, 253152.73571264104, 0.0, -0.5555555555555556, 3365857.941804805]"
s80_x253192.736_y3365877.942,80,80.0,/mnt/d/aiproject/imagematch/output/fixed_satellite_library_4flights_raw_multiscale_80_120_200_300/tiles_native/s80_x253192.736_y3365877.942.png,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_69-86.tif,215,649,144,144,144,144,0.5555555555555556,0.5555555555555556,253192.73571264104,3365877.941804805,253152.73571264104,3365837.941804805,253232.73571264104,3365917.941804805,"[0.5555555555555556, 0.0, 253152.73571264104, 0.0, -0.5555555555555556, 3365917.941804805]"
s80_x253192.736_y3365937.942,80,80.0,/mnt/d/aiproject/imagematch/output/fixed_satellite_library_4flights_raw_multiscale_80_120_200_300/tiles_native/s80_x253192.736_y3365937.942.png,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_69-86.tif,215,541,144,144,144,144,0.5555555555555556,0.5555555555555556,253192.73571264104,3365937.941804805,253152.73571264104,3365897.941804805,253232.73571264104,3365977.941804805,"[0.5555555555555556, 0.0, 253152.73571264104, 0.0, -0.5555555555555556, 3365977.941804805]"
s80_x253192.736_y3365997.942,80,80.0,/mnt/d/aiproject/imagematch/output/fixed_satellite_library_4flights_raw_multiscale_80_120_200_300/tiles_native/s80_x253192.736_y3365997.942.png,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_69-86.tif,215,433,144,144,144,144,0.5555555555555556,0.5555555555555556,253192.73571264104,3365997.941804805,253152.73571264104,3365957.941804805,253232.73571264104,3366037.941804805,"[0.5555555555555556, 0.0, 253152.73571264104, 0.0, -0.5555555555555556, 3366037.941804805]"
s80_x253252.736_y3365697.942,80,80.0,/mnt/d/aiproject/imagematch/output/fixed_satellite_library_4flights_raw_multiscale_80_120_200_300/tiles_native/s80_x253252.736_y3365697.942.png,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_69-86.tif,323,972,144,144,144,144,0.5555555555555556,0.5555555555555556,253252.73571264104,3365697.941804805,253212.73571264104,3365657.941804805,253292.73571264104,3365737.941804805,"[0.5555555555555556, 0.0, 253212.73571264104, 0.0, -0.5555555555555556, 3365737.941804805]"
s80_x253252.736_y3365757.942,80,80.0,/mnt/d/aiproject/imagematch/output/fixed_satellite_library_4flights_raw_multiscale_80_120_200_300/tiles_native/s80_x253252.736_y3365757.942.png,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_69-86.tif,323,864,144,144,144,144,0.5555555555555556,0.5555555555555556,253252.73571264104,3365757.941804805,253212.73571264104,3365717.941804805,253292.73571264104,3365797.941804805,"[0.5555555555555556, 0.0, 253212.73571264104, 0.0, -0.5555555555555556, 3365797.941804805]"
s80_x253252.736_y3365817.942,80,80.0,/mnt/d/aiproject/imagematch/output/fixed_satellite_library_4flights_raw_multiscale_80_120_200_300/tiles_native/s80_x253252.736_y3365817.942.png,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_69-86.tif,323,756,144,144,144,144,0.5555555555555556,0.5555555555555556,253252.73571264104,3365817.941804805,253212.73571264104,3365777.941804805,253292.73571264104,3365857.941804805,"[0.5555555555555556, 0.0, 253212.73571264104, 0.0, -0.5555555555555556, 3365857.941804805]"
s80_x253252.736_y3365877.942,80,80.0,/mnt/d/aiproject/imagematch/output/fixed_satellite_library_4flights_raw_multiscale_80_120_200_300/tiles_native/s80_x253252.736_y3365877.942.png,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_69-86.tif,323,649,144,144,144,144,0.5555555555555556,0.5555555555555556,253252.73571264104,3365877.941804805,253212.73571264104,3365837.941804805,253292.73571264104,3365917.941804805,"[0.5555555555555556, 0.0, 253212.73571264104, 0.0, -0.5555555555555556, 3365917.941804805]"
s80_x253252.736_y3365937.942,80,80.0,/mnt/d/aiproject/imagematch/output/fixed_satellite_library_4flights_raw_multiscale_80_120_200_300/tiles_native/s80_x253252.736_y3365937.942.png,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_69-86.tif,323,541,144,144,144,144,0.5555555555555556,0.5555555555555556,253252.73571264104,3365937.941804805,253212.73571264104,3365897.941804805,253292.73571264104,3365977.941804805,"[0.5555555555555556, 0.0, 253212.73571264104, 0.0, -0.5555555555555556, 3365977.941804805]"
s80_x253252.736_y3365997.942,80,80.0,/mnt/d/aiproject/imagematch/output/fixed_satellite_library_4flights_raw_multiscale_80_120_200_300/tiles_native/s80_x253252.736_y3365997.942.png,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_69-86.tif,323,433,144,144,144,144,0.5555555555555556,0.5555555555555556,253252.73571264104,3365997.941804805,253212.73571264104,3365957.941804805,253292.73571264104,3366037.941804805,"[0.5555555555555556, 0.0, 253212.73571264104, 0.0, -0.5555555555555556, 3366037.941804805]"
s80_x253312.736_y3365697.942,80,80.0,/mnt/d/aiproject/imagematch/output/fixed_satellite_library_4flights_raw_multiscale_80_120_200_300/tiles_native/s80_x253312.736_y3365697.942.png,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_69-86.tif,431,972,144,144,144,144,0.5555555555555556,0.5555555555555556,253312.73571264104,3365697.941804805,253272.73571264104,3365657.941804805,253352.73571264104,3365737.941804805,"[0.5555555555555556, 0.0, 253272.73571264104, 0.0, -0.5555555555555556, 3365737.941804805]"
s80_x253312.736_y3365757.942,80,80.0,/mnt/d/aiproject/imagematch/output/fixed_satellite_library_4flights_raw_multiscale_80_120_200_300/tiles_native/s80_x253312.736_y3365757.942.png,/mnt/d/数据/武汉影像/卫星0.5m_32650/武汉_大图/L19/武汉_69-86.tif,431,864,144,144,144,144,0.5555555555555556,0.5555555555555556,253312.73571264104,3365757.941804805,253272.73571264104,3365717.941804805,253352.73571264104,3365797.941804805,"[0.5555555555555556, 0.0, 253272.73571264104, 0.0, -0.5555555555555556, 3365797.941804805]"
